"Adresse","Occurrences","H1-1","Longueur du H1-1","H1-2","Longueur du H1-2","Indexabilité","Statut d'indexabilité"
"https://www.ndeylicious.fr/","0","","0","","0","Indexable",""
"https://www.ndeylicious.fr/categorie-produit/nokoss/","0","","0","","0","Indexable",""
"https://www.ndeylicious.fr/categorie-produit/boutique/","0","","0","","0","Indexable",""
"https://www.ndeylicious.fr/produit/piments-vegetariens/","2","Piments végétariens","19","Piments végétariens","19","Indexable",""
"https://www.ndeylicious.fr/produit/tablette-lait2026/","2","Tablette lait","13","Tablette lait","13","Indexable",""
"https://www.ndeylicious.fr/le-bissap/","0","","0","","0","Indexable",""
"https://www.ndeylicious.fr/mon-compte/lost-password/","0","","0","","0","Non indexable","Canonisé,noindex"
"https://www.ndeylicious.fr/contact/","0","","0","","0","Indexable",""
"https://www.ndeylicious.fr/le-moringa/","0","","0","","0","Indexable",""
"https://www.ndeylicious.fr/categorie-produit/piments/","0","","0","","0","Indexable",""
"https://www.ndeylicious.fr/produit/huile-dolive/","2","Huile d’olive 250ml","19","Huile d’olive 250ml","19","Indexable",""
"https://www.ndeylicious.fr/produit/billes-croustillantes2026/","2","Billes croustillantes","21","Billes croustillantes","21","Indexable",""
"https://www.ndeylicious.fr/mon-compte/","0","","0","","0","Non indexable","noindex"
"https://www.ndeylicious.fr/kinkeliba/","0","","0","","0","Indexable",""
"https://www.ndeylicious.fr/ateliers/","0","","0","","0","Indexable",""
"https://www.ndeylicious.fr/categorie-produit/sels-marins-aux-epices/","0","","0","","0","Indexable",""
"https://www.ndeylicious.fr/qui-sommes-nous/","0","","0","","0","Indexable",""
"https://www.ndeylicious.fr/categorie-produit/exclusivites/","0","","0","","0","Indexable",""
"https://www.ndeylicious.fr/produit/tablette-signature2026/","2","Tablette signature","18","Tablette signature","18","Indexable",""
"https://www.ndeylicious.fr/cart/","0","","0","","0","Non indexable","noindex"
"https://www.ndeylicious.fr/boutique/","0","","0","","0","Indexable",""
"https://www.ndeylicious.fr/box-iftar/","2","🌙 Iftar Box – Le goût authentique du Maroc pour votre rupture du jeûne","71","✨ Pourquoi choisir notre Iftar Box ?","36","Indexable",""
"https://www.ndeylicious.fr/produit/aid-viandes-volailles/","2","Spécial Aïd Viandes & volailles","31","Spécial Aïd Viandes & volailles","31","Indexable",""
"https://www.ndeylicious.fr/produit/stick-signature2026/","2","Stick signature","15","Stick signature","15","Indexable",""
"https://www.ndeylicious.fr/evenements/","0","","0","","0","Indexable",""
"https://www.ndeylicious.fr/produit/citron-gingembre/","2","Citron & Gingembre","18","Citron & Gingembre","18","Indexable",""
"https://www.ndeylicious.fr/produit/piments-antillais/","2","Piments antillais","17","Piments antillais","17","Indexable",""
"https://www.ndeylicious.fr/produit/pate-a-tartiner2026/","2","Pâte à tartiner","15","Pâte à tartiner","15","Indexable",""
"https://www.ndeylicious.fr/politique-de-confidentialite/","0","","0","","0","Indexable",""
"https://www.ndeylicious.fr/categorie-produit/confits/","0","","0","","0","Indexable",""
"https://www.ndeylicious.fr/produit/melange-epices-signare/","2","Mélange épices Signare","22","Mélange épices Signare","22","Indexable",""
"https://www.ndeylicious.fr/conditions-generales-dutilisation/","0","","0","","0","Indexable",""
"https://www.ndeylicious.fr/mentions-legales/","0","","0","","0","Indexable",""
"https://www.ndeylicious.fr/categorie-produit/thes-et-tisanes/","0","","0","","0","Indexable",""
"https://www.ndeylicious.fr/categorie-produit/confitures/","0","","0","","0","Indexable",""
"https://www.ndeylicious.fr/produit/sel-terrou/","2","Sel fin Terrou","14","Sel fin Terrou","14","Indexable",""
"https://www.ndeylicious.fr/produit/bissap-fruits-rouges/","2","Bissap fruits rouges","20","Bissap fruits rouges","20","Indexable",""
"https://www.ndeylicious.fr/conditions-generales-de-vente/","0","","0","","0","Indexable",""
"https://www.ndeylicious.fr/produit/marinadeplats-sauces/","2","Marinade (plats & sauces)","25","Marinade (plats & sauces)","25","Indexable",""
"https://www.ndeylicious.fr/le-baobab/","0","","0","","0","Indexable",""
"https://www.ndeylicious.fr/produit/pommes-kinkeliba/","2","Pommes Kinkeliba","16","Pommes Kinkeliba","16","Indexable",""
"https://www.ndeylicious.fr/produit/viandes-volailles/","2","Viandes & volailles","19","Viandes & volailles","19","Indexable",""
"https://www.ndeylicious.fr/produit/poissons-crustaces/","2","Poissons & crustacés","20","Poissons & crustacés","20","Indexable",""
"https://www.ndeylicious.fr/produit/ablaye/","2","Cookies Ablaye","14","Cookies Ablaye","14","Indexable",""
"https://www.ndeylicious.fr/produit/jongue/","2","Sel Jongué","10","Sel Jongué","10","Indexable",""
"https://www.ndeylicious.fr/produit/cookies-amina/","2","Cookies Amina","13","Cookies Amina","13","Indexable",""
"https://www.ndeylicious.fr/produit/box-iftar/","2","Box Iftar","9","Box Iftar","9","Indexable",""
"https://www.ndeylicious.fr/boutique/page/2/","0","","0","","0","Indexable",""
"https://www.ndeylicious.fr/produit/tisane-samba/","2","Tisane Samba","12","Tisane Samba","12","Indexable",""
"https://www.ndeylicious.fr/categorie-produit/shop/","0","","0","","0","Indexable",""
"https://www.ndeylicious.fr/categorie-produit/boutique/page/2/","0","","0","","0","Indexable",""
"https://www.ndeylicious.fr/produit/tisane-seydina/","2","Tisane Seydina","14","Tisane Seydina","14","Indexable",""
"https://www.ndeylicious.fr/produit/bissap-poire-figue/","2","Bissap poire & figue","20","Bissap poire & figue","20","Indexable",""
"https://www.ndeylicious.fr/produit/tisane-yacine/","2","Tisane Yacine","13","Tisane Yacine","13","Indexable",""
"https://www.ndeylicious.fr/produit/bouye-3-chocolats/","2","Cookies Imane","13","Cookies Imane","13","Indexable",""
"https://www.ndeylicious.fr/produit/thiossane/","2","Sel Thiossane","13","Sel Thiossane","13","Indexable",""
"https://www.ndeylicious.fr/produit/citrons-au-maad/","2","Citrons au Maad","15","Citrons au Maad","15","Indexable",""
"https://www.ndeylicious.fr/produit/moringa-pistache-chocolat-blanc/","2","Cookies Asma","12","Cookies Asma","12","Indexable",""
"https://www.ndeylicious.fr/produit/the-ame-gass/","2","Thé Āme & Gass","14","Thé Āme & Gass","14","Indexable",""
"https://www.ndeylicious.fr/produit/the-kpo/","2","Thé Kpo","7","Thé Kpo","7","Indexable",""
"https://www.ndeylicious.fr/produit/mangues-du-senegal/","2","Mangues du Sénégal","18","Mangues du Sénégal","18","Indexable",""
"https://www.ndeylicious.fr/produit/tisane-ramata/","2","Thé Ramata","10","Thé Ramata","10","Indexable",""
"https://www.ndeylicious.fr/produit/tisane-ibrahima/","2","Tisane Ibrahima","15","Tisane Ibrahima","15","Indexable",""
"https://www.ndeylicious.fr/produit/the-assa/","2","Thé Assa","8","Thé Assa","8","Indexable",""
"https://www.ndeylicious.fr/produit/bissap-fruits-rouges-menthe/","2","Bissap fruits rouges, menthe","28","Bissap fruits rouges, menthe","28","Indexable",""
"https://www.ndeylicious.fr/produit/tisane-adiara/","2","Thé Adiara","10","Thé Adiara","10","Indexable",""
"https://www.ndeylicious.fr/produit/tisane-matekhe/","2","Tisane Matékhé","14","Tisane Matékhé","14","Indexable",""
"https://www.ndeylicious.fr/produit/miel-de-mangue/","2","Miel de Mangue","14","Miel de Mangue","14","Indexable",""
"https://www.ndeylicious.fr/produit/miel-de-baobab/","2","Miel de Baobab","14","Miel de Baobab","14","Indexable",""
