"Adresse","Type de contenu","Code HTTP","Statut","Indexabilité","Statut d'indexabilité","Title 1","Longueur du Title 1","Largeur en pixels du Title 1","Meta Description 1","Longueur de la Meta Description 1","Largeur en pixels de la Meta Description 1","Meta Keywords 1","Longueur des Meta Keywords 1","H1-1","Longueur du H1-1","H1-2","Longueur du H1-2","H2-1","Longueur du H2-1","H2-2","Longueur du H2-2","Meta Robots 1","Balise X-Robots 1","Meta Refresh 1","Élément de lien en version canonique 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","Élément de lien amphtml","Taille (octets)","Transféré (octets)","Total transféré (en octets)","CO2 (mg)","Empreinte carbone","Nombre de mots","Nombre de phrases","Moyenne de mots par phrase","Score de lisibilité de Flesch","Lisibilité","Ratio texte","Crawl profondeur","Profondeur du dossier","Link Score","Liens entrants","Liens entrants uniques","Liens entrants JS uniques","% du total","Liens sortants","Liens sortants uniques","Liens sortants JS uniques","Liens sortants externes","Liens sortants externes uniques","Liens sortants JS externes uniques","Quasi-doublon le plus proche","Nombre de quasi-doublons","Erreurs d'orthographe","Erreurs de grammaire","Hachage","Temps de réponse","Last Modified","URL de redirection","Type de redirection","Cookies","Language","Version HTTP","Lien alternate mobile","Adresse sémantiquement similaire la plus proche","Score de similarité sémantique","Nbre sémantiquement similaires","Score de pertinence sémantique","Adresse codée en URL","Horodatage du crawl"
"https://www.ndeylicious.fr/","text/html; charset=UTF-8","200","OK","Indexable","","ndeylicious","11","99","","0","0","","0","","0","","0","🛒 Ouverture des commandes, livraisons à partir du 4 mars","57","Exclusivité","11","max-image-preview:large","","","https://www.ndeylicious.fr/","","","","","","327999","73596","73596","28,193","","1477","386","3,826","71,899","Assez facile","2,971","0","0","","631","79","0","100,000","204","46","0","14","13","0","","","","","8323024e19e600252d98905935173c50","2,915","","","","","fr-FR","1.1","","","","","","https://www.ndeylicious.fr/","2026-02-26 11:52:05"
"https://www.ndeylicious.fr/core/modules/313e568472/js/sbi-scripts.min.js","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","4","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,330","Wed, 17 Apr 2024 09:06:57 GMT","","","","","1.1","","","","","","https://www.ndeylicious.fr/core/modules/313e568472/js/sbi-scripts.min.js","2026-02-26 11:52:13"
"https://www.ndeylicious.fr/categorie-produit/nokoss/","text/html; charset=UTF-8","200","OK","Indexable","","Nokoss – ndeylicious","20","188","","0","0","","0","","0","","0","🛒 Ouverture des commandes, livraisons à partir du 4 mars","57","Se connecter","12","max-image-preview:large","","","","","","","","","98678","32174","32174","12,325","","271","79","3,430","93,467","Très facile","1,918","1","2","","178","79","0","100,000","73","31","0","0","0","0","","","","","f00840055d4c34ec252749048b0fdcde","1,274","","","","","fr-FR","1.1","","","","","","https://www.ndeylicious.fr/categorie-produit/nokoss/","2026-02-26 11:52:13"
"https://www.ndeylicious.fr/core/modules/4daf83416d/modules/frontend/js/wpca-frontend.min.js","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","6","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,100","Wed, 05 Jun 2024 07:31:35 GMT","","","","","1.1","","","","","","https://www.ndeylicious.fr/core/modules/4daf83416d/modules/frontend/js/wpca-frontend.min.js","2026-02-26 11:52:15"
"https://www.ndeylicious.fr/categorie-produit/boutique/","text/html; charset=UTF-8","200","OK","Indexable","","Boutique – ndeylicious","22","201","","0","0","","0","","0","","0","🛒 Ouverture des commandes, livraisons à partir du 4 mars","57","Se connecter","12","max-image-preview:large","","","","","","","","","131415","35508","35508","13,602","","450","146","3,082","87,523","Facile","2,295","1","2","","177","79","0","100,000","115","45","0","0","0","0","","","","","d09e07831f18f6e7de6088c78aa91cb6","1,472","","","","","fr-FR","1.1","","","","","","https://www.ndeylicious.fr/categorie-produit/boutique/","2026-02-26 11:52:13"
"https://www.ndeylicious.fr/produit/piments-vegetariens/","text/html; charset=UTF-8","200","OK","Indexable","","Piments végétariens – ndeylicious","33","307","","0","0","","0","Piments végétariens","19","Piments végétariens","19","🛒 Ouverture des commandes, livraisons à partir du 4 mars","57","Se connecter","12","max-image-preview:large","","","https://www.ndeylicious.fr/produit/piments-vegetariens/","","","","","","171870","46402","46402","17,776","","713","210","3,395","84,498","Facile","2,639","1","2","","195","53","0","67,090","138","47","0","0","0","0","","","","","1c586c453cd15faa5c7993aa2292a99","1,509","","","","","fr-FR","1.1","","","","","","https://www.ndeylicious.fr/produit/piments-vegetariens/","2026-02-26 11:52:13"
"https://www.ndeylicious.fr/produit/tablette-lait2026/","text/html; charset=UTF-8","200","OK","Indexable","","Tablette lait – ndeylicious","27","230","","0","0","","0","Tablette lait","13","Tablette lait","13","🛒 Ouverture des commandes, livraisons à partir du 4 mars","57","Se connecter","12","max-image-preview:large","","","https://www.ndeylicious.fr/produit/tablette-lait2026/","","","","","","194860","50082","50082","19,185","","728","231","3,152","85,452","Facile","2,423","1","2","","238","54","0","68,350","151","48","0","0","0","0","","","","","d69c68052703ae8fd861aff7058379d0","1,570","","","","","fr-FR","1.1","","","","","","https://www.ndeylicious.fr/produit/tablette-lait2026/","2026-02-26 11:52:13"
"https://www.ndeylicious.fr/le-bissap/","text/html; charset=UTF-8","200","OK","Indexable","","Le Bissap – ndeylicious","23","208","","0","0","","0","","0","","0","🛒 Ouverture des commandes, livraisons à partir du 4 mars","57","Se connecter","12","max-image-preview:large","","","https://www.ndeylicious.fr/le-bissap/","","","","","","91701","30441","30441","11,661","","527","103","5,117","83,009","Facile","3,631","1","1","","164","79","0","100,000","64","29","0","0","0","0","","","","","b36b8fee17059f01497513f934db1e66","1,321","","","","","fr-FR","1.1","","","","","","https://www.ndeylicious.fr/le-bissap/","2026-02-26 11:52:14"
"https://www.ndeylicious.fr/core/modules/39d10ee62c/assets/js/jquery-blockui/jquery.blockUI.min.js","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","6","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,111","Sun, 15 Feb 2026 21:36:25 GMT","","","","","1.1","","","","","","https://www.ndeylicious.fr/core/modules/39d10ee62c/assets/js/jquery-blockui/jquery.blockUI.min.js","2026-02-26 11:52:16"
"https://www.ndeylicious.fr/mon-compte/lost-password/","text/html; charset=UTF-8","200","OK","Non indexable","Canonisé,noindex","Mot de passe perdu – ndeylicious","32","298","","0","0","","0","","0","","0","🛒 Ouverture des commandes, livraisons à partir du 4 mars","57","","0","max-image-preview:large, noindex, follow","noindex","","https://www.ndeylicious.fr/mon-compte/","","","","","","88373","29047","29047","11,127","","204","58","3,517","95,856","Très facile","1,494","1","2","","84","79","0","100,000","63","29","0","0","0","0","","","","","5ddce5c2727df93d13466e56037a0c4b","1,121","","","","","fr-FR","1.1","","","","","","https://www.ndeylicious.fr/mon-compte/lost-password/","2026-02-26 11:52:15"
