"Adresse","Occurrences","Title 1","Longueur du Title 1","Largeur en pixels du Title 1","Indexabilité","Statut d'indexabilité"
"https://www.ndeylicious.fr/","1","ndeylicious","11","99","Indexable",""
"https://www.ndeylicious.fr/categorie-produit/nokoss/","1","Nokoss – ndeylicious","20","188","Indexable",""
"https://www.ndeylicious.fr/categorie-produit/boutique/","1","Boutique – ndeylicious","22","201","Indexable",""
"https://www.ndeylicious.fr/produit/piments-vegetariens/","1","Piments végétariens – ndeylicious","33","307","Indexable",""
"https://www.ndeylicious.fr/produit/tablette-lait2026/","1","Tablette lait – ndeylicious","27","230","Indexable",""
"https://www.ndeylicious.fr/le-bissap/","1","Le Bissap – ndeylicious","23","208","Indexable",""
"https://www.ndeylicious.fr/mon-compte/lost-password/","1","Mot de passe perdu – ndeylicious","32","298","Non indexable","Canonisé,noindex"
"https://www.ndeylicious.fr/contact/","1","Contact – ndeylicious","21","192","Indexable",""
"https://www.ndeylicious.fr/le-moringa/","1","Le Moringa – ndeylicious","24","222","Indexable",""
"https://www.ndeylicious.fr/categorie-produit/piments/","1","Piments – ndeylicious","21","197","Indexable",""
"https://www.ndeylicious.fr/produit/huile-dolive/","1","Huile d’olive 250ml – ndeylicious","33","291","Indexable",""
"https://www.ndeylicious.fr/produit/billes-croustillantes2026/","1","Billes croustillantes – ndeylicious","35","296","Indexable",""
"https://www.ndeylicious.fr/mon-compte/","1","Mon compte – ndeylicious","24","234","Non indexable","noindex"
"https://www.ndeylicious.fr/kinkeliba/","1","Kinkéliba – ndeylicious","23","204","Indexable",""
"https://www.ndeylicious.fr/ateliers/","1","Ateliers – ndeylicious","22","191","Indexable",""
"https://www.ndeylicious.fr/categorie-produit/sels-marins-aux-epices/","1","Assaisonnements – ndeylicious","29","282","Indexable",""
"https://www.ndeylicious.fr/qui-sommes-nous/","1","Qui Sommes Nous – ndeylicious","29","288","Indexable",""
"https://www.ndeylicious.fr/categorie-produit/exclusivites/","1","Exclusivités – ndeylicious","26","227","Indexable",""
"https://www.ndeylicious.fr/produit/tablette-signature2026/","1","Tablette signature – ndeylicious","32","286","Indexable",""
"https://www.ndeylicious.fr/cart/","1","Cart – ndeylicious","18","160","Non indexable","noindex"
"https://www.ndeylicious.fr/boutique/","1","Boutique – ndeylicious","22","201","Indexable",""
"https://www.ndeylicious.fr/box-iftar/","1","Box Iftar – ndeylicious","23","197","Indexable",""
"https://www.ndeylicious.fr/produit/aid-viandes-volailles/","1","Spécial Aïd Viandes & volailles – ndeylicious","45","393","Indexable",""
"https://www.ndeylicious.fr/produit/stick-signature2026/","1","Stick signature – ndeylicious","29","255","Indexable",""
"https://www.ndeylicious.fr/evenements/","1","Événements – ndeylicious","24","233","Indexable",""
"https://www.ndeylicious.fr/produit/citron-gingembre/","1","Citron & Gingembre – ndeylicious","32","297","Indexable",""
"https://www.ndeylicious.fr/produit/piments-antillais/","1","Piments antillais – ndeylicious","31","272","Indexable",""
"https://www.ndeylicious.fr/produit/pate-a-tartiner2026/","1","Pâte à tartiner – ndeylicious","29","251","Indexable",""
"https://www.ndeylicious.fr/politique-de-confidentialite/","1","Politique de confidentialité – ndeylicious","42","361","Indexable",""
"https://www.ndeylicious.fr/categorie-produit/confits/","1","Confits – ndeylicious","21","186","Indexable",""
"https://www.ndeylicious.fr/produit/melange-epices-signare/","1","Mélange épices Signare – ndeylicious","36","335","Indexable",""
"https://www.ndeylicious.fr/conditions-generales-dutilisation/","1","Conditions générales d’utilisation – ndeylicious","48","418","Indexable",""
"https://www.ndeylicious.fr/mentions-legales/","1","Mentions légales  – ndeylicious","31","274","Indexable",""
"https://www.ndeylicious.fr/categorie-produit/thes-et-tisanes/","1","Thés et Tisanes – ndeylicious","29","264","Indexable",""
"https://www.ndeylicious.fr/categorie-produit/confitures/","1","Confitures – ndeylicious","24","215","Indexable",""
"https://www.ndeylicious.fr/produit/sel-terrou/","1","Sel fin Terrou – ndeylicious","28","242","Indexable",""
"https://www.ndeylicious.fr/produit/bissap-fruits-rouges/","1","Bissap fruits rouges – ndeylicious","34","299","Indexable",""
"https://www.ndeylicious.fr/conditions-generales-de-vente/","1","Conditions Générales de vente  – ndeylicious","44","395","Indexable",""
"https://www.ndeylicious.fr/produit/marinadeplats-sauces/","1","Marinade (plats & sauces) – ndeylicious","39","354","Indexable",""
