"Adresse","Occurrences","H1-1","Longueur du H1-1","H1-2","Longueur du H1-2","Indexabilité","Statut d'indexabilité"
"https://www.komut.be/nl_BE","2","Découvrez le Tern GSD","21","","0","Indexable",""
"https://www.komut.be/nl_BE/tern","1","⚡ Tern Bikes — Les vélos électriques compacts et cargo","54","","0","Indexable",""
"https://www.komut.be/en_GB","2","Découvrez le Tern GSD","21","","0","Indexable",""
"https://www.komut.be/nl_BE/shop/all-brands","1","Marques","7","","0","Indexable",""
"https://www.komut.be/nl_BE/aide/faq-retours-remboursements","1","Foire Aux Questions - Retours & Remboursement","45","","0","Indexable",""
"https://www.komut.be/nl_BE/appointment","0","","0","","0","Indexable",""
"https://www.komut.be/nl_BE/blog/actualites-22","0","","0","","0","Indexable",""
"https://www.komut.be/nl_BE/shop/cart","0","","0","","0","Indexable",""
"https://www.komut.be/nl_BE/chike","1","Chike","5","","0","Indexable",""
"https://www.komut.be/nl_BE/outlet-velos","1","Outlet vélos","12","","0","Indexable",""
"https://www.komut.be/nl_BE/nos-magasins","1","Nos magasins Komut Bikes à Bruxelles","36","","0","Indexable",""
"https://www.komut.be/nl_BE/assurances-velos","1","🔒 Assurez votre vélo directement chez Komut Bikes","50","","0","Indexable",""
"https://www.komut.be/nl_BE/financement","1","💳 Financez votre vélo chez Komut Bikes — Simple, flexible et accessible","72","","0","Indexable",""
"https://www.komut.be/nl_BE/entretien-et-reparations","1","🔧 Réparation vélo & Service Après-Vente chez Komut Bikes","57","","0","Indexable",""
"https://www.komut.be/nl_BE/terms","1","Conditions générales de ventes","30","","0","Indexable",""
"https://www.komut.be/nl_BE/isy","1","i:SY Bikes","10","","0","Indexable",""
"https://www.komut.be/nl_BE/kona","1","Vélos Kona Bicycles : Une Passion pour l'Aventure à Vélo","56","","0","Indexable",""
"https://www.komut.be/nl_BE/offers","1","Promo vélo* Komut : 10% offerts en carte-cadeau sur une sélection de vélos de stock 🚲","86","","0","Indexable",""
"https://www.komut.be/nl_BE/aide/faq-paiement","1","Foire Aux Questions - Paiement","30","","0","Indexable",""
"https://www.komut.be/nl_BE/brompton","1","Brompton — Le vélo pliant iconique, compact et urbain","53","","0","Indexable",""
"https://www.komut.be/nl_BE/benno","1","Benno Bikes – vélos cargo électriques multifonctionnels et pratiques","68","","0","Indexable",""
"https://www.komut.be/nl_BE/lovens","1","Lovens","6","","0","Indexable",""
"https://www.komut.be/nl_BE/nous-contacter","1","Contactez-nous","14","","0","Indexable",""
"https://www.komut.be/nl_BE/leasing","1","🚴‍♂️ Leasing vélo via votre employeur — Simple, avantageux et durable","70","","0","Indexable",""
"https://www.komut.be/nl_BE/muli","1","Vélo Cargo- Muli Cycles","23","","0","Indexable",""
"https://www.komut.be/nl_BE/a-propos","1","Qui sommes-nous vraiment ?","26","","0","Indexable",""
"https://www.komut.be/nl_BE/mentions-legales","1","Mentions légales","16","","0","Indexable",""
"https://www.komut.be/nl_BE/woom","1","Woom | Des vélos légers et ludiques pour les enfants","52","","0","Indexable",""
"https://www.komut.be/nl_BE/aide","1","Comment pouvons-nous vous assister ?","36","","0","Indexable",""
"https://www.komut.be/nl_BE/blog/astuces-20","0","","0","","0","Indexable",""
"https://www.komut.be/nl_BE/urban-arrow","1","URBAN ARROW","11","","0","Indexable",""
"https://www.komut.be/nl_BE/faq-expedition-livraison","1","Foire Aux Questions - Expédition & Livraison","44","","0","Indexable",""
"https://www.komut.be/nl_BE/politique-de-confidentialite","1","Politique de confidentialité","28","","0","Non indexable","noindex"
"https://www.komut.be/nl_BE/qio","1","QIO","3","","0","Indexable",""
"https://www.komut.be/nl_BE/blog","0","","0","","0","Indexable",""
"https://www.komut.be/nl_BE/blog/conseils-d-experts-14","0","","0","","0","Indexable",""
"https://www.komut.be/nl_BE/reprise-velo-electrique","1","Reprise vélo électrique","23","","0","Indexable",""
"https://www.komut.be/nl_BE/bike-43","1","Bike43 — Le vélo cargo familial conçu et assemblé à Bruxelles 🇧🇪","66","","0","Indexable",""
"https://www.komut.be/nl_BE/moustache","1","Moustache Bikes — L’excellence française du vélo électrique ⚡","61","","0","Indexable",""
"https://www.komut.be/nl_BE/veloe","1","Veloe — Le vélo cargo compact et familial","41","","0","Indexable",""
"https://www.komut.be/nl_BE/nos-services","1","Nos services","12","","0","Indexable",""
"https://www.komut.be/nl_BE/cannondale","0","","0","","0","Indexable",""
"https://www.komut.be/nl_BE/yuba","1","Vélos électriques Yuba","22","","0","Indexable",""
"https://www.komut.be/en_GB/tern","1","⚡ Tern Bikes — Les vélos électriques compacts et cargo","54","","0","Indexable",""
"https://www.komut.be/nl_BE/shop/category/kinderfietsen-2300","0","","0","","0","Indexable",""
"https://www.komut.be/nl_BE/shop/category/klassieke-fiets-racefiets-gravel-fiets-2304","1","Vélo gravel","11","","0","Indexable",""
"https://www.komut.be/nl_BE/shop/category/elektrische-fiets-elektrische-longtailfietsen-2387","1","Vélo Longtail électrique","24","","0","Indexable",""
"https://www.komut.be/nl_BE/shop","0","","0","","0","Indexable",""
"https://www.komut.be/tern","1","⚡ Tern Bikes — Les vélos électriques compacts et cargo","54","","0","Indexable",""
"https://www.komut.be/en_GB/isy","1","i:SY Bikes","10","","0","Indexable",""
