"Adresse","Occurrences","H1-1","Longueur du H1-1","H1-2","Longueur du H1-2","Indexabilité","Statut d'indexabilité"
"https://ofreropizza.com/","13","HORAIRES D’OUVERTURE","20","LE GOÛT AUTHENTIQUE DU FEU DE BOIS","34","Indexable",""
"https://ofreropizza.com/plan-de-site/","0","","0","","0","Indexable",""
"https://ofreropizza.com/mon-compte/lost-password/","0","","0","","0","Non indexable","Canonisé,noindex"
"https://ofreropizza.com/mentions-legales/","0","","0","","0","Indexable",""
"https://ofreropizza.com/categorie-produit/accompagnements-et-boissons/","0","","0","","0","Indexable",""
"https://ofreropizza.com/categorie-produit/nos-menus/","0","","0","","0","Indexable",""
"https://ofreropizza.com/contact/","0","","0","","0","Indexable",""
"https://ofreropizza.com/politique-de-confidentialite/","0","","0","","0","Indexable",""
"https://ofreropizza.com/categorie-produit/nos-pizzaninis/","0","","0","","0","Indexable",""
"https://ofreropizza.com/panier/","0","","0","","0","Non indexable","noindex"
"https://ofreropizza.com/categorie-produit/nos-pizzas-prestiges/","0","","0","","0","Indexable",""
"https://ofreropizza.com/shop/","0","","0","","0","Indexable",""
"https://ofreropizza.com/shop-2/","0","","0","","0","Indexable",""
"https://ofreropizza.com/categorie-produit/nos-pizzas-calzones/","0","","0","","0","Indexable",""
"https://ofreropizza.com/conditions-generales-de-vente/","0","","0","","0","Indexable",""
"https://ofreropizza.com/mon-compte/","0","","0","","0","Non indexable","noindex"
"https://ofreropizza.com/categorie-produit/nos-pizzas-collectors/","0","","0","","0","Indexable",""
"https://ofreropizza.com/categorie-produit/nos-pizzas-best-sellers/","0","","0","","0","Indexable",""
"https://ofreropizza.com/produit/mediteraneenne/","1","Méditéranéenne","14","","0","Indexable",""
"https://ofreropizza.com/produit/classico/","1","Classic’O","9","","0","Indexable",""
"https://ofreropizza.com/produit/la-kebab/","1","La Kebab","8","","0","Indexable",""
"https://ofreropizza.com/pizzeria-toulouse-patte-d-oie/","4","Votre pizza livrée dans le quartier Patte d’Oie","47","Profitez d’une pizza livrée à votre porte à Patte d’Oie","55","Indexable",""
"https://ofreropizza.com/pizza-clinique-rive-gauche-toulouse/","4","Votre pizza à la clinique Rive Gauche à Toulouse","48","Pizza à Emporter ou en Livraison : Direction Clinique Rive Gauche","65","Indexable",""
"https://ofreropizza.com/produit/boisson-33cl/","1","Boisson 33cl","12","","0","Indexable",""
"https://ofreropizza.com/add-listing/","0","","0","","0","Indexable",""
"https://ofreropizza.com/pizza-basso-cambo/","4","Pizza Basso Cambo","17","Basso Cambo : Pizzas à Domicile ou au Bureau, en Quelques Minutes","65","Indexable",""
