"Adresse","Type de contenu","Code HTTP","Statut","Indexabilité","Statut d'indexabilité","Liens entrants","Temps de réponse","URL de redirection","Type de redirection"
"https://www.reefperfumes.fr/","text/html; charset=UTF-8","200","OK","Indexable","","339","0,169","",""
"https://www.reefperfumes.fr/wp-includes/js/dist/url.min.js?ver=9e178c9516d1222dc834","application/javascript; charset=utf-8","200","OK","Indexable","","0","0,415","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/gift-150x150.png","image/png","200","OK","Indexable","","0","0,423","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/niche-4-edp-100ml-perfume-reef-perfumes-uk-247x296.webp","image/webp","200","OK","Indexable","","0","0,453","",""
"https://www.reefperfumes.fr/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min.js?ver=2.7.0-wc.9.6.3","application/javascript; charset=utf-8","200","OK","Indexable","","0","0,456","",""
"https://www.reefperfumes.fr/produit/reef-30-edp-100ml-parfum-classique/","text/html; charset=UTF-8","200","OK","Indexable","","213","0,276","",""
"https://www.reefperfumes.fr/wp-content/plugins/woocommerce/assets/js/frontend/order-attribution.min.js?ver=9.6.3","application/javascript; charset=utf-8","200","OK","Indexable","","0","0,085","",""
"https://www.reefperfumes.fr/categorie-produit/collection-classique/","text/html; charset=UTF-8","200","OK","Indexable","","187","0,141","",""
"https://www.reefperfumes.fr/wp-content/plugins/woocommerce/assets/js/prettyPhoto/jquery.prettyPhoto.min.js?ver=3.1.6","application/javascript; charset=utf-8","200","OK","Indexable","","0","0,257","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/niche-2-edp-100ml-perfume-reef-perfumes-uk-247x296.webp","image/webp","200","OK","Indexable","","0","0,254","",""
"https://www.reefperfumes.fr/wp-content/plugins/wp-cookie-allow/modules/frontend/js/wpca-frontend.min.js?ver=3.4.7","application/javascript; charset=utf-8","200","OK","Indexable","","0","0,235","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/z8ISdzDvqRgM1jXMdLBxQcljx7IxblzFC6N2CnNi-1024x272.webp","image/webp","200","OK","Indexable","","0","0,248","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/gift-150x150.webp","image/webp","200","OK","Indexable","","0","0,240","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/10/REEF_10_IN-247x296.png","image/png","200","OK","Indexable","","0","0,251","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/parf-150x150.png","image/png","200","OK","Indexable","","0","0,258","",""
"https://www.reefperfumes.fr/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min.js?ver=9.6.3","application/javascript; charset=utf-8","200","OK","Indexable","","0","0,235","",""
"https://www.reefperfumes.fr/wp-includes/js/dist/vendor/wp-polyfill.min.js?ver=3.15.0","application/javascript; charset=utf-8","200","OK","Indexable","","0","0,226","",""
"https://www.reefperfumes.fr/produit/reef-2-edp-100ml-parfum-classique/","text/html; charset=UTF-8","200","OK","Indexable","","182","0,392","",""
"https://www.reefperfumes.fr/produit/reef-meres-31-edp-50ml-parfum/","text/html; charset=UTF-8","200","OK","Indexable","","190","0,335","",""
"https://www.reefperfumes.fr/produit/cartes-cadeaux/","text/html; charset=UTF-8","200","OK","Indexable","","290","0,314","",""
"https://www.reefperfumes.fr/wp-content/themes/flatsome/assets/js/woocommerce.js?ver=49415fe6a9266f32f1f2","application/javascript; charset=utf-8","200","OK","Indexable","","0","0,211","",""
"https://www.reefperfumes.fr/produit/arabes-de-diriyah-edp-100ml-parfum/","text/html; charset=UTF-8","200","OK","Indexable","","249","0,346","",""
"https://www.reefperfumes.fr/wp-content/plugins/la-poste-pro-expeditions-woocommerce/LaPoste/LaPosteProExpeditionsWoocommerce/assets/css/parcel-point.css?ver=1.0.10","text/css; charset=utf-8","200","OK","Indexable","","0","0,178","",""
"https://www.reefperfumes.fr/wp-content/uploads/2025/05/lom.jpg","image/jpeg","200","OK","Indexable","","0","0,090","",""
"https://www.reefperfumes.fr/produit/reef-10-edp-100ml-parfum-classique/","text/html; charset=UTF-8","200","OK","Indexable","","180","0,358","",""
"https://www.reefperfumes.fr/politique-de-confidentialite/","text/html; charset=UTF-8","200","OK","Indexable","","62","1,623","",""
"https://www.reefperfumes.fr/wp-content/plugins/woocommerce-product-bundles/assets/js/frontend/add-to-cart-bundle.min.js?ver=8.3.6","application/javascript; charset=utf-8","200","OK","Indexable","","0","0,087","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/reef-19-edp-100ml-parfum-classique-247x296.webp","image/webp","200","OK","Indexable","","0","0,242","",""
"https://www.reefperfumes.fr/produit/rose-dete-edp-100ml-parfum/","text/html; charset=UTF-8","200","OK","Indexable","","228","0,249","",""
"https://www.reefperfumes.fr/categorie-produit/collection-mini/","text/html; charset=UTF-8","200","OK","Indexable","","175","0,126","",""
"https://www.reefperfumes.fr/wp-content/plugins/woo-variation-swatches/assets/js/frontend.min.js?ver=1739200232","application/javascript; charset=utf-8","200","OK","Indexable","","0","0,234","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/04/REEF_27_IN-1-247x296.png","image/png","200","OK","Indexable","","0","0,245","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/reef-21-edp-100ml-classic-perfume-reef-perfumes-uk-1-247x296.webp","image/webp","200","OK","Indexable","","0","0,248","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/summer-yellow-edp-100ml-perfume-reef-perfumes-uk-1-247x296.webp","image/webp","200","OK","Indexable","","0","0,096","",""
"https://www.reefperfumes.fr/wp-content/plugins/woocommerce/assets/js/frontend/cart-fragments.min.js?ver=9.6.3","application/javascript; charset=utf-8","200","OK","Indexable","","0","0,226","",""
"https://www.reefperfumes.fr/wp-content/themes/flatsome/inc/integrations/wc-yith-wishlist/wishlist.css?ver=3.10.2","text/css; charset=utf-8","200","OK","Indexable","","0","0,234","",""
"https://www.reefperfumes.fr/categorie-produit/nos-offres/","text/html; charset=UTF-8","200","OK","Indexable","","119","0,264","",""
