"Adresse","Occurrences","Meta Description 1","Longueur de la Meta Description 1","Largeur en pixels de la Meta Description 1","Indexabilité","Statut d'indexabilité"
"https://ofreropizza.com/","1","Pizzeria au feu de bois et restaurant 100 % halal à Toulouse. Service de livraison de pizza rapide. Promo en ligne lundi et mardi.","130","776","Indexable",""
"https://ofreropizza.com/plan-de-site/","0","","0","0","Indexable",""
"https://ofreropizza.com/mon-compte/lost-password/","0","","0","0","Non indexable","Canonisé,noindex"
"https://ofreropizza.com/mentions-legales/","0","","0","0","Indexable",""
"https://ofreropizza.com/categorie-produit/accompagnements-et-boissons/","0","","0","0","Indexable",""
"https://ofreropizza.com/politique-de-confidentialite/","0","","0","0","Indexable",""
"https://ofreropizza.com/contact/","0","","0","0","Indexable",""
"https://ofreropizza.com/categorie-produit/nos-pizzaninis/","1","Chez Ofrero Pizza , nous vous livrons vos pizzaninis chauds directement à domicile avec un excellent rapport qualité-prix.","122","743","Indexable",""
"https://ofreropizza.com/panier/","0","","0","0","Non indexable","noindex"
"https://ofreropizza.com/categorie-produit/nos-pizzas-prestiges/","0","","0","0","Indexable",""
"https://ofreropizza.com/shop/","0","","0","0","Indexable",""
"https://ofreropizza.com/shop-2/","0","","0","0","Indexable",""
"https://ofreropizza.com/categorie-produit/nos-pizzas-calzones/","0","","0","0","Indexable",""
"https://ofreropizza.com/categorie-produit/nos-pizzas-collectors/","0","","0","0","Indexable",""
"https://ofreropizza.com/conditions-generales-de-vente/","0","","0","0","Indexable",""
"https://ofreropizza.com/categorie-produit/nos-pizzas-best-sellers/","0","","0","0","Indexable",""
"https://ofreropizza.com/mon-compte/","0","","0","0","Non indexable","noindex"
"https://ofreropizza.com/categorie-produit/nos-menus/","0","","0","0","Indexable",""
"https://ofreropizza.com/pizzeria-toulouse-patte-d-oie/","1","Vous souhaitez une livraison de pizza dans le quartier de la Reynerie à Toulouse, contactez notre pizzeria sur le numéro ci-dessus.","131","796","Indexable",""
"https://ofreropizza.com/produit/la-kebab/","1","Vous souhaitez commander une pizza kebab à Toulouse en ligne , à emporter ou en livraison, appelez-nous ou passer via notre site web.","133","835","Indexable",""
"https://ofreropizza.com/produit/mediteraneenne/","0","","0","0","Indexable",""
"https://ofreropizza.com/produit/boisson-33cl/","0","","0","0","Indexable",""
"https://ofreropizza.com/pizza-clinique-rive-gauche-toulouse/","1","Commander une pizza en livraison sur la clinique Rive Gauche à Toulouse, c'est très facile avec Ofrero Pizza.","109","663","Indexable",""
"https://ofreropizza.com/add-listing/","0","","0","0","Indexable",""
"https://ofreropizza.com/produit/classico/","0","","0","0","Indexable",""
"https://ofreropizza.com/printerco_notify/","0","","0","0","Indexable",""
"https://ofreropizza.com/pizza-purpan/","1","Vous souhaitez commander une pizza à Purpan dans la ville de Toulouse. Appelz-nous ou commandez via notre site web pour être livré vite.","136","858","Indexable",""
"https://ofreropizza.com/pizza-basso-cambo/","1","Une petite pizza Basso Cambo le midi ou le soir, notre pizzeria dessert votre zone de livraison. Commande en ligne ou via standard.","131","801","Indexable",""
"https://ofreropizza.com/produit/marina/","0","","0","0","Indexable",""
"https://ofreropizza.com/2025/05/05/manger-dans-la-meme-pizzeria-chaque-semaine/","1","Cet article vous propose d'explorer les raisons du succès de manger dans la me pizzeria à Toulouse","98","607","Indexable",""
"https://ofreropizza.com/produit/menu-solo/","0","","0","0","Indexable",""
"https://ofreropizza.com/sitemap/","0","","0","0","Indexable",""
"https://ofreropizza.com/2024/09/12/developper-le-chiffre-daffaire-dune-pizzeria-halal/","0","","0","0","Indexable",""
"https://ofreropizza.com/blocks/logoo/","0","","0","0","Indexable",""
"https://ofreropizza.com/produit/chevre-miel/","1","Sur place ou en livraison à Toulouse, notre pizza chèvre miel est aussi une des spécialités de la Maison chez Ofrero Pizza.","123","741","Indexable",""
"https://ofreropizza.com/zone-de-livraison/","0","","0","0","Indexable",""
"https://ofreropizza.com/faites-vous-livrer-sur-votre-cite-universitaire-a-toulouse/","1","Pas envie de sortir ou de cuisiner, Ofrero livre vos pizzas directement au coeur de votre cité universitaire. Tel : 06.15.80.51.47","130","764","Indexable",""
"https://ofreropizza.com/?areamaps=zone-de-livraison","1","Pizzeria au feu de bois et restaurant 100 % halal à Toulouse. Service de livraison de pizza rapide. Promo en ligne lundi et mardi.","130","776","Non indexable","Canonisé"
"https://ofreropizza.com/produit/oignon-rings-x-6/","0","","0","0","Indexable",""
"https://ofreropizza.com/2024/09/12/la-livraison-de-pizza-a-saint-simon-toulouse/","0","","0","0","Indexable",""
"https://ofreropizza.com/produit/curry/","1","Vous souhaitez commander une pizza curry à Toulouse. Optez pour la livraison en commandant en ligne ou le sur place pour votre pizza indienne.","142","895","Indexable",""
"https://ofreropizza.com/pizza-entrepot-tisseo-langlade-toulouse/","1","Commander une pizza en livraison et faites-vous directement livré en entreprise au coeur de l'entrepôt Tisseo de Langlade.","122","749","Indexable",""
"https://ofreropizza.com/livraison-pizza-toulouse-reynerie/","1","Vous souhaitez une livraison de pizza dans le quartier de la Reynerie à Toulouse, contactez notre pizzeria sur le numéro ci-dessus.","131","796","Indexable",""
"https://ofreropizza.com/produit/brownie-creamnchoc/","0","","0","0","Indexable",""
"https://ofreropizza.com/categorie-produit/autres/","0","","0","0","Indexable",""
"https://ofreropizza.com/produit/la-remix/","0","","0","0","Indexable",""
"https://ofreropizza.com/blocks/foooter/","0","","0","0","Indexable",""
"https://ofreropizza.com/meilleure-pizzeria-toulouse/","1","On fait aussi partie du game. Ofrero Pizza a le droit de se positionner sur ""meilleure pizzeria toulouse"". Venez goûter et soyez nombreux.","138","832","Indexable",""
"https://ofreropizza.com/produit/napoli/","1","La pizza aux anchois à Toulouse, ça vous dit ! Passez commande en ligne ou appelez directement notre magasin pour être livré au plus vite.","138","856","Indexable",""
"https://ofreropizza.com/livraison-pizza-palais-de-justice-toulouse/","1","Vous souhaitez une livraison de pizza dans le quartier du Palais de Justice, contactez notre pizzeria sur le numéro ci-dessus.","126","763","Indexable",""
"https://ofreropizza.com/blocks/boiss/","0","","0","0","Indexable",""
"https://ofreropizza.com/pizzeria-toulouse-stadium-tfc/","1","Rendez-vous sur notre pizzeria proche du Stadium TFC à Toulouse à emporter ou en livraison aux abords du stade..","112","710","Indexable",""
"https://ofreropizza.com/produit/maxi-muffin-chocolat/","0","","0","0","Indexable",""
"https://ofreropizza.com/produit/boissons/","0","","0","0","Indexable",""
"https://ofreropizza.com/2024/09/12/prix-dune-pizza-a-toulouse/","0","","0","0","Indexable",""
"https://ofreropizza.com/produit/nuggets-x-6/","0","","0","0","Indexable",""
"https://ofreropizza.com/produit/donuts-au-sucre/","0","","0","0","Indexable",""
"https://ofreropizza.com/2024/09/12/developper-lidentite-numerique-dune-pizzeria-halal/","0","","0","0","Indexable",""
"https://ofreropizza.com/pizzeria-toulouse-cartoucherie/","1","Vous souhaitez une livraison de pizza dans le quartier de la Cartoucherie à Toulouse, contactez notre pizzeria sur le numéro ci-dessus.","135","823","Indexable",""
"https://ofreropizza.com/commande-en-ligne-et-livraison-de-pizza-a-toulouse/","1","Commandez facilement en ligne et bénéficiez d’une livraison rapide. Des pizzas fraîches, directement à votre porte !","116","706","Indexable",""
"https://ofreropizza.com/livraison-de-pizza-amidonniers/","1","Vous souhaitez une livraison de pizza aux Amidonniers à Toulouse, contactez notre pizzeria sur le numéro ci-dessus.","115","716","Indexable",""
"https://ofreropizza.com/livraison-pizza-compans-caffarelli-toulouse/","1","Commander une pizza à Compans Caffarelli sur Toulouse et faites-vous livrer au plus vite par la pizzeria Ofrero.","112","684","Indexable",""
"https://ofreropizza.com/livraison-pizza-toulouse-cepiere-hippodrome/","1","Vous souhaitez une livraison de pizza dans le quartier Cépière Hippodrome à Toulouse, contactez notre pizzeria sur le numéro ci-dessus.","135","837","Indexable",""
"https://ofreropizza.com/pizza-toulouse-bagatelle-31100/","1","Vous souhaitez une livraison de pizza dans le quartier Bagatelle à Toulouse, contactez notre pizzeria sur le numéro ci-dessus.","126","769","Indexable",""
"https://ofreropizza.com/tt/","0","","0","0","Indexable",""
