"Adresse","Type de contenu","Code HTTP","Statut","Indexabilité","Statut d'indexabilité","Liens entrants","Temps de réponse","URL de redirection","Type de redirection"
"https://www.reefperfumes.fr/","text/html; charset=UTF-8","200","OK","Indexable","","291","0,150","",""
"https://www.reefperfumes.fr/wp-includes/js/dist/url.min.js?ver=9e178c9516d1222dc834","application/javascript; charset=utf-8","200","OK","Indexable","","0","0,245","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/niche-4-edp-100ml-perfume-reef-perfumes-uk-247x296.webp","image/webp","200","OK","Indexable","","0","0,275","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/gift-150x150.png","image/png","200","OK","Indexable","","0","0,277","",""
"https://www.reefperfumes.fr/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min.js?ver=2.7.0-wc.9.6.3","application/javascript; charset=utf-8","200","OK","Indexable","","0","0,302","",""
"https://www.reefperfumes.fr/wp-content/plugins/woocommerce/assets/js/prettyPhoto/jquery.prettyPhoto.min.js?ver=3.1.6","application/javascript; charset=utf-8","200","OK","Indexable","","0","0,225","",""
"https://www.reefperfumes.fr/wp-content/plugins/woocommerce/assets/js/frontend/order-attribution.min.js?ver=9.6.3","application/javascript; charset=utf-8","200","OK","Indexable","","0","0,240","",""
"https://www.reefperfumes.fr/categorie-produit/collection-classique/","text/html; charset=UTF-8","200","OK","Indexable","","163","0,129","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/niche-2-edp-100ml-perfume-reef-perfumes-uk-247x296.webp","image/webp","200","OK","Indexable","","0","0,280","",""
"https://www.reefperfumes.fr/wp-content/themes/flatsome/inc/extensions/flatsome-live-search/flatsome-live-search.js,qver=3.18.6.pagespeed.jm.h-aDPDZNF0.js","application/javascript; charset=utf-8","200","OK","Indexable","","0","0,095","",""
"https://www.reefperfumes.fr/produit/reef-30-edp-100ml-parfum-classique/","text/html; charset=UTF-8","200","OK","Indexable","","177","0,184","",""
"https://www.reefperfumes.fr/wp-content/themes/flatsome/assets/css/flatsome.css?ver=3.18.6","text/css; charset=utf-8","200","OK","Indexable","","0","0,259","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/04/logo-reef-opti2.webp","image/webp","200","OK","Indexable","","0","0,245","",""
"https://www.reefperfumes.fr/wp-content/plugins/woocommerce/assets/js/frontend/woocommerce.min.js?ver=9.6.3","application/javascript; charset=utf-8","200","OK","Indexable","","0","0,283","",""
"https://www.reefperfumes.fr/wp-content/plugins/woocommerce-product-bundles/assets/css/frontend/checkout-blocks.css?ver=8.3.6","text/css; charset=utf-8","200","OK","Indexable","","0","0,308","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/REEF_11_IN-247x296.png","image/png","200","OK","Indexable","","0","0,102","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/arabs-of-alula-edp-100ml-perfume-reef-perfumes-uk-1-247x296.webp","image/webp","200","OK","Indexable","","0","0,118","",""
"https://www.reefperfumes.fr/produit/niche-1-edp-50ml-parfum/","text/html; charset=UTF-8","200","OK","Indexable","","198","0,333","",""
"https://www.reefperfumes.fr/produit/arabes-de-alula-edp-100ml-parfum/","text/html; charset=UTF-8","200","OK","Indexable","","150","0,382","",""
"https://www.reefperfumes.fr/categorie-produit/collection-arabic/","text/html; charset=UTF-8","200","OK","Indexable","","155","0,319","",""
"https://www.reefperfumes.fr/wp-includes/js/underscore.min.js?ver=1.13.7","application/javascript; charset=utf-8","200","OK","Indexable","","0","0,228","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/summer-tiffany-edp-100ml-perfume-reef-perfumes-uk-1-247x296.webp","image/webp","200","OK","Indexable","","0","0,253","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/04/REEF_30_IN-247x296.webp","image/webp","200","OK","Indexable","","0","0,091","",""
"https://www.reefperfumes.fr/wp-content/plugins/woocommerce-product-bundles/assets/css/frontend/single-product.css?ver=8.3.6","text/css; charset=utf-8","200","OK","Indexable","","0","0,255","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/arabs-of-tuwaiq-edp-100ml-perfume-reef-perfumes-uk-1-247x296.webp","image/webp","200","OK","Indexable","","0","0,261","",""
"https://www.reefperfumes.fr/wp-content/uploads/2024/03/arabs-of-diriyah-edp-100ml-perfume-reef-perfumes-uk-1-247x296.webp","image/webp","200","OK","Indexable","","0","0,308","",""
