"Adresse","Occurrences","H1-1","Longueur du H1-1","H1-2","Longueur du H1-2","Indexabilité","Statut d'indexabilité"
"https://www.reefperfumes.fr/","0","","0","","0","Indexable",""
"https://www.reefperfumes.fr/produit/reef-30-edp-100ml-parfum-classique/","2","REEF 30 EDP 100ml Parfum Classique","34","REEF 30 EDP 100ml Parfum Classique","34","Indexable",""
"https://www.reefperfumes.fr/categorie-produit/collection-classique/","0","","0","","0","Indexable",""
"https://www.reefperfumes.fr/produit/arabes-de-alula-edp-100ml-parfum/","2","Arabes de Alula EDP 100ml Parfum","32","Arabes de Alula EDP 100ml Parfum","32","Indexable",""
"https://www.reefperfumes.fr/produit/niche-1-edp-50ml-parfum/","2","Niche 1 EDP 50ml Parfum","23","Niche 1 EDP 50ml Parfum","23","Indexable",""
"https://www.reefperfumes.fr/produit/reef-2-edp-100ml-parfum-classique/","2","REEF 2 EDP 100ml Parfum Classique","33","REEF 2 EDP 100ml Parfum Classique","33","Indexable",""
"https://www.reefperfumes.fr/politique-de-confidentialite/","0","","0","","0","Indexable",""
"https://www.reefperfumes.fr/produit/cartes-cadeaux/","2","REEF Perfumes cartes cadeaux","28","REEF Perfumes cartes cadeaux","28","Indexable",""
"https://www.reefperfumes.fr/produit/reef-meres-31-edp-50ml-parfum/","2","REEF 31 EDP 100ml Parfum","24","REEF 31 EDP 100ml Parfum","24","Indexable",""
"https://www.reefperfumes.fr/produit/arabes-de-diriyah-edp-100ml-parfum/","2","Arabes de Diriyah EDP 100ml Parfum","34","Arabes de Diriyah EDP 100ml Parfum","34","Indexable",""
"https://www.reefperfumes.fr/produit/reef-10-edp-100ml-parfum-classique/","2","REEF 10 EDP 100ml Parfum Classique","34","REEF 10 EDP 100ml Parfum Classique","34","Indexable",""
"https://www.reefperfumes.fr/produit/rose-dete-edp-100ml-parfum/","2","Rose d’été EDP 100ml Parfum","27","Rose d’été EDP 100ml Parfum","27","Indexable",""
"https://www.reefperfumes.fr/categorie-produit/collection-mini/","0","","0","","0","Indexable",""
"https://www.reefperfumes.fr/politique-dexpedition/","0","","0","","0","Indexable",""
"https://www.reefperfumes.fr/categorie-produit/brume-pour-cheveux-et-corps/","0","","0","","0","Indexable",""
"https://www.reefperfumes.fr/categorie-produit/nos-offres/","0","","0","","0","Indexable",""
"https://www.reefperfumes.fr/produit/reef-19-edp-100ml-parfum-classique/","2","REEF 19 EDP 100ml Parfum Classique","34","REEF 19 EDP 100ml Parfum Classique","34","Indexable",""
"https://www.reefperfumes.fr/categorie-produit/collection-ete/","0","","0","","0","Indexable",""
"https://www.reefperfumes.fr/produit/reef-27-edp-100ml-parfum-classique/","2","REEF 27 EDP 100ml Parfum Classique","34","REEF 27 EDP 100ml Parfum Classique","34","Indexable",""
"https://www.reefperfumes.fr/a-propos/","1","À propos","8","","0","Indexable",""
"https://www.reefperfumes.fr/liste-de-souhaits/","0","","0","","0","Indexable",""
"https://www.reefperfumes.fr/produit/reef-21-edp-100ml-parfum-classique/","2","REEF 21 EDP 100ml Parfum Classique","34","REEF 21 EDP 100ml Parfum Classique","34","Indexable",""
"https://www.reefperfumes.fr/produit/jaune-dete-edp-100ml-parfum/","2","Jaune d’été EDP 100ml Parfum","28","Jaune d’été EDP 100ml Parfum","28","Indexable",""
"https://www.reefperfumes.fr/produit/arabes-de-obaiah-edp-100ml-parfum/","2","Arabes de Obaiah EDP 100ml Parfum","33","Arabes de Obaiah EDP 100ml Parfum","33","Indexable",""
"https://www.reefperfumes.fr/produit/arabes-de-tuwaiq-edp-100ml-parfum/","2","Arabes de Tuwaiq EDP 100ml Parfum","33","Arabes de Tuwaiq EDP 100ml Parfum","33","Indexable",""
"https://www.reefperfumes.fr/produit/niche-4-edp-50ml-parfum/","2","Niche 4 EDP 50ml Parfum","23","Niche 4 EDP 50ml Parfum","23","Indexable",""
"https://www.reefperfumes.fr/mon-compte/","0","","0","","0","Non indexable","noindex"
"https://www.reefperfumes.fr/contact/","0","","0","","0","Indexable",""
"https://www.reefperfumes.fr/conditions-dutilisation/","0","","0","","0","Indexable",""
"https://www.reefperfumes.fr/boutique/","0","","0","","0","Indexable",""
"https://www.reefperfumes.fr/categorie-produit/collection-de-niche/","0","","0","","0","Indexable",""
"https://www.reefperfumes.fr/produit/recif-33-edp-100ml-parfum-classique/","2","REEF 33 EDP 100ml Parfum classique","34","REEF 33 EDP 100ml Parfum classique","34","Indexable",""
"https://www.reefperfumes.fr/produit/niche-2-edp-50ml-parfum/","2","Niche 2 EDP 50ml Parfum","23","Niche 2 EDP 50ml Parfum","23","Indexable",""
"https://www.reefperfumes.fr/conditions-generales-de-vente/","0","","0","","0","Indexable",""
"https://www.reefperfumes.fr/panier/","0","","0","","0","Non indexable","noindex"
"https://www.reefperfumes.fr/produit/reef-6-edp-100ml-parfum-classique/","2","REEF 6 EDP 100ml Parfum Classique","33","REEF 6 EDP 100ml Parfum Classique","33","Indexable",""
"https://www.reefperfumes.fr/produit/reef-11-edp-100ml-parfum-classique/","2","REEF 11 EDP 100ml Parfum Classique","34","REEF 11 EDP 100ml Parfum Classique","34","Indexable",""
"https://www.reefperfumes.fr/produit/reef-42-edp-100ml-parfum-classique/","2","REEF 42 EDP 100ml Parfum Classique","34","REEF 42 EDP 100ml Parfum Classique","34","Indexable",""
"https://www.reefperfumes.fr/politique-de-remboursement/","0","","0","","0","Indexable",""
"https://www.reefperfumes.fr/produit/tiffany-dete-edp-100ml-parfum/","2","Tiffany d’été EDP 100ml Parfum","30","Tiffany d’été EDP 100ml Parfum","30","Indexable",""
"https://www.reefperfumes.fr/produit/reef-33-blanc-edp-100ml-parfum-classique/","2","REEF 33 BLANC EDP 100ml Parfum classique","40","REEF 33 BLANC EDP 100ml Parfum classique","40","Indexable",""
