"Adresse","Occurrences","Title 1","Longueur du Title 1","Largeur en pixels du Title 1","Indexabilité","Statut d'indexabilité"
"https://www.reefperfumes.fr/","1","Reef Perfumes - Reef Perfumes","29","284","Indexable",""
"https://www.reefperfumes.fr/produit/reef-30-edp-100ml-parfum-classique/","1","REEF 30 EDP 100ml Parfum Classique - Reef Perfumes","50","489","Indexable",""
"https://www.reefperfumes.fr/categorie-produit/collection-classique/","1","Archives des Collection classique - 100ml - Reef Perfumes","57","519","Indexable",""
"https://www.reefperfumes.fr/produit/arabes-de-alula-edp-100ml-parfum/","1","Arabes de Alula EDP 100ml Parfum - Reef Perfumes","48","465","Indexable",""
"https://www.reefperfumes.fr/produit/niche-1-edp-50ml-parfum/","1","Niche 1 EDP 50ml Parfum - Reef Perfumes","39","381","Indexable",""
"https://www.reefperfumes.fr/produit/reef-2-edp-100ml-parfum-classique/","1","REEF 2 EDP 100ml Parfum Classique - Reef Perfumes","49","478","Indexable",""
"https://www.reefperfumes.fr/politique-de-confidentialite/","1","Politique de confidentialité - Reef Perfumes","44","389","Indexable",""
"https://www.reefperfumes.fr/produit/cartes-cadeaux/","1","REEF Perfumes cartes cadeaux - Reef Perfumes","44","429","Indexable",""
"https://www.reefperfumes.fr/produit/reef-meres-31-edp-50ml-parfum/","1","REEF 31 EDP 100ml Parfum - Reef Perfumes","40","397","Indexable",""
"https://www.reefperfumes.fr/produit/arabes-de-diriyah-edp-100ml-parfum/","1","Arabes de Diriyah EDP 100ml Parfum - Reef Perfumes","50","481","Indexable",""
"https://www.reefperfumes.fr/produit/reef-10-edp-100ml-parfum-classique/","1","REEF 10 EDP 100ml Parfum Classique - Reef Perfumes","50","489","Indexable",""
"https://www.reefperfumes.fr/produit/rose-dete-edp-100ml-parfum/","1","Rose d'été EDP 100ml Parfum - Reef Perfumes","43","417","Indexable",""
"https://www.reefperfumes.fr/categorie-produit/collection-mini/","1","Archives des Collection Mini - Reef Perfumes","44","401","Indexable",""
"https://www.reefperfumes.fr/politique-dexpedition/","1","Politique d’expédition - Reef Perfumes","38","342","Indexable",""
"https://www.reefperfumes.fr/categorie-produit/brume-pour-cheveux-et-corps/","1","Archives des Brumes cheveux et corps - Reef Perfumes","52","494","Indexable",""
