"Adresse","Type de contenu","Taille (octets)","Liens entrants IMG","Indexabilité","Statut d'indexabilité","Dimensions"
"https://www.komut.be/theme_prime/static/src/img/payment/maestro.png","image/png","2761","4532","Indexable","",""
"https://www.komut.be/theme_prime/static/src/img/payment/american_express.png","image/png","2739","4532","Indexable","",""
"https://www.komut.be/theme_prime/static/src/img/payment/visa.png","image/png","2090","4532","Indexable","",""
"https://d1mo5ln9tjltxq.cloudfront.net/-/media/images/my23/bikes/electric/e-urban/tesoro-neo-carbon/pdp/c23_tesoroneocarbon_pdp_desktop_3a_v2.ashx?mh=2560&mw=1920&hash=B36508491EE078A80BB788AB3542223D","image/jpeg","243574","30","Indexable","",""
"https://d1mo5ln9tjltxq.cloudfront.net/-/media/images/my23/bikes/electric/e-urban/tesoro-neo-carbon/pdp/c23_tesoroneocarbon_pdp_desktop_2_europe.ashx?mh=2560&mw=1920&hash=35BA88D681956F64DB102FD939BD55F4","image/jpeg","241884","30","Indexable","",""
"https://images.immediate.co.uk/production/volatile/sites/21/2023/11/C24TesoroNeoCarbonBeautyWhite0004-6a187bd-e1701098762622.jpg?quality=90&resize=620%2C413","image/jpeg","38172","15","Indexable","",""
"https://d2csxpduxe849s.cloudfront.net/media/07996A5F-31AD-4D03-959900DEDA13913C/4E5C44DF-FAE5-4DBC-BF526104C3CE7DC0/D23CB3D5-778A-45F5-AFEF772E08F2B648/1to1-woom_cyclope_bike_lights_front_detail.jpg","image/jpeg","214507","30","Indexable","",""
"https://d2csxpduxe849s.cloudfront.net/media/07996A5F-31AD-4D03-959900DEDA13913C/F02FBC42-717E-4FDF-97911F2DC935D3AF/9F00187A-95A4-491D-B3176BFD1643D368/1to1-woom_cyclope_bike_lights_back_detail.jpg","image/jpeg","178594","30","Indexable","",""
"http://www.komut.be/theme_prime/static/src/img/payment/american_express.png","image/png","2739","4207","Indexable","",""
"http://www.komut.be/theme_prime/static/src/img/payment/visa.png","image/png","2090","4207","Indexable","",""
"http://www.komut.be/theme_prime/static/src/img/payment/maestro.png","image/png","2761","4207","Indexable","",""
"https://www.komut.be/nl_BE/shop/cannondale-tesoro-2-61841/document/162","image/webp","96056","0","Indexable","",""
"https://www.komut.be/nl_BE/shop/cannondale-tesoro-2-61841/document/163","image/webp","9508","0","Indexable","",""
"https://www.komut.be/shop/cannondale-tesoro-2-61841/document/163","image/webp","9508","0","Indexable","",""
"https://www.komut.be/en_GB/shop/cannondale-tesoro-2-61841/document/163","image/webp","9508","0","Indexable","",""
"https://www.komut.be/shop/cannondale-tesoro-2-61841/document/162","image/webp","96056","0","Indexable","",""
"https://www.komut.be/en_GB/shop/cannondale-tesoro-2-61841/document/162","image/webp","96056","0","Indexable","",""
"http://www.komut.be/shop/cannondale-tesoro-2-61841/document/162","image/webp","96056","0","Indexable","",""
"http://www.komut.be/shop/cannondale-tesoro-2-61841/document/163","image/webp","9508","0","Indexable","",""
"http://www.komut.be/nl_BE/shop/cannondale-tesoro-2-61841/document/162","image/webp","96056","0","Indexable","",""
"http://www.komut.be/nl_BE/shop/cannondale-tesoro-2-61841/document/163","image/webp","9508","0","Indexable","",""
"http://www.komut.be/en_GB/shop/cannondale-tesoro-2-61841/document/163","image/webp","9508","0","Indexable","",""
"http://www.komut.be/en_GB/shop/cannondale-tesoro-2-61841/document/162","image/webp","96056","0","Indexable","",""
