"Adresse","Type de contenu","Code HTTP","Statut","Indexabilité","Statut d'indexabilité","Liens entrants","Temps de réponse","URL de redirection","Type de redirection"
"https://deltaco.com/","text/html; charset=UTF-8","200","OK","Indexable","","13","0,609","",""
"https://deltaco.com/images/homeslideshow/2026/promo4/fish-tacos/heading.png?v=1","image/png","200","OK","Indexable","","0","0,205","",""
"https://deltaco.com/images/homeslideshow/2026/promo4/jumbo-shrimp/food.png?v=1","image/png","200","OK","Indexable","","0","0,639","",""
"https://www.youtube.com/user/deltaco","text/html; charset=utf-8","200","OK","Indexable","","88","0,117","",""
"http://www.deltacowebstore.com/","text/html","301","Moved Permanently","Non indexable","Redirigé","88","0,130","https://www.deltacowebstore.com/","Redirection HTTP"
"https://deltaco.com/images/logo-dt-better-mex.png","image/png","200","OK","Indexable","","0","1,633","",""
"https://ajax.googleapis.com/ajax/libs/jquery/3.7.1/jquery.min.js","text/javascript; charset=UTF-8","200","OK","Indexable","","0","0,044","",""
"https://deltacowebstore.com/","text/html; charset=utf-8","200","OK","Indexable","","86","0,509","",""
"https://cdnjs.cloudflare.com/ajax/libs/flexslider/2.5.0/jquery.flexslider-min.js","application/javascript; charset=utf-8","200","OK","Indexable","","0","0,151","",""
"https://deltaco.com/dist/js/main.js?v=24.110","application/javascript","200","OK","Indexable","","0","1,617","",""
"https://deltaco.com/history.html","text/html; charset=UTF-8","200","OK","Non indexable","Canonisé","50","0,641","",""
"https://deltaco.com/images/homeslideshow/2026/promo4/fish-tacos/food.png?v=1","image/png","200","OK","Indexable","","0","0,216","",""
"https://deltaco.com/images/promos/2022/rewards/bg-yellow-tear.svg","image/svg+xml","200","OK","Indexable","","0","0,691","",""
"https://twitter.com/deltaco","text/html; charset=utf-8","301","Moved Permanently","Non indexable","Redirigé","2","0,178","https://x.com/deltaco","Redirection HTTP"
"https://deltaco.com/catering.html","text/html; charset=UTF-8","200","OK","Non indexable","Canonisé","87","0,690","",""
"https://www.tiktok.com/@deltaco?_t=8UyHlzpvhxi&_r=1","text/html; charset=utf-8","200","OK","Indexable","","88","0,592","",""
"https://deltaco.com/dist/css/main.css?=69.462","text/css","200","OK","Indexable","","0","0,272","",""
"https://apply.jobappnetwork.com/del-taco/en","text/html; charset=UTF-8","200","OK","Indexable","","174","0,505","",""
"https://deltaco.com/termsandconditions.html","text/html; charset=UTF-8","200","OK","Non indexable","Canonisé","77","0,628","",""
"https://deltaco.com/dist/js/vendor/modernizr-2.8.3.min.js","application/javascript","200","OK","Indexable","","0","0,612","",""
"https://deltaco.com/images/promos/2025/rewards/table/rewards-2025-mobile﹖v=2.0.svg","image/svg+xml","200","OK","Indexable","","0","0,211","",""
"https://deltaco.com/images/social/icons/social-tiktok.svg","image/svg+xml","200","OK","Indexable","","0","0,612","",""
"https://x.com/deltaco","text/html; charset=utf-8","200","OK","Indexable","","86","0,172","",""
"https://deltaco.com/images/social/icons/social-instagram﹖v=1.svg","image/svg+xml","200","OK","Indexable","","0","0,603","",""
"https://deltaco.com/images/specials/2026/promo4/special-p4-2026-jumbo-shrimp.jpg","image/jpeg","200","OK","Indexable","","0","0,612","",""
"https://deltaco.com/images/homeslideshow/2026/promo4/spicy-jack/food.png?v=1","image/png","200","OK","Indexable","","0","0,602","",""
"https://deltaco.com/images/specials/2026/promo4/special-p7-2024-wednesday-hookups.jpg?v=1","image/jpeg","200","OK","Indexable","","0","0,582","",""
