"Adresse","Type de contenu","Code HTTP","Statut","Indexabilité","Statut d'indexabilité","Title 1","Longueur du Title 1","Largeur en pixels du Title 1","Meta Description 1","Longueur de la Meta Description 1","Largeur en pixels de la Meta Description 1","Meta Keywords 1","Longueur des Meta Keywords 1","H1-1","Longueur du H1-1","H2-1","Longueur du H2-1","H2-2","Longueur du H2-2","Meta Robots 1","Balise X-Robots 1","Meta Refresh 1","Élément de lien en version canonique 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","Élément de lien amphtml","Taille (octets)","Transféré (octets)","Total transféré (en octets)","CO2 (mg)","Empreinte carbone","Nombre de mots","Nombre de phrases","Moyenne de mots par phrase","Score de lisibilité de Flesch","Lisibilité","Ratio texte","Crawl profondeur","Profondeur du dossier","Link Score","Liens entrants","Liens entrants uniques","Liens entrants JS uniques","% du total","Liens sortants","Liens sortants uniques","Liens sortants JS uniques","Liens sortants externes","Liens sortants externes uniques","Liens sortants JS externes uniques","Quasi-doublon le plus proche","Nombre de quasi-doublons","Erreurs d'orthographe","Erreurs de grammaire","Hachage","Temps de réponse","Last Modified","URL de redirection","Type de redirection","Cookies","Language","Version HTTP","Lien alternate mobile","Adresse sémantiquement similaire la plus proche","Score de similarité sémantique","Nbre sémantiquement similaires","Score de pertinence sémantique","Adresse codée en URL","Horodatage du crawl"
"https://deltaco.com/","text/html; charset=UTF-8","200","OK","Indexable","","Del Taco - Home","15","148","Official Del Taco (R) website: Find locations, get coupons and Del Taco info, join Del Yeah! Rewards, check out the menu & nutrition info, explore Del Taco careers & franchising.","178","1072","del taco, fast food chain, franchise information, open 24 hours, macho burrito, gift cards, del taco coupons, Levy Acquisition Corp., Epic Burrito, Buck & Under Menu, Taco Nights, QSR, Del Yeah! Rewards, UnFreshingBelievable, Eat Well With Del, Fresca Bowls","257","Del Taco","8","3 for $7 Beer Battered Fish Tacos","33","3 for $7 Beer Battered Fish Tacos","33","ALL","","","","","","","","","29223","29223","29223","11,195","","490","105","4,667","69,501","Normal","11,286","0","0","","13","5","0","5,560","17","11","0","35","16","0","","","","","9c95026dabd972e44f8149ef2167404e","0,658","Sat, 07 Feb 2026 00:00:53 GMT","","","","en","1.1","","","","","","https://deltaco.com/","2026-02-27 14:04:33"
"https://deltaco.com/images/homeslideshow/2026/promo4/fish-tacos/heading.png?v=1","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","85111","85111","85111","32,604","","0","","","","","0,000","1","5","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,227","Mon, 02 Feb 2026 20:09:41 GMT","","","","","1.1","","","","","","https://deltaco.com/images/homeslideshow/2026/promo4/fish-tacos/heading.png?v=1","2026-02-27 14:04:36"
"https://deltaco.com/images/homeslideshow/2026/promo4/jumbo-shrimp/food.png?v=1","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","621001","621001","621001","237,894","","0","","","","","0,000","1","5","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,631","Mon, 02 Feb 2026 20:09:41 GMT","","","","","1.1","","","","","","https://deltaco.com/images/homeslideshow/2026/promo4/jumbo-shrimp/food.png?v=1","2026-02-27 14:04:36"
"https://deltaco.com/history.html","text/html; charset=UTF-8","200","OK","Non indexable","Canonisé","Del Taco - History","18","157","Official Del Taco (R) website: Find locations, get coupons and Del Taco info, join Del Yeah! Rewards, check out the menu & nutrition info, explore Del Taco careers & franchising.","178","1072","del taco, fast food chain, franchise information, open 24 hours, macho burrito, gift cards, del taco coupons, Levy Acquisition Corp., Epic Burrito, Buck & Under Menu, Taco Nights, QSR, Del Yeah! Rewards, UnFreshingBelievable, Eat Well With Del, Fresca Bowls","257","Del Taco","8","History","7","1960s","5","ALL","","","https://deltaco.com/history","","","","","","18201","18201","18201","6,972","","311","47","6,617","85,052","Facile","11,274","1","0","","50","43","0","47,780","23","10","0","20","13","0","","","","","b38c9d87dcf9758ab5804f2a44dab5ca","0,662","Sat, 31 Jan 2026 03:13:58 GMT","","","","en","1.1","","","","","","https://deltaco.com/history.html","2026-02-27 14:04:36"
"https://deltaco.com/images/logo-dt-better-mex.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","15183","15183","15183","5,816","","0","","","","","0,000","1","1","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,654","Sat, 03 Jan 2026 19:29:44 GMT","","","","","1.1","","","","","","https://deltaco.com/images/logo-dt-better-mex.png","2026-02-27 14:04:36"
"https://deltaco.com/images/promos/2022/rewards/bg-yellow-tear.svg","image/svg+xml","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","5646","5646","5646","2,163","","0","","","","","0,000","1","4","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,214","Sat, 03 Jan 2026 19:29:47 GMT","","","","","1.1","","","","","","https://deltaco.com/images/promos/2022/rewards/bg-yellow-tear.svg","2026-02-27 14:04:37"
"https://deltaco.com/dist/js/main.js?v=24.110","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","313767","313767","313767","120,198","","0","","","","","0,000","1","2","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,668","Tue, 06 Jan 2026 01:38:41 GMT","","","","","1.1","","","","","","https://deltaco.com/dist/js/main.js?v=24.110","2026-02-27 14:04:36"
"https://deltaco.com/images/homeslideshow/2026/promo4/fish-tacos/food.png?v=1","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","326060","326060","326060","124,907","","0","","","","","0,000","1","5","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,654","Mon, 02 Feb 2026 20:09:41 GMT","","","","","1.1","","","","","","https://deltaco.com/images/homeslideshow/2026/promo4/fish-tacos/food.png?v=1","2026-02-27 14:04:37"
"https://deltaco.com/catering.html","text/html; charset=UTF-8","200","OK","Non indexable","Canonisé","Del Taco - Catering","19","170","Official Del Taco (R) website: Find locations, get coupons and Del Taco info, join Del Yeah! Rewards, check out the menu & nutrition info, explore Del Taco careers & franchising.","178","1072","del taco, fast food chain, franchise information, open 24 hours, macho burrito, gift cards, del taco coupons, Levy Acquisition Corp., Epic Burrito, Buck & Under Menu, Taco Nights, QSR, Del Yeah! Rewards, UnFreshingBelievable, Eat Well With Del, Fresca Bowls","257","Del Taco","8","New Del Taco Catering","21","","0","ALL","","","https://deltaco.com/catering","","","","","","17525","17525","17525","6,713","","460","75","6,133","65,250","Normal","17,056","1","0","","87","43","0","47,780","18","11","0","22","14","0","","","","","9be2f6532f25f9f6d238753bf46fae7e","0,618","Sat, 31 Jan 2026 03:13:57 GMT","","","","en","1.1","","","","","","https://deltaco.com/catering.html","2026-02-27 14:04:37"
"https://deltaco.com/dist/css/main.css?=69.462","text/css","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","327757","327757","327757","125,557","","0","","","","","0,000","1","2","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,226","Tue, 03 Feb 2026 16:59:16 GMT","","","","","1.1","","","","","","https://deltaco.com/dist/css/main.css?=69.462","2026-02-27 14:04:38"
