"Adresse","Type de contenu","Taille (octets)","Liens entrants IMG","Indexabilité","Statut d'indexabilité","Dimensions"
"https://deltaco.com/images/homeslideshow/2026/promo4/fish-tacos/heading.png?v=1","image/png","85111","1","Indexable","",""
"https://deltaco.com/images/homeslideshow/2026/promo4/jumbo-shrimp/food.png?v=1","image/png","621001","1","Indexable","",""
"https://deltaco.com/images/logo-dt-better-mex.png","image/png","15183","86","Indexable","",""
"https://deltaco.com/images/promos/2022/rewards/bg-yellow-tear.svg","image/svg+xml","5646","2","Indexable","",""
"https://deltaco.com/images/homeslideshow/2026/promo4/fish-tacos/food.png?v=1","image/png","326060","1","Indexable","",""
"https://deltaco.com/images/social/icons/social-instagram﹖v=1.svg","image/svg+xml","124295","1","Indexable","",""
"https://deltaco.com/images/social/icons/social-tiktok.svg","image/svg+xml","298327","43","Indexable","",""
"https://deltaco.com/images/promos/2025/rewards/table/rewards-2025-mobile﹖v=2.0.svg","image/svg+xml","504257","1","Indexable","",""
"https://deltaco.com/images/specials/2026/promo4/special-p4-2026-jumbo-shrimp.jpg","image/jpeg","144881","2","Indexable","",""
"https://deltaco.com/images/homeslideshow/2026/promo4/spicy-jack/food.png?v=1","image/png","292140","1","Indexable","",""
"https://deltaco.com/images/specials/2026/promo4/special-p7-2024-wednesday-hookups.jpg?v=1","image/jpeg","169738","2","Indexable","",""
"https://deltaco.com/images/taco-on-wheels.svg","image/svg+xml","4994","43","Indexable","",""
"https://deltaco.com/images/promos/2024/rewards/del-yeah-header﹖v=1.png","image/png","37508","1","Indexable","",""
"https://deltaco.com/images/social/icons/social-tiktok﹖v=1.svg","image/svg+xml","298327","1","Indexable","",""
"https://deltaco.com/images/homeslideshow/2026/promo4/spicy-jack/heading.png?v=1","image/png","52699","1","Indexable","",""
"https://deltaco.com/images/homeslideshow/2026/promo4/jumbo-shrimp/heading.png?v=1","image/png","88883","1","Indexable","",""
"https://deltaco.com/images/social/icons/social-x.svg","image/svg+xml","182300","43","Indexable","",""
"https://deltaco.com/images/social/icons/social-x﹖v=1.svg","image/svg+xml","182300","1","Indexable","",""
"https://deltaco.com/images/social/icons/social-facebook.svg","image/svg+xml","259157","43","Indexable","",""
"https://deltaco.com/images/social/icons/social-youtube.svg","image/svg+xml","294503","43","Indexable","",""
