"Adresse","Type de contenu","Code HTTP","Statut","Indexabilité","Statut d'indexabilité","Title 1","Longueur du Title 1","Largeur en pixels du Title 1","Meta Description 1","Longueur de la Meta Description 1","Largeur en pixels de la Meta Description 1","Meta Keywords 1","Longueur des Meta Keywords 1","H1-1","Longueur du H1-1","H2-1","Longueur du H2-1","H2-2","Longueur du H2-2","Meta Robots 1","Balise X-Robots 1","Meta Refresh 1","Élément de lien en version canonique 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","Élément de lien amphtml","Taille (octets)","Transféré (octets)","Total transféré (en octets)","CO2 (mg)","Empreinte carbone","Nombre de mots","Nombre de phrases","Moyenne de mots par phrase","Score de lisibilité de Flesch","Lisibilité","Ratio texte","Crawl profondeur","Profondeur du dossier","Link Score","Liens entrants","Liens entrants uniques","Liens entrants JS uniques","% du total","Liens sortants","Liens sortants uniques","Liens sortants JS uniques","Liens sortants externes","Liens sortants externes uniques","Liens sortants JS externes uniques","Quasi-doublon le plus proche","Nombre de quasi-doublons","Erreurs d'orthographe","Erreurs de grammaire","Hachage","Temps de réponse","Last Modified","URL de redirection","Type de redirection","Cookies","Language","Version HTTP","Lien alternate mobile","Adresse sémantiquement similaire la plus proche","Score de similarité sémantique","Nbre sémantiquement similaires","Score de pertinence sémantique","Adresse codée en URL","Horodatage du crawl"
"https://www.quick.fr/","text/html; charset=utf-8","200","OK","Indexable","","Quick - Le Goût de se Retrouver","31","281","Découvrez toute l'actualité Quick et les offres exclusives sur nos produits et services. Trouvez un restaurant proche et dégustez votre burger préféré.","151","910","quick","5","","0","En ce moment","12","Tik Tok @Quick_France","21","","","","","","","","","","121804","19257","19257","7,377","","99","27","3,667","57,841","Assez difficile","0,550","0","0","","890","222","0","100,000","35","18","0","15","8","0","","","","","12c42261e8a289ffb6b166e3d1aec287","0,311","","","","","","1.1","","","","","","https://www.quick.fr/","2026-02-27 16:19:19"
"https://www.quick.fr/_next/static/chunks/294.33a85c5b6a8e38d5.js","text/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","3","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,077","Tue, 24 Feb 2026 10:08:17 GMT","","","","","1.1","","","","","","https://www.quick.fr/_next/static/chunks/294.33a85c5b6a8e38d5.js","2026-02-27 16:19:21"
"https://www.quick.fr/_next/static/css/b93379bf5de799a1.css","text/css","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","3","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,256","Tue, 24 Feb 2026 10:08:18 GMT","","","","","1.1","","","","","","https://www.quick.fr/_next/static/css/b93379bf5de799a1.css","2026-02-27 16:19:21"
"https://www.quick.fr/_next/static/chunks/6009-0c611f57d964799e.js","text/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","3","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,265","Tue, 24 Feb 2026 10:08:17 GMT","","","","","1.1","","","","","","https://www.quick.fr/_next/static/chunks/6009-0c611f57d964799e.js","2026-02-27 16:19:21"
"https://www.quick.fr/_next/static/chunks/6022-194ec4c90500698a.js","text/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","3","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,235","Tue, 24 Feb 2026 10:08:17 GMT","","","","","1.1","","","","","","https://www.quick.fr/_next/static/chunks/6022-194ec4c90500698a.js","2026-02-27 16:19:21"
"https://www.quick.fr/devenir-franchise","text/html; charset=utf-8","200","OK","Indexable","","Quick","5","50","Quick app","9","62","quick","5","","0","","0","","0","","","","","","","","","","26147","5874","5874","2,250","","20","10","2,000","65,215","Normal","0,589","1","0","","206","206","0","92,790","12","6","0","1","1","0","","","","","adb6a9c0b65f0307c28862f1810f90c2","0,324","","","","","","1.1","","","","","","https://www.quick.fr/devenir-franchise","2026-02-27 16:19:21"
"https://www.quick.fr/_next/static/chunks/main-7cad20998512ba06.js","text/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","3","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,280","Tue, 24 Feb 2026 10:08:17 GMT","","","","","1.1","","","","","","https://www.quick.fr/_next/static/chunks/main-7cad20998512ba06.js","2026-02-27 16:19:21"
"https://www.quick.fr/_next/static/css/c5896db6980eea85.css","text/css","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","3","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,114","Tue, 24 Feb 2026 10:08:18 GMT","","","","","1.1","","","","","","https://www.quick.fr/_next/static/css/c5896db6980eea85.css","2026-02-27 16:19:21"
"https://www.quick.fr/carriere","text/html; charset=utf-8","200","OK","Indexable","","Quick","5","50","Quick app","9","62","quick","5","","0","","0","","0","","","","","","","","","","26120","5864","5864","2,246","","20","10","2,000","65,215","Normal","0,590","1","0","","206","206","0","92,790","12","6","0","1","1","0","","","","","769328fa20ddd964e8ec9d10aa4822b8","0,404","","","","","","1.1","","","","","","https://www.quick.fr/carriere","2026-02-27 16:19:21"
"https://www.quick.fr/_next/static/chunks/9025-edeebecfd6995d33.js","text/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","3","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,114","Tue, 24 Feb 2026 10:08:17 GMT","","","","","1.1","","","","","","https://www.quick.fr/_next/static/chunks/9025-edeebecfd6995d33.js","2026-02-27 16:19:21"
