"Adresse","Type de contenu","Code HTTP","Statut","Indexabilité","Statut d'indexabilité","Title 1","Longueur du Title 1","Largeur en pixels du Title 1","Title 2","Longueur du Title 2","Largeur en pixels du Title 2","Meta Description 1","Longueur de la Meta Description 1","Largeur en pixels de la Meta Description 1","Meta Keywords 1","Longueur des Meta Keywords 1","H1-1","Longueur du H1-1","H1-2","Longueur du H1-2","H2-1","Longueur du H2-1","H2-2","Longueur du H2-2","Meta Robots 1","Meta Robots 2","Balise X-Robots 1","Meta Refresh 1","Élément de lien en version canonique 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","Élément de lien amphtml","Taille (octets)","Transféré (octets)","Total transféré (en octets)","CO2 (mg)","Empreinte carbone","Nombre de mots","Nombre de phrases","Moyenne de mots par phrase","Score de lisibilité de Flesch","Lisibilité","Ratio texte","Crawl profondeur","Profondeur du dossier","Link Score","Liens entrants","Liens entrants uniques","Liens entrants JS uniques","% du total","Liens sortants","Liens sortants uniques","Liens sortants JS uniques","Liens sortants externes","Liens sortants externes uniques","Liens sortants JS externes uniques","Quasi-doublon le plus proche","Nombre de quasi-doublons","Erreurs d'orthographe","Erreurs de grammaire","Hachage","Temps de réponse","Last Modified","URL de redirection","Type de redirection","Cookies","Language","Version HTTP","Lien alternate mobile","Adresse sémantiquement similaire la plus proche","Score de similarité sémantique","Nbre sémantiquement similaires","Score de pertinence sémantique","Adresse codée en URL","Horodatage du crawl"
"https://vintagefrenchart.com/","text/html; charset=UTF-8","200","OK","Indexable","","Vintage French Art | Brocante en Ligne & Antiquaire Castres (Tarn 81)","69","618","","0","0","Brocanteur et antiquaire a Castres dans le Tarn. Achetez en ligne des objets vintage, plaques emaillees, luminaires et meubles anciens.","135","824","","0","","0","","0","Brocante en Ligne et à Castres :","32","Nos dernières trouvailles","25","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","","https://vintagefrenchart.com/","","","","","","284076","65010","65010","24,904","","581","104","5,587","59,194","Assez difficile","1,624","0","0","","730","125","0","100,000","58","31","0","7","6","0","","","","","2280be355e52794d34e89f4af3a38581","0,419","Thu, 05 Mar 2026 18:52:27 GMT","","","","fr-FR","1.1","","","","","","https://vintagefrenchart.com/","2026-03-05 19:56:29"
"https://vintagefrenchart.com/produit/flavio-poli-bol-en-verre-de-murano-italien/","text/html; charset=UTF-8","200","OK","Indexable","","Bol verre de Murano Flavio Poli | Design italien vintage","56","483","","0","0","Bol en verre de Murano italien par Flavio Poli. Design Sommerso vintage de collection. Verrerie d'art signée.","109","653","","0","Flavio POLI : Bol en verre de Murano italien","44","","0","Flavio POLI Coupe Bol en verre de Murano italien – 1950/60","58","Flavio Poli 1900/1984","21","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","","https://vintagefrenchart.com/produit/flavio-poli-bol-en-verre-de-murano-italien/","","","","","","309866","67670","67670","25,923","","661","130","5,085","75,734","Assez facile","1,552","1","2","","27","11","0","8,800","65","32","0","7","6","0","","","","","37fb7b1a3e98f707fccfb1d32aaa401a","0,462","Thu, 05 Mar 2026 09:07:08 GMT","","","","fr-FR","1.1","","","","","","https://vintagefrenchart.com/produit/flavio-poli-bol-en-verre-de-murano-italien/","2026-03-05 19:56:31"
"https://vintagefrenchart.com/categorie-produit/jouets-vintage/","text/html; charset=UTF-8","200","OK","Indexable","","Jouets Vintage et jeux de Collection  | Vintage French Art","58","503","","0","0","Jouet vintage et jeux de Collection Votre brocante en ligne Vintage French Art, située aux alentours de Castres en France, vous présente sa catégorie jouet vintage et de collection. Un jouet ancien, que ce soit un lot de poupée ou une figurine vintage fait appel aux souvenirs de notre enfance.…","295","1782","","0","","0","","0","Jouets Vintage et jeux de Collection","36","JOUSTRA Le chat joueur","22","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","","https://vintagefrenchart.com/categorie-produit/jouets-vintage/","","","","","","265403","63786","63786","24,435","","364","69","5,275","63,192","Normal","1,236","1","2","","146","125","0","100,000","59","31","0","7","6","0","","","","","21b310dc16135f8a8b466cbc09a0c5f1","0,179","Thu, 05 Mar 2026 09:43:24 GMT","","","","fr-FR","1.1","","","","","","https://vintagefrenchart.com/categorie-produit/jouets-vintage/","2026-03-05 19:56:33"
"https://vintagefrenchart.com/boutique/","text/html; charset=UTF-8","200","OK","Indexable","","Boutique  | Vintage French Art","30","261","","0","0","Explorez notre boutique d'art vintage français. Affiches, illustrations et œuvres originales soigneusement sélectionnées. Pièces uniques et authentiques pour décorer votre intérieur.","182","1105","","0","","0","","0","Brocante en ligne d’objets vintage rares et authentiques","56","Ancienne plaque émaillée ODO double face | Publicité Vintage","60","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","","https://vintagefrenchart.com/boutique/","https://vintagefrenchart.com/boutique/page/2/","","","","","382532","70960","70960","27,183","","864","157","5,503","75,231","Assez facile","1,605","1","1","","259","125","0","100,000","125","59","0","7","6","0","","","","","c33d56e7930d3ee08ac4aa0620f3c065","0,253","Thu, 05 Mar 2026 09:06:21 GMT","","","","fr-FR","1.1","","","","","","https://vintagefrenchart.com/boutique/","2026-03-05 19:56:33"
"https://vintagefrenchart.com/produit/plaque-emaillee-ancienne-odo/","text/html; charset=UTF-8","200","OK","Indexable","","Plaque émaillée ancienne ODO double face | Publicité vintage","60","549","","0","0","Ancienne plaque émaillée ODO double face. Publicité vintage d'horlogerie pour collectionneurs. Pièce authentique et rare.","121","740","","0","Ancienne plaque émaillée ODO double face | Publicité Vintage","60","","0","Ancienne plaque publicitaire émaillée ODO double face","53","Caractéristiques de la plaque vintage ODO :","43","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","","https://vintagefrenchart.com/produit/plaque-emaillee-ancienne-odo/","","","","","","303213","67181","67181","25,736","","638","119","5,361","70,117","Assez facile","1,633","1","2","","20","8","0","6,400","65","31","0","7","6","0","","","","","6f461daec8d5b2f403fc37493cd557df","0,137","Thu, 05 Mar 2026 09:07:25 GMT","","","","fr-FR","1.1","","","","","","https://vintagefrenchart.com/produit/plaque-emaillee-ancienne-odo/","2026-03-05 19:56:33"
"https://vintagefrenchart.com/contact/","text/html; charset=UTF-8","200","OK","Indexable","","Contact | Vintage French Art, Brocanteur Castres (Tarn)","55","493","","0","0","Contactez Vintage French Art pour une estimation gratuite, un achat ou une question. Brocanteur et antiquaire dans le Tarn a Castres.","133","828","","0","","0","","0","Contactez-moi","13","","0","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","","https://vintagefrenchart.com/contact/","","","","","","285760","65835","65835","25,220","","421","85","4,953","55,315","Assez difficile","1,277","1","1","","295","125","0","100,000","43","24","0","7","6","0","","","","","8ab542290dc60b872bff9f630d751f69","0,144","Thu, 05 Mar 2026 08:56:12 GMT","","","","fr-FR","1.1","","","","","","https://vintagefrenchart.com/contact/","2026-03-05 19:56:34"
"https://vintagefrenchart.com/cart/","text/html; charset=UTF-8","200","OK","Non indexable","noindex","Cart | Vintage French Art","25","220","","0","0","","0","0","","0","Cart","4","","0","","0","","0","follow, noindex","","","","","","","","","","214379","56372","56372","21,595","","262","49","5,347","48,676","Difficile","1,173","1","1","","378","125","0","100,000","39","24","0","7","6","0","","","","","9476e9461b0e08534c2ff87ae2521636","0,907","","","","","fr-FR","1.1","","","","","","https://vintagefrenchart.com/cart/","2026-03-05 19:56:34"
"https://vintagefrenchart.com/brocante-castres/","text/html; charset=UTF-8","200","OK","Indexable","","Brocante a Castres : Marches, Antiquaires & Foires | Guide Local","64","570","","0","0","Tout savoir sur la brocante a Castres : marches d'antiquites, foires, brocanteurs locaux et histoire du marche aux puces castrain. Guide complet.","145","886","","0","","0","","0","La brocante à Castres ( Tarn)","29","Le passé de la brocante à Castres (Occitanie, Tarn, 81)","55","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","","https://vintagefrenchart.com/brocante-castres/","","","","","","237920","61926","61926","23,723","","1700","238","7,143","75,123","Assez facile","4,763","1","1","","141","125","0","100,000","54","24","0","7","6","0","","","","","ae0336c9f70c7cd149a5b59e29d85e16","0,226","Thu, 05 Mar 2026 09:06:18 GMT","","","","fr-FR","1.1","","","","","","https://vintagefrenchart.com/brocante-castres/","2026-03-05 19:56:35"
"https://vintagefrenchart.com/presentation/","text/html; charset=UTF-8","200","OK","Indexable","","Qui Sommes-Nous | Vintage French Art, Brocanteur dans le Tarn","61","571","","0","0","Vintage French Art : brocanteur et antiquaire passionne base dans le Tarn. Notre histoire, notre passion pour les objets vintage et anciens.","140","848","","0","","0","","0","Qui suis je","11","L’ART ET LA BROCANTE, UNE PASSION DEPUIS PLUS DE 36 ANS","55","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","","https://vintagefrenchart.com/presentation/","","","","","","342488","70413","70413","26,974","","887","140","6,336","54,953","Assez difficile","2,015","1","1","","256","125","0","100,000","43","24","0","7","6","0","","","","","a6bad64a69eae75769afc28978f8f953","0,606","Thu, 05 Mar 2026 18:55:59 GMT","","","","fr-FR","1.1","","","","","","https://vintagefrenchart.com/presentation/","2026-03-05 19:56:36"
"https://www.vintagefrenchart.com/blog/","text/html; charset=iso-8859-1","301","Moved Permanently","Non indexable","Redirigé","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","282","282","282","0,108","","0","","","","","0,000","1","1","","1","1","0","0,800","0","0","0","0","0","0","","","","","","1,963","","https://vintagefrenchart.com/blog/","Redirection HTTP","","","1.1","","","","","","https://www.vintagefrenchart.com/blog/","2026-03-05 19:56:36"
