"Adresse","Type de contenu","Code HTTP","Statut","Indexabilité","Statut d'indexabilité","Liens entrants","Temps de réponse","URL de redirection","Type de redirection"
"https://www.wienerschnitzel.com/","text/html; charset=UTF-8","200","OK","Indexable","","744","0,866","",""
"https://www.wienerschnitzel.com/wp-content/themes/Total/js/plugins/count-to.js?ver=6.9.1","application/javascript","200","OK","Indexable","","0","0,117","",""
"https://www.wienerschnitzel.com/wp-content/themes/wienerschnitzel/images/olo-order-now-btn.png","image/png","200","OK","Indexable","","0","0,250","",""
"https://www.wienerschnitzel.com/wp-content/themes/Total/js/plugins/flexslider.js?ver=6.9.1","application/javascript","200","OK","Indexable","","0","0,253","",""
"https://www.wienerschnitzel.com/wp-content/themes/Total/js/plugins/jquery.mousewheel.js?ver=6.9.1","application/javascript","200","OK","Indexable","","0","0,206","",""
"https://www.wienerschnitzel.com/location-results/louisiana/?address=louisiana","text/html; charset=UTF-8","200","OK","Non indexable","Canonisé","622","0,627","",""
"https://www.wienerschnitzel.com/accessibility-statement/","text/html; charset=UTF-8","200","OK","Indexable","","621","1,120","",""
"https://www.wienerschnitzel.com/legal-notice/","text/html; charset=UTF-8","200","OK","Indexable","","620","0,955","",""
"https://www.wienerschnitzel.com/location-results/arizona/?address=arizona","text/html; charset=UTF-8","200","OK","Non indexable","Canonisé","622","0,980","",""
"https://www.wienerschnitzel.com/location-results/new-mexico/?address=nm","text/html; charset=UTF-8","200","OK","Non indexable","Canonisé","622","0,957","",""
"https://www.wienerschnitzel.com/wp-content/themes/Total/js/plugins/sidr.js?ver=6.9.1","application/javascript","200","OK","Indexable","","0","0,117","",""
"https://www.wienerschnitzel.com/wp-includes/js/jquery/jquery.min.js?ver=3.7.1","application/javascript","200","OK","Indexable","","0","0,107","",""
"https://www.wienerschnitzel.com/?page_id=10216","text/html; charset=UTF-8","404","Not Found","Non indexable","Erreur client ","620","0,468","",""
"https://play.google.com/store/apps/details?id=com.olo.wienerschnitzel","text/html; charset=utf-8","200","OK","Indexable","","622","0,143","",""
"https://fonts.googleapis.com/css?family=Oswald:400,300,700","text/css; charset=utf-8","200","OK","Indexable","","0","0,079","",""
"https://www.wienerschnitzel.com/food/hot-dogs/","text/html; charset=UTF-8","200","OK","Indexable","","1508","0,851","",""
"https://www.wienerschnitzel.com/wp-content/plugins/revslider/sr6/assets/assets/dummy.png","image/png","200","OK","Indexable","","0","0,384","",""
"https://www.youtube.com/user/mostwantedwiener/videos","text/html; charset=utf-8","200","OK","Indexable","","1241","0,142","",""
"https://www.wienerschnitzel.com/wp-content/themes/Total/js/plugins/caroufredsel.js?ver=6.9.1","application/javascript","200","OK","Indexable","","0","0,105","",""
"https://www.wienerschnitzel.com/wp-content/uploads/2020/09/Snagajob-1120x78-2.jpg","image/jpeg","200","OK","Indexable","","0","0,243","",""
"https://www.wienerschnitzel.com/wp-content/themes/Total/js/plugins/tipsy.js?ver=6.9.1","application/javascript","200","OK","Indexable","","0","0,245","",""
"https://www.wienerschnitzel.com/location-results/california/?address=ca","text/html; charset=UTF-8","200","OK","Non indexable","Canonisé","622","0,766","",""
"https://www.wienerschnitzel.com/app/","text/html; charset=UTF-8","200","OK","Indexable","","621","0,928","",""
"https://www.wienerschnitzel.com/wp-content/themes/Total/js/global.js?ver=6.9.1","application/javascript","200","OK","Indexable","","0","0,284","",""
"https://www.wienerschnitzel.com/wp-content/plugins/js_composer/assets/js/dist/js_composer_front.min.js?ver=8.7.2","application/javascript","200","OK","Indexable","","0","0,144","",""
"https://www.twitter.com/Wienerschnitzel","","301","Moved Permanently","Non indexable","Redirigé","1389","0,170","https://twitter.com/Wienerschnitzel","Redirection HTTP"
"https://www.googletagmanager.com/ns.html?id=GTM-T236K4H","text/html; charset=UTF-8","200","OK","Indexable","","0","0,250","",""
"https://www.wienerschnitzel.com/location-results/southern-california/?address=newport%20beach%2Cca","text/html; charset=UTF-8","200","OK","Non indexable","Canonisé","622","0,825","",""
"https://www.wienerschnitzel.com/wp-content/plugins/revslider/sr6/assets/js/rbtools.min.js?ver=6.7.41","application/javascript","200","OK","Indexable","","0","0,233","",""
"https://www.wienerschnitzel.com/comments/","text/html; charset=UTF-8","200","OK","Indexable","","622","1,373","",""
"https://www.wienerschnitzel.com/food/crowd-pleaser-deals/","text/html; charset=UTF-8","200","OK","Indexable","","1256","1,079","",""
"https://www.wienerschnitzel.com/wp-includes/js/imagesloaded.min.js?ver=5.0.0","application/javascript","200","OK","Indexable","","0","0,116","",""
"https://www.wienerschnitzel.com/food/fries-snacks/","text/html; charset=UTF-8","200","OK","Indexable","","1248","0,773","",""
"https://www.wienerschnitzel.com/wp-content/uploads/2026/01/Nutrition-Allergen-Guide-eff-1_12_2026.pdf","application/pdf","200","OK","Indexable","","702","0,268","",""
"https://www.wienerschnitzel.com/wp-content/themes/Total/js/plugins/supersubs.js?ver=6.9.1","application/javascript","200","OK","Indexable","","0","0,107","",""
"https://www.wienerschnitzel.com/wp-content/themes/wienerschnitzel/js/jquery.maskedinput-1.3.1.min.js?ver=6.9.1","application/javascript","200","OK","Indexable","","0","0,075","",""
"https://www.wienerschnitzel.com/wp-includes/js/jquery/jquery.masonry.min.js?ver=3.1.2b","application/javascript","200","OK","Indexable","","0","0,114","",""
"https://www.wienerschnitzel.com/location-results/?address=idaho","text/html; charset=UTF-8","200","OK","Non indexable","Canonisé","622","0,495","",""
"https://www.wienerschnitzel.com/wp-content/uploads/2014/10/Polish-Sandwich.png","image/png","200","OK","Indexable","","0","0,260","",""
"https://www.wienerschnitzel.com/wp-content/themes/Total/js/plugins/touch-swipe.js?ver=6.9.1","application/javascript","200","OK","Indexable","","0","0,245","",""
"https://www.wienerschnitzel.com/wp-content/uploads/2014/10/breakfast-biscuit-sandwich-menu.png","image/png","200","OK","Indexable","","0","0,138","",""
"https://order.wienerschnitzel.com/","text/html; charset=UTF-8","403","Forbidden","Non indexable","Erreur client ","620","0,198","",""
"https://www.wienerschnitzel.com/wp-content/uploads/2014/10/menu-tastee-freez-1.png","image/png","200","OK","Indexable","","0","0,466","",""
"https://www.wienerschnitzel.com/wp-content/themes/wienerschnitzel/js/slick/slick.min.js?ver=6.9.1","application/javascript","200","OK","Indexable","","0","0,272","",""
"https://www.snagajob.com/company/wienerschnitzel","text/html; charset=UTF-8","403","Forbidden","Non indexable","Erreur client ","2","0,246","",""
"https://wienerschnitzel.myguestaccount.com/guest/nologin/account-balance","text/html; charset=UTF-8","403","Forbidden","Non indexable","Erreur client ","620","0,196","",""
"https://www.wienerschnitzel.com/wp-content/themes/Total/js/plugins/leanner-modal.js?ver=6.9.1","application/javascript","200","OK","Indexable","","0","0,255","",""
"https://www.wienerschnitzel.com/wp-content/themes/Total/js/plugins/custom-select.js?ver=6.9.1","application/javascript","200","OK","Indexable","","0","0,228","",""
"https://www.wienerschnitzel.com/wp-content/uploads/2024/05/homepage-pod-online-coupons.jpg","image/jpeg","200","OK","Indexable","","0","0,229","",""
"https://www.wienerschnitzel.com/wp-content/plugins/wp-popups-lite/src/assets/js/wppopups.js?ver=2.2.0.3","application/javascript","200","OK","Indexable","","0","0,242","",""
"https://www.wienerschnitzel.com/sitemap/","text/html; charset=UTF-8","200","OK","Indexable","","620","0,761","",""
"https://www.wienerschnitzel.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1","application/javascript","200","OK","Indexable","","0","0,115","",""
"https://www.wienerschnitzel.com/grocery/original-corn-dogs/","text/html; charset=UTF-8","200","OK","Indexable","","624","0,727","",""
"https://www.wienerschnitzel.com/wp-content/plugins/wp-accessibility/js/wp-accessibility.min.js?ver=2.3.1","application/javascript","200","OK","Indexable","","0","0,246","",""
"https://www.wienerschnitzel.com/food/drinks/","text/html; charset=UTF-8","200","OK","Indexable","","1345","0,695","",""
"https://www.wienerschnitzel.com/wp-content/themes/Total/js/plugins/hoverintent.js?ver=6.9.1","application/javascript","200","OK","Indexable","","0","0,249","",""
"https://www.wienerschnitzel.com/wp-content/themes/Total/js/plugins/waypoints.js?ver=6.9.1","application/javascript","200","OK","Indexable","","0","0,198","",""
"https://www.wienerschnitzel.com/wp-content/themes/Total/js/plugins/scrolly.js?ver=6.9.1","application/javascript","200","OK","Indexable","","0","0,269","",""
"https://www.wienerschnitzel.com/food/breakfast/","text/html; charset=UTF-8","200","OK","Indexable","","1328","0,826","",""
"https://www.wienerschnitzel.com/grocery/chili-cheese-corn-dogs/","text/html; charset=UTF-8","200","OK","Indexable","","624","0,655","",""
"https://www.facebook.com/Wienerschnitzel","text/html; charset=""utf-8""","200","OK","Indexable","","1389","0,391","",""
"https://www.wienerschnitzel.com/drive-thru-life-the-story-of-john-galardi-founder-of-wienerschnitzel/","text/html; charset=UTF-8","200","OK","Indexable","","625","0,577","",""
"https://www.wienerschnitzel.com/wp-content/themes/Total/js/plugins/masonry.js?ver=6.9.1","application/javascript","200","OK","Indexable","","0","0,109","",""
"https://www.wienerschnitzel.com/wp-content/themes/wienerschnitzel/js/geo/geo.js?ver=6.9.1","application/javascript","200","OK","Indexable","","0","0,173","",""
"https://www.wienerschnitzel.com/wp-content/cache/autoptimize/css/autoptimize_d97ece303a1985f0de4be5e998b81f77.css","text/css","200","OK","Indexable","","0","0,166","",""
"https://www.wienerschnitzel.com/coupons/","","0","Bloqué par robots.txt","Non indexable","Bloqué par robots.txt","1563","","",""
"https://www.wienerschnitzel.com/wp-content/uploads/2014/10/Combo1-transparent.png","image/png","200","OK","Indexable","","0","0,557","",""
"https://www.wienerschnitzel.com/location-results/texas/?address=tx","text/html; charset=UTF-8","200","OK","Non indexable","Canonisé","622","0,704","",""
"https://www.wienerschnitzel.com/wp-content/themes/Total/js/plugins/match-height.js?ver=6.9.1","application/javascript","200","OK","Indexable","","0","0,125","",""
"https://www.wienerschnitzel.com/wp-content/themes/wienerschnitzel/js/jquery-ui.js?ver=6.9.1","application/javascript","200","OK","Indexable","","0","0,205","",""
"https://www.wienerschnitzel.com/locations/","text/html; charset=UTF-8","200","OK","Indexable","","961","0,692","",""
