"Adresse","Type de contenu","Code HTTP","Statut","Crawl profondeur","Liens entrants"
"https://play.google.com/store/apps/details?id=com.olo.wienerschnitzel","text/html; charset=utf-8","200","OK","1","622"
"https://fonts.googleapis.com/css?family=Oswald:400,300,700","text/css; charset=utf-8","200","OK","1","0"
"https://www.youtube.com/user/mostwantedwiener/videos","text/html; charset=utf-8","200","OK","1","1241"
"https://www.twitter.com/Wienerschnitzel","","301","Moved Permanently","1","1389"
"https://www.googletagmanager.com/ns.html?id=GTM-T236K4H","text/html; charset=UTF-8","200","OK","1","0"
"https://order.wienerschnitzel.com/","text/html; charset=UTF-8","403","Forbidden","1","620"
"https://www.snagajob.com/company/wienerschnitzel","text/html; charset=UTF-8","403","Forbidden","1","2"
"https://wienerschnitzel.myguestaccount.com/guest/nologin/account-balance","text/html; charset=UTF-8","403","Forbidden","1","620"
"https://www.facebook.com/Wienerschnitzel","text/html; charset=""utf-8""","200","OK","1","1389"
"https://ggilearn.com/login/","","0","Bloqué par robots.txt","1","620"
"https://wienerschnitzelfranchise.com/","text/html; charset=UTF-8","200","OK","1","1246"
"https://www.ripcorddigital.com/","text/html; charset=UTF-8","200","OK","1","621"
"https://cdn.jsdelivr.net/gh/google/code-prettify@master/loader/run_prettify.js?ver=6.9.1","application/javascript; charset=utf-8","200","OK","1","0"
"https://nowhiring.com/hotdog/","text/html; charset=utf-8","200","OK","1","620"
"https://apps.apple.com/us/app/wienerschnitzel/id6448481896","text/html","200","OK","1","622"
"https://instagram.com/wienerschnitzel/","text/html; charset=""utf-8""","301","Moved Permanently","1","621"
"https://maps.googleapis.com/maps/api/js?language=en&key=AIzaSyB2fWbb9Qcp7q3CsK__JQdQQqurYbTxSgM&ver=4.4.17","text/javascript; charset=UTF-8","200","OK","2","0"
"https://www.w3.org/WAI/planning/statements/","text/html; charset=utf-8","200","OK","2","2"
"https://www.w3.org/WAI/standards-guidelines/wcag/","text/html; charset=utf-8","200","OK","2","1"
"https://www.p65warnings.ca.gov/places/restaurants","text/html; charset=UTF-8","200","OK","2","246"
"https://fonts.googleapis.com/css?family=Open+Sans%3A300%2C300italic%2Cregular%2Citalic%2C600%2C600italic%2C700%2C700italic%2C800%2C800italic&ver=8.7.2","text/css; charset=utf-8","200","OK","2","0"
"https://www.google.com/recaptcha/api.js?hl=en&ver=6.9.1","text/javascript; charset=utf-8","200","OK","2","0"
"https://luckysupermarkets.com/search/products?q=corn%20dogs&productId=184996","text/html","200","OK","2","1"
"https://savemart.com/search/products?q=wienerschnitzel&productId=184996","text/html","200","OK","2","1"
"https://www.vons.com/shop/product-details.971312639.html","text/html","403","Forbidden","2","1"
"https://www.albertsons.com/shop/product-details.971312639.html","text/html","403","Forbidden","2","1"
"https://maps.google.com/maps/api/js?key=AIzaSyBX6ov_PH40rr06X6ivUreEzc1zBUe8xCk&loading=async&libraries=marker%2Cgeometry%2Cplaces%2Cdrawing&callback=wpgmpInitMap&language=en&ver=6.0.6","text/javascript; charset=UTF-8","200","OK","2","0"
"https://foodmaxx.com/search/products?q=corn%20dogs&productId=184996","text/html","200","OK","2","1"
"https://foodmaxx.com/stores/250","text/html","200","OK","2","2"
"https://www.vons.com/shop/product-details.971312638.html","text/html","403","Forbidden","2","1"
"https://www.albertsons.com/shop/product-details.971312638.html","text/html","403","Forbidden","2","1"
"https://luckysupermarkets.com/search/products?q=corn%20dogs&productId=184998","text/html","200","OK","2","1"
"https://foodmaxx.com/search/products?q=corn%20dogs&productId=184998","text/html","200","OK","2","1"
"https://savemart.com/search/products?q=Weinerschitznel&productId=184998","text/html","200","OK","2","1"
"https://order.wienerschnitzel.com/menu/wienerschnitzel-338","text/html; charset=UTF-8","403","Forbidden","2","2"
"https://order.wienerschnitzel.com/menu/wienerschnitzel-459","text/html; charset=UTF-8","403","Forbidden","2","2"
"https://order.wienerschnitzel.com/menu/wienerschnitzel-339","text/html; charset=UTF-8","403","Forbidden","2","2"
"https://order.wienerschnitzel.com/menu/wienerschnitzel-699","text/html; charset=UTF-8","403","Forbidden","2","3"
"https://order.wienerschnitzel.com/menu/wienerschnitzel-578","text/html; charset=UTF-8","403","Forbidden","2","2"
"https://order.wienerschnitzel.com/menu/wienerschnitzel-697","text/html; charset=UTF-8","403","Forbidden","2","2"
"https://order.wienerschnitzel.com/menu/wienerschnitzel-337","text/html; charset=UTF-8","403","Forbidden","2","2"
"https://order.wienerschnitzel.com/menu/wienerschnitzel-698","text/html; charset=UTF-8","403","Forbidden","2","2"
"https://order.wienerschnitzel.com/menu/wienerschnitzel-456","text/html; charset=UTF-8","403","Forbidden","2","2"
"https://order.wienerschnitzel.com/menu/wienerschnitzel-577","text/html; charset=UTF-8","403","Forbidden","2","2"
"https://order.wienerschnitzel.com/menu/wienerschnitzel-332","text/html; charset=UTF-8","403","Forbidden","2","2"
"https://order.wienerschnitzel.com/menu/wienerschnitzel-695","text/html; charset=UTF-8","403","Forbidden","2","2"
"https://order.wienerschnitzel.com/menu/wienerschnitzel-894/","text/html; charset=UTF-8","403","Forbidden","2","2"
"https://order.wienerschnitzel.com/menu/wienerschnitzel-453","text/html; charset=UTF-8","403","Forbidden","2","3"
"https://order.wienerschnitzel.com/menu/wienerschnitzel-454","text/html; charset=UTF-8","403","Forbidden","2","2"
"https://order.wienerschnitzel.com/menu/wienerschnitzel-333","text/html; charset=UTF-8","403","Forbidden","2","2"
"https://order.wienerschnitzel.com/menu/wienerschnitzel-107/","text/html; charset=UTF-8","403","Forbidden","2","3"
"https://order.wienerschnitzel.com/menu/wienerschnitzel-32","text/html; charset=UTF-8","403","Forbidden","2","2"
"https://order.wienerschnitzel.com/menu/wienerschnitzel-38","text/html; charset=UTF-8","403","Forbidden","2","2"
