"Adresse","Occurrences","H1-1","Longueur du H1-1","H1-2","Longueur du H1-2","Indexabilité","Statut d'indexabilité"
"https://www.wienerschnitzel.com/","1","Wienerschnitzel","15","","0","Indexable",""
"https://www.wienerschnitzel.com/location-results/louisiana/?address=louisiana","1","Wienerschnitzel Locations in Louisiana","38","","0","Non indexable","Canonisé"
"https://www.wienerschnitzel.com/accessibility-statement/","1","Accessibility Statement for Wienerschnitzel","43","","0","Indexable",""
"https://www.wienerschnitzel.com/legal-notice/","1","Legal Notice","12","","0","Indexable",""
"https://www.wienerschnitzel.com/location-results/arizona/?address=arizona","1","Wienerschnitzel Locations in Arizona","36","","0","Non indexable","Canonisé"
"https://www.wienerschnitzel.com/location-results/new-mexico/?address=nm","1","Wienerschnitzel Locations in New Mexico","39","","0","Non indexable","Canonisé"
"https://www.wienerschnitzel.com/food/hot-dogs/","1","Hot Dogs","8","","0","Indexable",""
"https://www.wienerschnitzel.com/location-results/california/?address=ca","1","Wienerschnitzel Locations in California","39","","0","Non indexable","Canonisé"
"https://www.wienerschnitzel.com/app/","0","","0","","0","Indexable",""
"https://www.wienerschnitzel.com/location-results/southern-california/?address=newport%20beach%2Cca","1","Wienerschnitzel Locations in Southern California","48","","0","Non indexable","Canonisé"
"https://www.wienerschnitzel.com/comments/","1","We’d love to hear your comments!","32","","0","Indexable",""
"https://www.wienerschnitzel.com/food/crowd-pleaser-deals/","1","Combos & Crowd Pleasers","23","","0","Indexable",""
"https://www.wienerschnitzel.com/food/fries-snacks/","1","Fries & Snacks","14","","0","Indexable",""
"https://www.wienerschnitzel.com/location-results/?address=idaho","0","","0","","0","Non indexable","Canonisé"
"https://www.wienerschnitzel.com/sitemap/","1","Der Sitemap","11","","0","Indexable",""
"https://www.wienerschnitzel.com/grocery/original-corn-dogs/","2","Original Corn Dogs","18","Original Corn Dogs","18","Indexable",""
"https://www.wienerschnitzel.com/food/drinks/","1","Drinks","6","","0","Indexable",""
"https://www.wienerschnitzel.com/food/breakfast/","1","Breakfast","9","","0","Indexable",""
"https://www.wienerschnitzel.com/grocery/chili-cheese-corn-dogs/","2","Chili Cheese Corn Dogs","22","Chili Cheese Corn Dogs","22","Indexable",""
"https://www.wienerschnitzel.com/drive-thru-life-the-story-of-john-galardi-founder-of-wienerschnitzel/","1","Drive-Thru Life","15","","0","Indexable",""
"https://www.wienerschnitzel.com/location-results/texas/?address=tx","1","Wienerschnitzel Locations in Texas","34","","0","Non indexable","Canonisé"
"https://www.wienerschnitzel.com/locations/","1","Find Nearest Wienerschnitzel Location","37","","0","Indexable",""
"https://www.wienerschnitzel.com/category/news/","1","Latest & Greatest","17","","0","Non indexable","noindex"
"https://www.wienerschnitzel.com/food/burgers/","1","Burgers","7","","0","Indexable",""
"https://www.wienerschnitzel.com/food/","1","Food","4","","0","Indexable",""
"https://www.wienerschnitzel.com/join/","1","Join the Wiener Lovers’ Club","28","","0","Non indexable","noindex"
"https://www.wienerschnitzel.com/locations-all/","1","All Wienerschnitzel Locations","29","","0","Indexable",""
"https://www.wienerschnitzel.com/privacy-policy/","1","Privacy Policy","14","","0","Indexable",""
"https://www.wienerschnitzel.com/grocery/","0","","0","","0","Indexable",""
"https://www.wienerschnitzel.com/location-results/illinois/?address=il","1","Wienerschnitzel Locations in Illinois","37","","0","Non indexable","Canonisé"
"https://www.wienerschnitzel.com/location-results/store-locations-in-arkansas/","1","Wienerschnitzel Locations in Arkansas","37","","0","Indexable",""
"https://www.wienerschnitzel.com/locations/wiener-wagon/","1","Wiener Wagon","12","","0","Indexable",""
"https://www.wienerschnitzel.com/location-results/washington/?address=wa","1","Wienerschnitzel Locations in Washington","39","","0","Non indexable","Canonisé"
"https://www.wienerschnitzel.com/location-results/nevada/?address=nv","1","Wienerschnitzel Locations in Nevada","35","","0","Non indexable","Canonisé"
"https://www.wienerschnitzel.com/food/tastee-freez/","1","Tastee Freez","12","","0","Indexable",""
"https://www.wienerschnitzel.com/location-results/colorado/?address=co","1","Wienerschnitzel Locations in Colorado","37","","0","Non indexable","Canonisé"
"https://www.wienerschnitzel.com/location-results/utah/?address=ut","1","Wienerschnitzel Locations in Utah","33","","0","Non indexable","Canonisé"
"https://www.wienerschnitzel.com/about/","1","The World’s Largest Hot Dog Chain","33","","0","Indexable",""
"https://www.wienerschnitzel.com/food/sandwiches/","1","Sandwiches","10","","0","Indexable",""
"https://www.wienerschnitzel.com/location-results/louisiana/","1","Wienerschnitzel Locations in Louisiana","38","","0","Indexable",""
