"Adresse","Type de contenu","Taille (octets)","Liens entrants IMG","Indexabilité","Statut d'indexabilité","Dimensions"
"https://www.wienerschnitzel.com/wp-content/themes/wienerschnitzel/images/olo-order-now-btn.png","image/png","1828","620","Indexable","",""
"https://www.wienerschnitzel.com/wp-content/plugins/revslider/sr6/assets/assets/dummy.png","image/png","68","71","Indexable","",""
"https://www.wienerschnitzel.com/wp-content/uploads/2020/09/Snagajob-1120x78-2.jpg","image/jpeg","45228","1","Indexable","",""
"https://www.wienerschnitzel.com/wp-content/uploads/2014/10/Polish-Sandwich.png","image/png","78399","621","Indexable","",""
"https://www.wienerschnitzel.com/wp-content/uploads/2014/10/breakfast-biscuit-sandwich-menu.png","image/png","29841","621","Indexable","",""
"https://www.wienerschnitzel.com/wp-content/uploads/2014/10/menu-tastee-freez-1.png","image/png","32763","621","Indexable","",""
"https://www.wienerschnitzel.com/wp-content/uploads/2024/05/homepage-pod-online-coupons.jpg","image/jpeg","35447","1","Indexable","",""
"https://www.wienerschnitzel.com/wp-content/uploads/2014/10/Combo1-transparent.png","image/png","21410","621","Indexable","",""
"https://www.wienerschnitzel.com/wp-content/uploads/2023/07/google-play-white.png","image/png","1476","621","Indexable","",""
"https://www.wienerschnitzel.com/wp-content/uploads/2025/07/homepage-pods-03_Wiener-Lovers-1.jpg","image/jpeg","57814","1","Indexable","",""
"https://www.wienerschnitzel.com/wp-content/uploads/2020/09/WS-banner-snagajob-mobile-1.jpg","image/jpeg","25896","1","Indexable","",""
"https://www.wienerschnitzel.com/wp-content/uploads/2014/10/menu-drop-down-graphic.png","image/png","34305","621","Indexable","",""
"https://www.wienerschnitzel.com/wp-content/uploads/2015/09/logo1.png","image/png","8797","620","Indexable","",""
"https://www.wienerschnitzel.com/wp-content/uploads/2014/10/fries-and-snacks-2-1.png","image/png","39601","621","Indexable","",""
"https://www.wienerschnitzel.com/wp-content/uploads/2023/07/app-store-white.png","image/png","1549","621","Indexable","",""
"https://www.wienerschnitzel.com/wp-content/uploads/2014/01/heritage-pod-2.jpg","image/jpeg","24947","1","Indexable","",""
"https://www.wienerschnitzel.com/wp-content/themes/wienerschnitzel/images/footer_restaurant.png","image/png","53797","620","Indexable","",""
"https://www.wienerschnitzel.com/wp-content/uploads/2014/10/menu-hotdogs.png","image/png","29139","621","Indexable","",""
"https://www.wienerschnitzel.com/wp-content/uploads/2014/10/menu-burgers-1.png","image/png","38198","621","Indexable","",""
"https://www.wienerschnitzel.com/wp-content/uploads/2014/10/chicago-dog.png","image/png","24028","1","Indexable","",""
"https://www.wienerschnitzel.com/wp-content/uploads/2016/01/mini-corn-dogs-1.png","image/png","17472","1","Indexable","",""
"https://www.wienerschnitzel.com/wp-content/uploads/2014/10/kraut-dog.png","image/png","23225","1","Indexable","",""
"https://www.wienerschnitzel.com/wp-content/uploads/2014/10/nutritional-allergy_info-btn.png","image/png","9072","82","Indexable","",""
"https://www.wienerschnitzel.com/wp-content/uploads/2020/10/BBQ-Bacon-Dog.png","image/png","28383","1","Indexable","",""
"https://www.wienerschnitzel.com/wp-content/uploads/2014/10/angus-beef-dog-and-original-dog-1.png","image/png","48886","1","Indexable","",""
"https://www.wienerschnitzel.com/wp-content/uploads/2014/10/warning-desktop-3.jpg","image/jpeg","35744","164","Indexable","",""
