"Adresse","Occurrences","Meta Description 1","Longueur de la Meta Description 1","Largeur en pixels de la Meta Description 1","Indexabilité","Statut d'indexabilité"
"https://www.wienerschnitzel.com/","1","Wienerschnitzel serving Hot Dog, Chili Cheese-Burgers, Corn Dogs, Chili, Tastee-Freez, and Breakfast. More than 320 quick-serve restaurants in 11 states.","153","941","Indexable",""
"https://www.wienerschnitzel.com/location-results/louisiana/?address=louisiana","1","Wienerschnitzel is one of the leading Hot Dog fast food restaurants in Louisiana. Find the nearest Wienerschnitzel hot dog restaurant to you.","141","864","Non indexable","Canonisé"
"https://www.wienerschnitzel.com/accessibility-statement/","0","","0","0","Indexable",""
"https://www.wienerschnitzel.com/legal-notice/","1","Legal Notice All content of this Internet site is owned or controlled by Galardi Group, Inc. and is protected by worldwide copyright laws.","138","827","Indexable",""
"https://www.wienerschnitzel.com/location-results/arizona/?address=arizona","1","Wienerschnitzel is one of the leading Hot Dog fast food restaurants in Arizona. Find the nearest Wienerschnitzel hot dog restaurant to you.","139","851","Non indexable","Canonisé"
"https://www.wienerschnitzel.com/location-results/new-mexico/?address=nm","1","Wienerschnitzel is one of the leading Hot Dog fast food restaurants in New Mexico. Find the nearest Wienerschnitzel hot dog restaurant to you.","142","878","Non indexable","Canonisé"
"https://www.wienerschnitzel.com/food/hot-dogs/","1","At Wienerschnitzel you have the choice of our hot dogs in Original or 100% All-Beef. Chili Cheese Dog, Kraut Dog, Chicago Dog, Pastrami Dog, Mustard","148","918","Indexable",""
"https://www.wienerschnitzel.com/location-results/california/?address=ca","1","Wienerschnitzel is one of the leading Hot Dog fast food restaurants in California. Find the nearest hot dog restaurant to you.","126","763","Non indexable","Canonisé"
"https://www.wienerschnitzel.com/app/","1","Download the all-new Wienerschnitzel app! Easy ordering, easy delivery and customize your food the way you like it!","115","710","Indexable",""
"https://www.wienerschnitzel.com/location-results/southern-california/?address=newport%20beach%2Cca","1","Wienerschnitzel is one of the leading Hot Dog fast food restaurants in Southern California. Find the nearest Wienerschnitzel hot dog restaurant to you.","151","923","Non indexable","Canonisé"
"https://www.wienerschnitzel.com/comments/","1","Share your comments with Wienerschnitzel about online merchandise, customer service, or restaurant visits — we value your feedback.","131","829","Indexable",""
"https://www.wienerschnitzel.com/food/crowd-pleaser-deals/","1","Crowd Pleasers - Wienerschnitzel","32","204","Indexable",""
"https://www.wienerschnitzel.com/food/fries-snacks/","1","Fries & Snacks - Wienerschnitzel - French Fries, Curly Fries, Jalapeno Poppers, Chili Cheese Fries, Chicken Dippers","115","691","Indexable",""
"https://www.wienerschnitzel.com/location-results/?address=idaho","1","Find a Wienerschnitzel location near you, serving the worlds best Hot Dogs, Chili Cheese Fries, and Tastee Freez Soft Serve. We have over 300 locations.","152","929","Non indexable","Canonisé"
"https://www.wienerschnitzel.com/sitemap/","1","The sitemap for Wienerschnitzel's internet site. Navigate to any page on the website through the sitemap.","105","647","Indexable",""
"https://www.wienerschnitzel.com/grocery/original-corn-dogs/","0","","0","0","Indexable",""
"https://www.wienerschnitzel.com/food/drinks/","1","Drinks - Wienerschnitzel - Coca-Cola, Diet Coke, Sprite, Dr Pepper, Fanta, Barq's Root Beer, Minute Made Lemonade, Southern Lemonade, Iced Tea, Bottled Water","157","982","Indexable",""
"https://www.wienerschnitzel.com/food/breakfast/","1","Breakfast - Wienerschnitzel - Burritos, Biscuit Sandwiches, French Toast, Orange Juice, Chili Cheese Burrito","108","656","Indexable",""
"https://www.wienerschnitzel.com/grocery/chili-cheese-corn-dogs/","0","","0","0","Indexable",""
"https://www.wienerschnitzel.com/drive-thru-life-the-story-of-john-galardi-founder-of-wienerschnitzel/","0","","0","0","Indexable",""
"https://www.wienerschnitzel.com/location-results/texas/?address=tx","1","Wienerschnitzel is one of the leading Hot Dog fast food restaurants in Texas. Find the nearest Wienerschnitzel hot dog restaurant to you.","137","840","Non indexable","Canonisé"
"https://www.wienerschnitzel.com/locations/","1","Locations - Wienerschnitzel. Fast Food Near Me. The World's Largest Hot Dog Chain. 320 Quick-serve restaurants in 11 states. Serving Hot Dogs and Hamburgers","156","995","Indexable",""
"https://www.wienerschnitzel.com/category/news/","1","Get the latest news for Wienerschnitzel - location openings, events, partnerships with the World's Largest Hot Dog Chain","120","737","Non indexable","noindex"
"https://www.wienerschnitzel.com/food/burgers/","1","Burgers - Wienerschnitzel - Hamburgers and Chili Cheeseburgers","62","396","Indexable",""
"https://www.wienerschnitzel.com/food/","1","Explore the full Wienerschnitzel menu, featuring classic hot dogs, corn dogs, chili favorites, burgers, fries, and Tastee Freez treats.","135","794","Indexable",""
"https://www.wienerschnitzel.com/join/","1","Sign up for the Wiener Lovers’ Club to get free food offers, birthday rewards, and exclusive promos delivered straight to your inbox & phone.","141","856","Non indexable","noindex"
"https://www.wienerschnitzel.com/locations-all/","1","Wienerschnitzel's fast food joints and restaurants are present at more than 350 locations. It is an American fast food chain founded in 1961.","141","864","Indexable",""
"https://www.wienerschnitzel.com/privacy-policy/","1","Review the Wienerschnitzel Privacy Policy to understand how we collect, use, and protect your personal information and data.","124","774","Indexable",""
"https://www.wienerschnitzel.com/grocery/","0","","0","0","Indexable",""
"https://www.wienerschnitzel.com/location-results/illinois/?address=il","1","Wienerschnitzel is one of the leading Hot Dog fast food restaurants in Illinois. Find the nearest hot dog restaurant to you.","124","742","Non indexable","Canonisé"
"https://www.wienerschnitzel.com/location-results/store-locations-in-arkansas/","1","Wienerschnitzel is one of the leading Hot Dog fast food restaurants in Texas. Find the nearest Wienerschnitzel hot dog restaurant to you.","137","840","Indexable",""
"https://www.wienerschnitzel.com/locations/wiener-wagon/","1","The Wiener Wagon is a full-service mobile restaurant serving up all our world-famous Wienerschnitzel menu items. Let the Wiener Wagon cater your next event.","156","973","Indexable",""
"https://www.wienerschnitzel.com/location-results/washington/?address=wa","1","Wienerschnitzel is one of the leading Hot Dog fast food restaurants in Washington. Find the nearest Wienerschnitzel hot dog restaurant to you.","142","878","Non indexable","Canonisé"
"https://www.wienerschnitzel.com/location-results/nevada/?address=nv","1","Wienerschnitzel is one of the leading Hot Dog fast food restaurants in Nevada. Find the nearest Wienerschnitzel hot dog restaurant to you.","138","851","Non indexable","Canonisé"
"https://www.wienerschnitzel.com/food/tastee-freez/","1","Tastee-Freez - Wienerschnitzel - Sundaes, Soft Serve Cones, Banana Split, Shakes, Freezees, Mug Root Beer Floats","112","699","Indexable",""
"https://www.wienerschnitzel.com/location-results/colorado/?address=co","1","Wienerschnitzel is one of the leading Hot Dog fast food restaurants in Colorado. Find the nearest hot dog restaurant to you.","124","760","Non indexable","Canonisé"
"https://www.wienerschnitzel.com/location-results/utah/?address=ut","1","Wienerschnitzel is one of the leading Hot Dog fast food restaurants in Utah. Find the nearest Wienerschnitzel hot dog restaurant to you.","136","833","Non indexable","Canonisé"
"https://www.wienerschnitzel.com/about/","1","Learn about Wienerschnitzel’s history, mission, and growth into the world’s largest hot dog chain, dedicated to quality food and service.","137","833","Indexable",""
"https://www.wienerschnitzel.com/food/sandwiches/","1","Sandwiches - Wienerschnitzel - Pastrami and Polish Sandwich","59","381","Indexable",""
"https://www.wienerschnitzel.com/location-results/louisiana/","1","Wienerschnitzel is one of the leading Hot Dog fast food restaurants in Louisiana. Find the nearest Wienerschnitzel hot dog restaurant to you.","141","864","Indexable",""
"https://www.wienerschnitzel.com/location-results/arizona/","1","Wienerschnitzel is one of the leading Hot Dog fast food restaurants in Arizona. Find the nearest Wienerschnitzel hot dog restaurant to you.","139","851","Indexable",""
"https://www.wienerschnitzel.com/location-results/new-mexico/","1","Wienerschnitzel is one of the leading Hot Dog fast food restaurants in New Mexico. Find the nearest Wienerschnitzel hot dog restaurant to you.","142","878","Indexable",""
"https://www.wienerschnitzel.com/food/hot-dogs/mustard-dog/","1","Our Mustard Dog is a grilled original Wienerschnitzel Hot Dog in a fresh, steamed bun topped with tangy French's mustard.","121","752","Indexable",""
"https://www.wienerschnitzel.com/food/hot-dogs/chili-cheese-dog/","1","Chili Cheese Dog is a grilled original Hot Dog in a fresh, steamed bun with a slice of American cheese, topped with Wienerschnitzel's world famous Chili sauce.","159","962","Indexable",""
"https://www.wienerschnitzel.com/food/hot-dogs/green-chile-chili-cheese-dog/","1","Green Chile Chili Cheese Dog is a grilled original Hot Dog in a fresh, steamed bun topped with Wienerschnitzel’s world famous Chili sauce made from a secret recipe, shredded cheddar cheese and Hatch green chiles.","212","1309","Indexable",""
"https://www.wienerschnitzel.com/food/hot-dogs/chicago-veggie-dog/","1","A Veggie Dog in a fresh, steamed bun topped with tomato, chopped onions, pickle spear, relish, sport peppers, yellow mustard and sprinkled with celery salt just like in Chicago!","177","1073","Indexable",""
"https://www.wienerschnitzel.com/food/hot-dogs/bbq-bacon-dog/","1","Grilled World Famous Original Dog in a fresh steamed bun topped with bacon, BBQ sauce, grilled onions and shredded cheddar.","123","782","Indexable",""
"https://www.wienerschnitzel.com/food/hot-dogs/junkyard-dog/","1","The Junkyard Dog has everything but the kitchen sink is served on this Wienerschnitzel favorite! An original grilled Hot Dog is topped with French Fries; world famous Chili sauce; a slice of American cheese; French's mustard and grilled onions all on a hot, steamed bun.","270","1636","Indexable",""
"https://www.wienerschnitzel.com/food/hot-dogs/chili-dog/","1","Our chili dog is a grilled original hot dog in a fresh, steamed bun topped with Wienerschnitzel's world famous chili sauce made from a secret recipe.","149","897","Indexable",""
"https://www.wienerschnitzel.com/food/hot-dogs/corn-dog/","1","Our Corn Dog is a Wienerschnitzel original, a chicken frank is dipped in sweet honey batter and deep fried to perfection!","121","728","Indexable",""
"https://www.wienerschnitzel.com/food/hot-dogs/kraut-dog/","1","Our Kraut Dog is a grilled original Wienerschnitzel Hot Dog in a fresh, steamed bun topped with tangy sauerkraut and French's mustard.","134","832","Indexable",""
"https://www.wienerschnitzel.com/food/hot-dogs/mini-corn-dogs/","1","Mini Corn Dogs, Delicious mini franks dipped in sweet honey corn batter and deep fried to perfection. Available in 6 Pak, 12 Pak and 20 Pak.","140","853","Indexable",""
