"Adresse","Occurrences","Title 1","Longueur du Title 1","Largeur en pixels du Title 1","Indexabilité","Statut d'indexabilité"
"https://www.wienerschnitzel.com/","1","Wienerschnitzel Premium Hot Dogs - The World's Largest Hot Dog Chain","68","644","Indexable",""
"https://www.wienerschnitzel.com/location-results/louisiana/?address=louisiana","1","Hot Dog Restaurant Locations in Louisiana - Wienerschnitzel","59","538","Non indexable","Canonisé"
"https://www.wienerschnitzel.com/accessibility-statement/","1","Accessibility Statement - Wienerschnitzel","41","370","Indexable",""
"https://www.wienerschnitzel.com/legal-notice/","1","Legal Notice - Wienerschnitzel","30","271","Indexable",""
"https://www.wienerschnitzel.com/location-results/arizona/?address=arizona","1","Hot Dog Restaurant Locations in Arizona - Wienerschnitzel","57","520","Non indexable","Canonisé"
"https://www.wienerschnitzel.com/location-results/new-mexico/?address=nm","1","Hot Dog Restaurant Locations in New Mexico - Wienerschnitzel","60","561","Non indexable","Canonisé"
"https://www.wienerschnitzel.com/food/hot-dogs/","1","Hot Dogs - Wienerschnitzel - Delicious Premium Hot Dogs","55","513","Indexable",""
"https://www.wienerschnitzel.com/location-results/california/?address=ca","1","Hot Dog Restaurant Locations in California - Wienerschnitzel","60","538","Non indexable","Canonisé"
"https://www.wienerschnitzel.com/app/","1","Get the Wienerschnitzel App - Wienerschnitzel","45","413","Indexable",""
"https://www.wienerschnitzel.com/location-results/southern-california/?address=newport%20beach%2Cca","1","Hot Dog Restaurant Locations in Southern California - Wienerschnitzel","69","624","Non indexable","Canonisé"
"https://www.wienerschnitzel.com/comments/","1","Customer Feedback & Comments | Wienerschnitzel Contact Form","59","585","Indexable",""
"https://www.wienerschnitzel.com/food/crowd-pleaser-deals/","1","Crowd Pleasers - Wienerschnitzel","32","299","Indexable",""
"https://www.wienerschnitzel.com/food/fries-snacks/","1","Fries & Snacks - Wienerschnitzel - French Fries, Curly Fries,","61","522","Indexable",""
"https://www.wienerschnitzel.com/location-results/?address=idaho","1","Store Locations - Wienerschnitzel","33","299","Non indexable","Canonisé"
"https://www.wienerschnitzel.com/sitemap/","1","Sitemap - Wienerschnitzel","25","234","Indexable",""
"https://www.wienerschnitzel.com/grocery/original-corn-dogs/","1","Original Corn Dogs - Wienerschnitzel","36","325","Indexable",""
"https://www.wienerschnitzel.com/food/drinks/","1","Drinks - Wienerschnitzel - Coca-Cola, Diet Coke, Sprite, Iced Tea","65","564","Indexable",""
"https://www.wienerschnitzel.com/food/breakfast/","1","Breakfast - Wienerschnitzel","27","245","Indexable",""
"https://www.wienerschnitzel.com/grocery/chili-cheese-corn-dogs/","1","Chili Cheese Corn Dogs - Wienerschnitzel","40","367","Indexable",""
"https://www.wienerschnitzel.com/drive-thru-life-the-story-of-john-galardi-founder-of-wienerschnitzel/","1","Drive-Thru Life The Story of John Galardi Founder of Wienerschnitzel - Wienerschnitzel","86","771","Indexable",""
"https://www.wienerschnitzel.com/location-results/texas/?address=tx","1","Hot Dog Restaurant Locations in Texas - Wienerschnitzel","55","506","Non indexable","Canonisé"
"https://www.wienerschnitzel.com/locations/","1","Locations - Wienerschnitzel - Fast Food Near Me","47","431","Indexable",""
"https://www.wienerschnitzel.com/category/news/","1","Latest News & Press Releases | Wienerschnitzel","46","429","Non indexable","noindex"
"https://www.wienerschnitzel.com/food/burgers/","1","Hamburgers - Wienerschnitzel - Hamburgers and Chili Cheeseburgers","65","619","Indexable",""
"https://www.wienerschnitzel.com/food/","1","Wienerschnitzel Menu | Hot Dogs, Burgers & Tastee Freez","55","512","Indexable",""
"https://www.wienerschnitzel.com/join/","1","Join the Wiener Lovers’ Club | Exclusive Deals & Rewards","56","506","Non indexable","noindex"
"https://www.wienerschnitzel.com/locations-all/","1","Fast Food Joints, Restaurant Locations | Wienerschnitzel","56","505","Indexable",""
"https://www.wienerschnitzel.com/privacy-policy/","1","Wienerschnitzel Privacy Policy | Your Data & Rights","51","452","Indexable",""
"https://www.wienerschnitzel.com/grocery/","1","Wienerschnitzel Food in Grocery Stores","38","350","Indexable",""
"https://www.wienerschnitzel.com/location-results/illinois/?address=il","1","Hot Dog Restaurant Locations in Illinois - Wienerschnitzel","58","509","Non indexable","Canonisé"
