"Adresse","Occurrences","H1-1","Longueur du H1-1","H1-2","Longueur du H1-2","Indexabilité","Statut d'indexabilité"
"https://vintagefrenchart.com/","0","","0","","0","Indexable",""
"https://vintagefrenchart.com/produit/flavio-poli-bol-en-verre-de-murano-italien/","1","Flavio POLI : Bol en verre de Murano italien","44","","0","Indexable",""
"https://vintagefrenchart.com/categorie-produit/jouets-vintage/","0","","0","","0","Indexable",""
"https://vintagefrenchart.com/boutique/","0","","0","","0","Indexable",""
"https://vintagefrenchart.com/produit/plaque-emaillee-ancienne-odo/","1","Ancienne plaque émaillée ODO double face | Publicité Vintage","60","","0","Indexable",""
"https://vintagefrenchart.com/contact/","0","","0","","0","Indexable",""
"https://vintagefrenchart.com/brocante-castres/","0","","0","","0","Indexable",""
"https://vintagefrenchart.com/cart/","1","Cart","4","","0","Non indexable","noindex"
"https://vintagefrenchart.com/presentation/","0","","0","","0","Indexable",""
"https://vintagefrenchart.com/conditions-generales-vente/","0","","0","","0","Non indexable","noindex"
"https://vintagefrenchart.com/categorie-produit/assises/","0","","0","","0","Indexable",""
"https://vintagefrenchart.com/conditions-generales-utilisation/","0","","0","","0","Non indexable","noindex"
"https://vintagefrenchart.com/categorie-produit/objets-dart-et-decoration/","0","","0","","0","Indexable",""
"https://vintagefrenchart.com/my-account/woo-wish-list/","1","My account","10","","0","Non indexable","noindex"
"https://vintagefrenchart.com/foire-aux-questions/","0","","0","","0","Indexable",""
"https://vintagefrenchart.com/categorie-produit/mode-luxe-vintage/","0","","0","","0","Indexable",""
"https://vintagefrenchart.com/categorie-produit/montre-vintage/","0","","0","","0","Indexable",""
"https://vintagefrenchart.com/produit/hermes-belami-flacon-de-parfum-geant-brocante-en-ligne/","2","HERMES BelAmi Flacon de parfum géant","36","HERMES flacon de parfum géant","29","Indexable",""
"https://vintagefrenchart.com/politique-de-cookie/","0","","0","","0","Non indexable","noindex"
"https://vintagefrenchart.com/mentions-legales-et-politique-de-confidentialite/","0","","0","","0","Non indexable","noindex"
