N°;Actif;Question;Statut;Assigné;Outil;Notes;Catégorie;URLs Impactées
1;TRUE;"Existe t-il des pages avec une balise <title> manquante ?";Échoué;;Screaming Frog;"1 URL(s) concernée(s)";Problèmes On-page;1
2;TRUE;"Y'a t-il des pages avec balises <title> dupliquées ?";Réussi;;Screaming Frog;"";Problèmes On-page;0
3;TRUE;"Y'a t-il des pages avec balises Title dont le nombre de pixels est supérieur à 512 ?";Réussi;;Screaming Frog;"";Problèmes On-page;0
4;TRUE;"Y'a t-il des pages avec balises Title possédant moins de 30 caractères ?";Échoué;;Screaming Frog;"2 URL(s) concernée(s)";Problèmes On-page;2
5;TRUE;"Y'a t-il des pages avec balises Title possédant plus de 60 caractères ?";Réussi;;Screaming Frog;"";Problèmes On-page;0
6;TRUE;"Existe t-il des pages avec une meta description manquante ?";Échoué;;Screaming Frog;"4 URL(s) concernée(s)";Problèmes On-page;4
7;TRUE;"Y'a t-il des pages avec meta descriptions dupliquées ?";Réussi;;Screaming Frog;"";Problèmes On-page;0
8;TRUE;"Y'a t-il des pages avec meta description de moins de 70 caractères ?";Réussi;;Screaming Frog;"";Problèmes On-page;0
9;TRUE;"Y'a t-il des pages avec meta description de plus de 160 caractères ?";Réussi;;Screaming Frog;"";Problèmes On-page;0
10;TRUE;"Y'a t-il des pages avec meta description dont le nombre de pixels est supérieur à 835 ?";Échoué;;Screaming Frog;"1 URL(s) concernée(s)";Problèmes On-page;1
11;TRUE;"Existe t-il des pages avec une balise H1 manquante ?";Échoué;;Screaming Frog;"4 URL(s) concernée(s)";Problèmes On-page;4
12;TRUE;"Y'a t-il des pages avec plusieurs balises H1 ?";Réussi;;Screaming Frog;"";Problèmes On-page;0
13;TRUE;"Y'a t-il des pages avec balises H1 dupliquées ?";Réussi;;Screaming Frog;"";Problèmes On-page;0
14;TRUE;"Y'a t-il des pages avec balises H1 de plus de 70 caractères ?";Réussi;;Screaming Frog;"";Problèmes On-page;0
15;TRUE;"Y'a t-il des pages sans balises H2 ?";Échoué;;Screaming Frog;"4 URL(s) concernée(s)";Problèmes On-page;4
16;TRUE;"Y'a t-il des pages avec balises H2 de plus de 70 caractères ?";Réussi;;Screaming Frog;"";Problèmes On-page;0
17;TRUE;"Y'a t-il des pages avec un contenu faible (< 300 mots) ?";Échoué;;Screaming Frog;"2 URL(s) concernée(s)";Problèmes On-page;2
18;TRUE;"Existe t-il des pages orphelines (sans liens internes) ?";Réussi;;Screaming Frog;"";Structure du site;0
19;TRUE;"Y'a t-il des pages profondes (> 3 clics de l'accueil) ?";Réussi;;Screaming Frog;"";Structure du site;0
20;TRUE;"Y'a t-il des pages en erreur (4xx/5xx) ?";Réussi;;Screaming Frog;"";Technique;0
