"Adresse","Type de contenu","Code HTTP","Statut","Indexabilité","Statut d'indexabilité","Liens entrants","Temps de réponse","URL de redirection","Type de redirection"
"https://httpbin.org/","text/html; charset=utf-8","200","OK","Indexable","","0","0,143","",""
"https://httpbin.org/flasgger_static/swagger-ui.css","text/css; charset=utf-8","200","OK","Indexable","","0","0,179","",""
"https://httpbin.org/forms/post","text/html; charset=utf-8","200","OK","Indexable","","1","0,468","",""
"https://httpbin.org/flasgger_static/swagger-ui-bundle.js","application/javascript","200","OK","Indexable","","0","0,512","",""
"https://github.com/rochacbruno/flasgger","text/html; charset=utf-8","301","Moved Permanently","Non indexable","Redirigé","1","0,211","https://github.com/flasgger/flasgger","Redirection HTTP"
"https://httpbin.org/flasgger_static/lib/jquery.min.js","application/javascript","200","OK","Indexable","","0","0,668","",""
"https://github.com/requests/httpbin","text/html; charset=utf-8","301","Moved Permanently","Non indexable","Redirigé","1","0,202","https://github.com/postmanlabs/httpbin","Redirection HTTP"
"https://fonts.googleapis.com/css?family=Open+Sans:400,700|Source+Code+Pro:300,600|Titillium+Web:400,600,700","text/css; charset=utf-8","200","OK","Indexable","","0","0,070","",""
"https://httpbin.org/flasgger_static/swagger-ui-standalone-preset.js","application/javascript","200","OK","Indexable","","0","0,763","",""
"https://kennethreitz.org/","text/html; charset=utf-8","200","OK","Indexable","","1","0,162","",""
