"Adresse","Type de contenu","Code HTTP","Statut","Indexabilité","Statut d'indexabilité","Liens entrants","Temps de réponse","URL de redirection","Type de redirection"
"https://httpbin.org/","text/html; charset=utf-8","200","OK","Indexable","","0","0,338","",""
"https://httpbin.org/flasgger_static/swagger-ui.css","text/css; charset=utf-8","200","OK","Indexable","","0","0,261","",""
"https://httpbin.org/flasgger_static/swagger-ui-bundle.js","application/javascript","200","OK","Indexable","","0","0,965","",""
"https://httpbin.org/forms/post","text/html; charset=utf-8","200","OK","Indexable","","1","1,125","",""
"https://httpbin.org/flasgger_static/lib/jquery.min.js","application/javascript","200","OK","Indexable","","0","1,401","",""
"https://httpbin.org/flasgger_static/swagger-ui-standalone-preset.js","application/javascript","200","OK","Indexable","","0","1,153","",""
"https://github.com/rochacbruno/flasgger","text/html; charset=utf-8","301","Moved Permanently","Non indexable","Redirigé","1","0,455","https://github.com/flasgger/flasgger","Redirection HTTP"
"https://fonts.googleapis.com/css?family=Open+Sans:400,700|Source+Code+Pro:300,600|Titillium+Web:400,600,700","text/css; charset=utf-8","200","OK","Indexable","","0","0,144","",""
"https://github.com/requests/httpbin","text/html; charset=utf-8","301","Moved Permanently","Non indexable","Redirigé","1","0,520","https://github.com/postmanlabs/httpbin","Redirection HTTP"
"https://kennethreitz.org/","text/html; charset=utf-8","200","OK","Indexable","","1","0,165","",""
