"Adresse","Type de contenu","Taille (octets)","Liens entrants IMG","Indexabilité","Statut d'indexabilité","Dimensions"
"https://www.quick.fr/_next/static/images/icon-account-white-ee0a828870f91047b0c77aca16155705.svg","image/svg+xml","321","443","Indexable","",""
"https://www.quick.fr/_next/static/images/burger-b00098380e9c31597daf3162b16920ba.svg","image/svg+xml","169","443","Indexable","",""
"https://www.quick.fr/_next/static/images/icon-map-white-8379f6ac3a127d3e00446473084fabff.svg","image/svg+xml","335","443","Indexable","",""
"https://www.quick.fr/_next/static/images/menu-icon-restaurant-2334f6fc667be3877f50dae0e377b6bf.png","image/png","1030","222","Indexable","",""
"https://www.quick.fr/_next/static/images/menu-icon-compte-c1264660cc1ba735fb19eb82f1a6364c.png","image/png","310","222","Indexable","",""
"https://www.quick.fr/_next/static/images/checkbox-unchecked-desktop-0d5c7c11054db3eaa5ddbba43193ac07.svg","image/svg+xml","154","2","Indexable","",""
"https://www.quick.fr/mealImages/categories/28.webp","image/webp","535412","1","Indexable","",""
"https://www.quick.fr/mealImages/categories/enCeMoment.webp","image/webp","202080","1","Indexable","",""
"https://www.quick.fr/mealImages/categories/27.webp","image/webp","31236","1","Indexable","",""
"https://www.quick.fr/mealImages/categories/35.webp","image/webp","30264","1","Indexable","",""
"https://www.quick.fr/mealImages/categories/menu.webp","image/webp","167880","1","Indexable","",""
"https://www.quick.fr/_next/static/images/evaluateCustomerExperience-9f4437cd5972f46821ded6c6323a829f.jpg","image/jpeg","23207","1","Indexable","",""
"https://www.quick.fr/mealImages/categories/36.webp","image/webp","24206","1","Indexable","",""
"https://www.quick.fr/mealImages/categories/30.webp","image/webp","50586","1","Indexable","",""
"https://www.quick.fr/mealImages/categories/37.webp","image/webp","46710","1","Indexable","",""
"https://www.quick.fr/mealImages/categories/32.webp","image/webp","44800","1","Indexable","",""
"https://www.quick.fr/mealImages/categories/menus-enfants.webp","image/webp","38776","1","Indexable","",""
"https://www.quick.fr/mealImages/categories/29.webp","image/webp","33080","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_759.jpg","image/jpeg","8354","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_756.jpg","image/jpeg","12918","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_764.jpg","image/jpeg","14816","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_757.jpg","image/jpeg","12914","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_763.jpg","image/jpeg","13207","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_758.jpg","image/jpeg","12914","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_762.jpg","image/jpeg","13006","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_760.jpg","image/jpeg","12665","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_761.jpg","image/jpeg","14606","1","Indexable","",""
"https://www.quick.fr/mealImages/menus/list/menu_606.jpg","image/jpeg","9047","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_856.jpg","image/jpeg","8880","1","Indexable","",""
"https://www.quick.fr/mealImages/menus/list/menu_605.jpg","image/jpeg","12892","1","Indexable","",""
"https://www.quick.fr/mealImages/products/list/product_1044.jpg","image/jpeg","12524","1","Indexable","",""
