"Adresse","Type de contenu","Code HTTP","Statut","Indexabilité","Statut d'indexabilité","Title 1","Longueur du Title 1","Largeur en pixels du Title 1","Meta Description 1","Longueur de la Meta Description 1","Largeur en pixels de la Meta Description 1","Meta Keywords 1","Longueur des Meta Keywords 1","H1-1","Longueur du H1-1","H2-1","Longueur du H2-1","H2-2","Longueur du H2-2","Meta Robots 1","Balise X-Robots 1","Meta Refresh 1","Élément de lien en version canonique 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","Élément de lien amphtml","Taille (octets)","Transféré (octets)","Total transféré (en octets)","CO2 (mg)","Empreinte carbone","Nombre de mots","Nombre de phrases","Moyenne de mots par phrase","Score de lisibilité de Flesch","Lisibilité","Ratio texte","Crawl profondeur","Profondeur du dossier","Link Score","Liens entrants","Liens entrants uniques","Liens entrants JS uniques","% du total","Liens sortants","Liens sortants uniques","Liens sortants JS uniques","Liens sortants externes","Liens sortants externes uniques","Liens sortants JS externes uniques","Quasi-doublon le plus proche","Nombre de quasi-doublons","Erreurs d'orthographe","Erreurs de grammaire","Hachage","Temps de réponse","Last Modified","URL de redirection","Type de redirection","Cookies","Language","Version HTTP","Lien alternate mobile","Adresse sémantiquement similaire la plus proche","Score de similarité sémantique","Nbre sémantiquement similaires","Score de pertinence sémantique","Adresse codée en URL","Horodatage du crawl"
"https://www.quick.fr/","text/html; charset=utf-8","200","OK","Indexable","","Quick - Le Goût de se Retrouver","31","281","Découvrez toute l'actualité Quick et les offres exclusives sur nos produits et services. Trouvez un restaurant proche et dégustez votre burger préféré.","151","910","quick","5","","0","En ce moment","12","Tik Tok @Quick_France","21","","","","","","","","","","132911","20116","20116","7,706","","100","28","3,571","57,698","Assez difficile","0,512","0","0","","890","222","0","100,000","37","18","0","15","8","0","","","","","7f2ed662e4d58f6bf18e271852d3eb33","0,197","","","","","","1.1","","","","","","https://www.quick.fr/","2026-03-12 10:33:36"
"https://www.quick.fr/_next/static/chunks/294.33a85c5b6a8e38d5.js","text/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","3","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,051","Mon, 09 Mar 2026 09:45:34 GMT","","","","","1.1","","","","","","https://www.quick.fr/_next/static/chunks/294.33a85c5b6a8e38d5.js","2026-03-12 10:33:37"
"https://www.quick.fr/_next/static/chunks/6009-0c611f57d964799e.js","text/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","3","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,179","Mon, 09 Mar 2026 09:45:34 GMT","","","","","1.1","","","","","","https://www.quick.fr/_next/static/chunks/6009-0c611f57d964799e.js","2026-03-12 10:33:37"
"https://www.quick.fr/_next/static/css/b93379bf5de799a1.css","text/css","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","3","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,188","Wed, 04 Mar 2026 16:05:02 GMT","","","","","1.1","","","","","","https://www.quick.fr/_next/static/css/b93379bf5de799a1.css","2026-03-12 10:33:37"
"https://www.quick.fr/_next/static/chunks/6022-194ec4c90500698a.js","text/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","3","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,180","Mon, 09 Mar 2026 09:45:34 GMT","","","","","1.1","","","","","","https://www.quick.fr/_next/static/chunks/6022-194ec4c90500698a.js","2026-03-12 10:33:37"
"https://www.quick.fr/devenir-franchise","text/html; charset=utf-8","200","OK","Indexable","","Quick","5","50","Quick app","9","62","quick","5","","0","","0","","0","","","","","","","","","","26147","5859","5859","2,244","","20","10","2,000","65,215","Normal","0,589","1","0","","206","206","0","92,790","12","6","0","1","1","0","","","","","857017aad2950fa303047ff524612450","0,230","","","","","","1.1","","","","","","https://www.quick.fr/devenir-franchise","2026-03-12 10:33:37"
"https://www.quick.fr/_next/static/chunks/webpack-4ce1d5e5480750d6.js","text/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","3","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,064","Mon, 09 Mar 2026 09:45:35 GMT","","","","","1.1","","","","","","https://www.quick.fr/_next/static/chunks/webpack-4ce1d5e5480750d6.js","2026-03-12 10:33:37"
"https://www.quick.fr/_next/static/chunks/main-7cad20998512ba06.js","text/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","3","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,197","Mon, 09 Mar 2026 09:45:34 GMT","","","","","1.1","","","","","","https://www.quick.fr/_next/static/chunks/main-7cad20998512ba06.js","2026-03-12 10:33:37"
"https://www.quick.fr/carriere","text/html; charset=utf-8","200","OK","Indexable","","Quick","5","50","Quick app","9","62","quick","5","","0","","0","","0","","","","","","","","","","26120","5862","5862","2,246","","20","10","2,000","65,215","Normal","0,590","1","0","","206","206","0","92,790","12","6","0","1","1","0","","","","","1da265b883abf36ba0e1db9e8c4c28a6","0,254","","","","","","1.1","","","","","","https://www.quick.fr/carriere","2026-03-12 10:33:37"
"https://www.quick.fr/_next/static/css/c5896db6980eea85.css","text/css","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","3","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,234","Mon, 09 Mar 2026 09:45:35 GMT","","","","","1.1","","","","","","https://www.quick.fr/_next/static/css/c5896db6980eea85.css","2026-03-12 10:33:38"
"https://www.quick.fr/_next/static/chunks/9025-edeebecfd6995d33.js","text/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","3","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,106","Mon, 09 Mar 2026 09:45:34 GMT","","","","","1.1","","","","","","https://www.quick.fr/_next/static/chunks/9025-edeebecfd6995d33.js","2026-03-12 10:33:38"
"https://www.quick.fr/_next/static/chunks/4981.b1f984cbc4397baf.js","text/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","3","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,194","Mon, 09 Mar 2026 09:45:34 GMT","","","","","1.1","","","","","","https://www.quick.fr/_next/static/chunks/4981.b1f984cbc4397baf.js","2026-03-12 10:33:38"
"https://www.quick.fr/_next/static/images/icon-account-white-ee0a828870f91047b0c77aca16155705.svg","image/svg+xml","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","321","321","321","0,123","","0","","","","","0,000","1","3","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,182","Mon, 09 Mar 2026 09:45:35 GMT","","","","","1.1","","","","","","https://www.quick.fr/_next/static/images/icon-account-white-ee0a828870f91047b0c77aca16155705.svg","2026-03-12 10:33:38"
"https://www.quick.fr/_next/static/chunks/177.8f565a2d4d3a6ea8.js","text/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","3","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,161","Mon, 09 Mar 2026 09:45:34 GMT","","","","","1.1","","","","","","https://www.quick.fr/_next/static/chunks/177.8f565a2d4d3a6ea8.js","2026-03-12 10:33:38"
"https://www.quick.fr/bd-pour-tous","text/html; charset=utf-8","200","OK","Indexable","","Quick","5","50","Quick app","9","62","quick","5","","0","","0","","0","","","","","","","","","","26132","5865","5865","2,247","","20","10","2,000","65,215","Normal","0,589","1","0","","411","206","0","92,790","12","6","0","1","1","0","","","","","488298e995959b8e4f9195738fa3779e","0,240","","","","","","1.1","","","","","","https://www.quick.fr/bd-pour-tous","2026-03-12 10:33:38"
"https://www.quick.fr/_next/static/images/burger-b00098380e9c31597daf3162b16920ba.svg","image/svg+xml","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","169","169","169","0,065","","0","","","","","0,000","1","3","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,183","Mon, 09 Mar 2026 09:45:35 GMT","","","","","1.1","","","","","","https://www.quick.fr/_next/static/images/burger-b00098380e9c31597daf3162b16920ba.svg","2026-03-12 10:33:38"
"https://www.quick.fr/_next/static/images/icon-map-white-8379f6ac3a127d3e00446473084fabff.svg","image/svg+xml","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","335","335","335","0,128","","0","","","","","0,000","1","3","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,056","Mon, 09 Mar 2026 09:45:35 GMT","","","","","1.1","","","","","","https://www.quick.fr/_next/static/images/icon-map-white-8379f6ac3a127d3e00446473084fabff.svg","2026-03-12 10:33:38"
"https://www.quick.fr/_next/static/chunks/2909-71c6602fddb1c685.js","text/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","3","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,172","Mon, 09 Mar 2026 09:45:34 GMT","","","","","1.1","","","","","","https://www.quick.fr/_next/static/chunks/2909-71c6602fddb1c685.js","2026-03-12 10:33:38"
"https://www.quick.fr/_next/static/chunks/7237.87883658a6bac1a0.js","text/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","3","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,184","Mon, 09 Mar 2026 09:45:34 GMT","","","","","1.1","","","","","","https://www.quick.fr/_next/static/chunks/7237.87883658a6bac1a0.js","2026-03-12 10:33:38"
"https://www.quick.fr/_next/static/chunks/dcfe2c7d-331bc5a1eb455364.js","text/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","3","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,203","Mon, 09 Mar 2026 09:45:34 GMT","","","","","1.1","","","","","","https://www.quick.fr/_next/static/chunks/dcfe2c7d-331bc5a1eb455364.js","2026-03-12 10:33:38"
"https://www.quick.fr/_next/static/chunks/739-706651010339744a.js","text/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","3","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,195","Mon, 09 Mar 2026 09:45:34 GMT","","","","","1.1","","","","","","https://www.quick.fr/_next/static/chunks/739-706651010339744a.js","2026-03-12 10:33:38"
"https://www.quick.fr/_next/static/chunks/7095-6127895545f75c02.js","text/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","3","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,184","Mon, 09 Mar 2026 09:45:34 GMT","","","","","1.1","","","","","","https://www.quick.fr/_next/static/chunks/7095-6127895545f75c02.js","2026-03-12 10:33:39"
