"Adresse","Occurrences","H1-1","Longueur du H1-1","H1-2","Longueur du H1-2","Indexabilité","Statut d'indexabilité"
"https://www.beyondmeat.com/en-GB/","0","","0","","0","Indexable",""
"https://www.beyondmeat.com/en-GB/buy/","0","","0","","0","Indexable",""
"https://www.beyondmeat.com/en-GB/contact","1","Contact Us","10","","0","Indexable",""
"https://www.beyondmeat.com/en-GB/mission","1","Our Mission","11","","0","Indexable",""
"https://www.beyondmeat.com/en-GB/where-to-find?zip=","0","","0","","0","Indexable",""
"https://www.beyondmeat.com/en-GB/food-service","1","Bring beyond meat to your menu.","31","","0","Indexable",""
"https://www.beyondmeat.com/en-GB/where-to-find?product=850004207413&search=true","0","","0","","0","Indexable",""
"https://www.beyondmeat.com/en-GB/privacy-policy","0","","0","","0","Indexable",""
"https://www.beyondmeat.com/en-GB/about/our-ingredients","0","","0","","0","Indexable",""
"https://www.beyondmeat.com/en-GB/terms-of-use","0","","0","","0","Indexable",""
"https://www.beyondmeat.com/en-GB/products/the-beyond-burger","1","Beyond Burger","13","","0","Indexable",""
"https://www.beyondmeat.com/en-GB/newsroom/","0","","0","","0","Indexable",""
"https://www.beyondmeat.com/en-GB/recipes","1","Eat What you Love™","18","","0","Indexable",""
"https://www.beyondmeat.com/en-GB/faqs","0","","0","","0","Indexable",""
"https://www.beyondmeat.com/en-GB/recipes/","1","Eat What you Love™","18","","0","Indexable",""
"https://www.beyondmeat.com/en-GB/where-to-find?&search=true","0","","0","","0","Indexable",""
"https://www.beyondmeat.com/en-GB/whats-new/romelu-lukaku-goes-beyond","1","ROMELU LUKAKU GOES BEYOND","25","","0","Indexable",""
"https://www.beyondmeat.com/en-GB/products","1","Our Products","12","","0","Indexable",""
"https://www.beyondmeat.com/en-GB/products/beyond-meatballs?variant=italian-style","1","Beyond Meatballs","16","","0","Indexable",""
"https://www.beyondmeat.com/en-GB/newsroom","0","","0","","0","Indexable",""
"https://www.beyondmeat.com/en-GB/products/beyond-sausage?variant=brat-original","1","Beyond Sausage","14","","0","Indexable",""
"https://www.beyondmeat.com/en-GB/recipes/lukaku-s-beyond-bangers-and-mash","1","LUKAKU’S BEYOND BANGERS AND MASH","32","","0","Indexable",""
"https://www.beyondmeat.com/en-GB/recipes/null","1","Double Caramelised Onion Beyond Smash-Style Burger with Chilli Jam","66","","0","Indexable",""
"https://www.beyondmeat.com/en-GB/recipes/oven-baked-beyond-meatballs-in-tomato-and-red-wine-sauce","1","Oven baked Beyond meatballs in tomato and red wine sauce","56","","0","Indexable",""
"https://www.beyondmeat.com/en-GB/recipes/smoky-winter-warmer-burger-with-mushroom-and-maple-glazed-squash","1","Smoky winter warmer burger with mushroom and maple-glazed squash","64","","0","Indexable",""
"https://www.beyondmeat.com/en-GB/recipes/chimichurri-beyond-burger","1","Brazilian-Style Beyond Burger with Chimichurri","46","","0","Indexable",""
"https://www.beyondmeat.com/en-GB/recipes/5-ingredient-vegan-smoky-mince-and-roasted-pepper-quesadilla","1","5-ingredient vegan smoky mince and roasted pepper quesadilla","60","","0","Indexable",""
"https://www.beyondmeat.com/en-GB/recipes/beyond-la-vie-burger-featured","1","Beyond La Vie Burger","20","","0","Indexable",""
"https://www.beyondmeat.com/en-GB/press/the-coffee-bean-and-tea-leaf-beyond-meat","1","PLANT-BASED EATS FROM BEYOND MEAT® ARRIVE FOR FALL AT THE COFFEE BEAN & TEA LEAF®","81","","0","Indexable",""
"https://www.beyondmeat.com/en-GB/press/beyond-meat-breaks-through-the-breakfast-category-in-canada-by-introducing-plant-based-beyond-breakfast-sausage-links-at-all-major-retailers-across-the-country-","1","BEYOND MEAT® BREAKS THROUGH THE BREAKFAST CATEGORY IN CANADA BY INTRODUCING PLANT-BASED BEYOND BREAKFAST SAUSAGE® LINKS AT ALL MAJOR RETAILERS ACROSS THE COUNTRY","161","","0","Indexable",""
"https://www.beyondmeat.com/en-GB/press/pizza-hut-expands-partnership-with-beyond-meat-to-test-new-plant-based-beyond-pepperoni-pizza-topping","1","Pizza Hut Expands Partnership with Beyond Meat® to Test New Plant-Based Beyond Pepperoni™ Pizza Topping","103","","0","Indexable",""
"https://www.beyondmeat.com/en-GB/press/panda-express-in-partnership-with-beyond-meat-launches-beyond-the-original-orange-chicken-across-70-locations-nationwide","1","PANDA EXPRESS®, IN PARTNERSHIP WITH BEYOND MEAT®, LAUNCHES BEYOND™ THE ORIGINAL ORANGE CHICKEN™ ACROSS 70 LOCATIONS NATIONWIDE","126","","0","Indexable",""
"https://www.beyondmeat.com/en-GB/newsroom/videos","2","","0","","0","Indexable",""
"https://www.beyondmeat.com/en-GB/press?tag=US%20%26%20CANADA&query=","1","All Press Releases","18","","0","Indexable",""
"https://www.beyondmeat.com/en-GB/press/beyond-meat-announces-latest-expansion-in-plant-based-chicken-platform","1","BEYOND MEAT® ANNOUNCES LATEST EXPANSION IN PLANT-BASED CHICKEN PLATFORM","71","","0","Indexable",""
"https://www.beyondmeat.com/en-GB/newsroom/fact-sheets","2","","0","","0","Indexable",""
"https://www.beyondmeat.com/en-GB/newsroom/images","2","","0","","0","Indexable",""
"https://www.beyondmeat.com/en-GB/about/our-ingredients/","0","","0","","0","Indexable",""
"https://www.beyondmeat.com/en-GB/press/beyond-meat-expands-partnership-with-a-and-w-canada-to-launch-plantbased-chicken-nuggets-nationwide-for-a-limited-time-starting-august-9","1","BEYOND MEAT® EXPANDS PARTNERSHIP WITH A&W CANADA TO LAUNCH PLANTBASED CHICKEN NUGGETS NATIONWIDE FOR A LIMITED TIME STARTING AUGUST 9","133","","0","Indexable",""
"https://www.beyondmeat.com/en-GB/recipes/beyond-elote-burger","1","Beyond Elote Burger","19","","0","Indexable",""
"https://www.beyondmeat.com/en-GB/products/beyond-beef?variant=ground","1","Beyond Mince","12","","0","Indexable",""
"https://www.beyondmeat.com/en-GB/products/beyond-sausage/brat","1","Beyond Sausage","14","","0","Indexable",""
"https://www.beyondmeat.com/en-GB/products/beyond-beef/ground","1","Beyond Mince","12","","0","Indexable",""
"https://www.beyondmeat.com/en-GB/where-to-find","0","","0","","0","Indexable",""
"https://www.beyondmeat.com/en-GB/products/the-beyond-burger/beyond-burger","1","Beyond Burger","13","","0","Indexable",""
