"Adresse","Type de contenu","Taille (octets)","Liens entrants IMG","Indexabilité","Statut d'indexabilité","Dimensions"
"https://beyond-meat-cms-production.s3.us-west-2.amazonaws.com/ab0c3828-a21b-4d39-8d8e-89489b4fe7f6.png","image/png","1761","465","Indexable","",""
"https://beyond-meat-cms-production.s3.us-west-2.amazonaws.com/307d9a72-3c1c-4004-b24c-50058ac50015.jpeg","image/jpeg","135028","3","Indexable","",""
"https://beyond-meat-cms-production.s3.us-west-2.amazonaws.com/f385bf72-86fa-4b76-b986-7f34483f90df.png","image/png","608650","2","Indexable","",""
"https://beyond-meat-cms-production.s3.us-west-2.amazonaws.com/95fdbb8b-0273-4572-b2c0-286487a539e7.png","image/png","1646798","2","Indexable","",""
"https://beyond-meat-cms-production.s3.us-west-2.amazonaws.com/da846365-49da-48de-b35d-7e4755de7f7e.png","image/png","59977","1","Indexable","",""
"https://beyond-meat-cms-production.s3.us-west-2.amazonaws.com/3300213c-8978-4d1b-8a20-29a8ccc76bab.svg","image/svg+xml","11889","465","Indexable","",""
"https://beyond-meat-cms-production.s3.us-west-2.amazonaws.com/26199f26-b9de-44eb-bfcd-91033713a3cb.gif","image/gif","1109399","2","Indexable","",""
"https://beyond-meat-cms-production.s3.us-west-2.amazonaws.com/a52f65e1-2e6f-4fbf-a68c-7300bcd920e6.jpg","image/jpeg","664417","2","Indexable","",""
"https://beyond-meat-cms-production.s3.us-west-2.amazonaws.com/c682b63f-9898-4891-afa0-b1b6d70cf8ab.png","image/png","207376","7","Indexable","",""
"https://beyond-meat-cms-production.s3.us-west-2.amazonaws.com/b8e2d73f-33e1-4d42-9f27-80d1b780568d.png","image/png","1325589","2","Indexable","",""
"https://beyond-meat-cms-production.s3.us-west-2.amazonaws.com/02d5cfa1-975e-4c54-b75d-09c5aa594f94.png","image/png","1953769","2","Indexable","",""
"https://beyond-meat-cms-production.s3.us-west-2.amazonaws.com/30ec5cb3-d869-4db8-a3e9-e66ee5812087.jpg","image/jpeg","215017","1","Indexable","",""
"https://beyond-meat-cms-production.s3.us-west-2.amazonaws.com/2a17b1e0-418f-4a78-9df5-e92ca3549b3d.svg","image/svg+xml","2718","465","Indexable","",""
