"Adresse","Type de contenu","Code HTTP","Statut","Indexabilité","Statut d'indexabilité","Title 1","Longueur du Title 1","Largeur en pixels du Title 1","Meta Description 1","Longueur de la Meta Description 1","Largeur en pixels de la Meta Description 1","Meta Keywords 1","Longueur des Meta Keywords 1","H1-1","Longueur du H1-1","H1-2","Longueur du H1-2","H2-1","Longueur du H2-1","H2-2","Longueur du H2-2","Meta Robots 1","Balise X-Robots 1","Meta Refresh 1","Élément de lien en version canonique 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","Élément de lien amphtml","Taille (octets)","Transféré (octets)","Total transféré (en octets)","CO2 (mg)","Empreinte carbone","Nombre de mots","Nombre de phrases","Moyenne de mots par phrase","Score de lisibilité de Flesch","Lisibilité","Ratio texte","Crawl profondeur","Profondeur du dossier","Link Score","Liens entrants","Liens entrants uniques","Liens entrants JS uniques","% du total","Liens sortants","Liens sortants uniques","Liens sortants JS uniques","Liens sortants externes","Liens sortants externes uniques","Liens sortants JS externes uniques","Quasi-doublon le plus proche","Nombre de quasi-doublons","Erreurs d'orthographe","Erreurs de grammaire","Hachage","Temps de réponse","Last Modified","URL de redirection","Type de redirection","Cookies","Language","Version HTTP","Lien alternate mobile","Adresse sémantiquement similaire la plus proche","Score de similarité sémantique","Nbre sémantiquement similaires","Score de pertinence sémantique","Adresse codée en URL","Horodatage du crawl"
"https://www.beyondmeat.com/en-GB/","text/html","200","OK","Indexable","","Vegan Burger Meat, Crumbles, & Sausages | Beyond Meat","53","511","Beyond Meat is plant-based, vegan meat that's tasty & better for you and for our planet. Find us in the meat aisle or subscribe for Beyond Meat delivery.","153","931","","0","","0","","0","OUR","3","Mission","7","","","","","","","","","","157392","31845","31845","12,199","","434","94","4,617","77,783","Assez facile","1,960","0","1","","181","90","0","19,350","36","19","0","12","11","0","","","","","a3de05e82165fa0373e12ec17a47e2f4","0,081","Thu, 05 Feb 2026 23:13:45 GMT","","","","en-GB","1.1","","","","","","https://www.beyondmeat.com/en-GB/","2026-03-12 11:24:36"
"https://www.beyondmeat.com/en-GB/buy/","text/html","200","OK","Indexable","","How to Buy | Beyond Meat","24","231","Find out how you can get Beyond Meat in the aisles, at the door, or on the menu.","80","493","","0","","0","","0","Buy Beyond","10","","0","","","","","","","","","","84937","20154","20154","7,721","","131","26","5,038","75,790","Assez facile","1,507","1","2","","180","90","0","19,350","26","15","0","9","8","0","","","","","39a8aded63d3780d0a175664fecfe82c","0,282","Thu, 05 Feb 2026 23:13:43 GMT","","","","en-GB","1.1","","","","","","https://www.beyondmeat.com/en-GB/buy/","2026-03-12 11:24:37"
"https://www.beyondmeat.com/en-GB/contact","text/html","200","OK","Indexable","","Contact Us | Beyond Meat","24","229","Click here for product inquiries, restaurant & food service inquires, international sales inquires, press inquiries, or to contact our headquarters or plant.","157","920","","0","Contact Us","10","","0","Product Inquiries","17","UK Food Services","16","","","","","","","","","","87907","20672","20672","7,919","","211","51","4,137","66,714","Normal","2,092","1","1","","182","90","0","19,350","30","16","0","10","9","0","","","","","e8413d41ba068bb9c6690f3e0eabff9c","0,082","Thu, 05 Feb 2026 23:13:44 GMT","","","","en-GB","1.1","","","","","","https://www.beyondmeat.com/en-GB/contact","2026-03-12 11:24:38"
"https://www.beyondmeat.com/en-GB/1e1fee98977f125fd57ea354d41284ae00578efc-1d38e068a024ca44bd67.js","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","1","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,162","Thu, 05 Feb 2026 23:13:42 GMT","","","","","1.1","","","","","","https://www.beyondmeat.com/en-GB/1e1fee98977f125fd57ea354d41284ae00578efc-1d38e068a024ca44bd67.js","2026-03-12 11:24:38"
"https://www.beyondmeat.com/en-GB/mission","text/html","200","OK","Indexable","","Mission | Beyond Meat","21","200","Learn more about the impacts of shifting from animal to plant-based meat, & how it can have a great impact on our personal health & the health of our planet.","157","972","","0","Our Mission","11","","0","We believe there’s a better way to feed our future.","51","","0","","","","","","","","","","103967","24115","24115","9,238","","535","90","5,944","73,664","Assez facile","3,662","1","1","","181","90","0","19,350","25","13","0","10","9","0","","","","","8c754c243ac2fa78bb8f535d6a2b69eb","0,123","Thu, 05 Feb 2026 23:13:45 GMT","","","","en-GB","1.1","","","","","","https://www.beyondmeat.com/en-GB/mission","2026-03-12 11:24:39"
"https://www.beyondmeat.com/en-GB/where-to-find?zip=","text/html","200","OK","Indexable","","Where to Find Beyond Meat at a Store Near You | Beyond Meat","59","555","Find Beyond Meat on the menus of restaurants & in the meat aisles of stores near you.","85","532","","0","","0","","0","","0","","0","","","","","","","","","","76954","18745","18745","7,181","","116","20","5,800","69,672","Normal","1,574","1","1","","1","1","0","0,220","24","13","0","9","8","0","","","","","48c2921f94f70be1aac99356384df49e","0,444","Thu, 05 Feb 2026 23:14:02 GMT","","","","en-GB","1.1","","","","","","https://www.beyondmeat.com/en-GB/where-to-find?zip=","2026-03-12 11:24:38"
"https://www.beyondmeat.com/en-GB/food-service","text/html","200","OK","Indexable","","Food Service - Beyond Meat - Go Beyond®","39","374","","0","0","","0","Bring beyond meat to your menu.","31","","0","What's New","10","WHY PARTNER WITH BEYOND?","24","","","","","","","","","","159110","32182","32182","12,328","","1051","174","6,040","79,157","Assez facile","6,078","1","1","","187","90","0","19,350","31","19","0","13","12","0","","","","","12cf44a27af8795dc9235f070e3acc3a","0,084","Thu, 05 Feb 2026 23:13:44 GMT","","","","en-GB","1.1","","","","","","https://www.beyondmeat.com/en-GB/food-service","2026-03-12 11:24:39"
"https://www.beyondmeat.com/en-GB/framework-02909e0dc090af77cb56.js","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","1","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,078","Wed, 29 Oct 2025 10:57:17 GMT","","","","","1.1","","","","","","https://www.beyondmeat.com/en-GB/framework-02909e0dc090af77cb56.js","2026-03-12 11:24:39"
"https://www.beyondmeat.com/en-GB/commons-19f22f4c170524be90a5.js","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","1","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,054","Thu, 05 Feb 2026 23:13:43 GMT","","","","","1.1","","","","","","https://www.beyondmeat.com/en-GB/commons-19f22f4c170524be90a5.js","2026-03-12 11:24:39"
"https://www.beyondmeat.com/en-GB/where-to-find?product=850004207413&search=true","text/html","200","OK","Indexable","","Where to Find Beyond Meat at a Store Near You | Beyond Meat","59","555","Find Beyond Meat on the menus of restaurants & in the meat aisles of stores near you.","85","532","","0","","0","","0","","0","","0","","","","","","","","","","76954","18743","18743","7,180","","116","20","5,800","69,672","Normal","1,574","1","1","","4","3","0","0,650","24","13","0","9","8","0","","","","","e5eeb2621923bfbb99443e36a124235","0,188","Thu, 05 Feb 2026 23:14:02 GMT","","","","en-GB","1.1","","","","","","https://www.beyondmeat.com/en-GB/where-to-find?product=850004207413&search=true","2026-03-12 11:24:40"
"https://www.beyondmeat.com/en-GB/webpack-runtime-aef2fed2a516e8f15c6a.js","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","1","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,062","Thu, 05 Feb 2026 23:13:58 GMT","","","","","1.1","","","","","","https://www.beyondmeat.com/en-GB/webpack-runtime-aef2fed2a516e8f15c6a.js","2026-03-12 11:24:40"
"https://www.beyondmeat.com/en-GB/privacy-policy","text/html","200","OK","Indexable","","Privacy Policy | Beyond Meat","28","254","Click here to read our privacy policy.","38","221","","0","","0","","0","Privacy Policy","14","1. What personal data do we collect, how do we use it, for what purposes, and what is our legal basis for doing so?","115","","","","","","","","","","115800","26786","26786","10,261","","2580","326","7,914","61,868","Normal","14,027","1","1","","90","90","0","19,350","28","14","0","10","9","0","","","","","17a87378a93c41f640e6cacf70d090ec","0,270","Thu, 05 Feb 2026 23:13:54 GMT","","","","en-GB","1.1","","","","","","https://www.beyondmeat.com/en-GB/privacy-policy","2026-03-12 11:24:40"
"https://www.beyondmeat.com/en-GB/about/our-ingredients","text/html","200","OK","Indexable","","Ingredients | What is Plant Based Meat? | Beyond Meat","53","485","Ingredients. Plants based meat","30","193","","0","","0","","0","YES, IT'S MEAT MADE FROM PLANTS","31","","0","","","","","","","","","","95248","21812","21812","8,356","","235","46","5,109","75,650","Assez facile","2,034","1","2","","182","90","0","19,350","30","17","0","9","8","0","","","","","976433bb40c9b7d562ed8248e2f179dc","0,111","Thu, 05 Feb 2026 23:13:43 GMT","","","","en-GB","1.1","","","","","","https://www.beyondmeat.com/en-GB/about/our-ingredients","2026-03-12 11:24:41"
"https://www.beyondmeat.com/en-GB/terms-of-use","text/html","200","OK","Indexable","","Terms of Use | Beyond Meat","26","251","Click here to read our terms of use.","36","214","","0","","0","","0","Terms of Use","12","1. Use of Our Site","18","","","","","","","","","","119308","28127","28127","10,775","","3060","371","8,248","55,307","Assez difficile","16,592","1","1","","91","90","0","19,350","25","14","0","9","8","0","","","","","2872c335c8d3a9b2540a117524de9a34","0,740","Thu, 05 Feb 2026 23:13:58 GMT","","","","en-GB","1.1","","","","","","https://www.beyondmeat.com/en-GB/terms-of-use","2026-03-12 11:24:42"
"https://www.beyondmeat.com/en-GB/products/the-beyond-burger","text/html","200","OK","Indexable","","Burger | Plant-Based Burger Patties | Beyond Meat","49","446","Beyond Meat burger patties are the iconic plant-based burger patties that put burgers made from plants on the map. They're everything a burger is.","146","905","","0","Beyond Burger","13","","0","GOT QUESTIONS? WE GOT ANSWERS.","30","Want More Beyond? Beyond Mince","30","","","","","","","","","","132478","27422","27422","10,505","","1289","219","5,886","81,738","Facile","6,093","1","2","","16","14","0","3,010","31","19","0","9","8","0","","","","","d2feb29b32398eb7dccced606b58d005","0,128","Thu, 05 Feb 2026 23:13:55 GMT","","","","en-GB","1.1","","","","","","https://www.beyondmeat.com/en-GB/products/the-beyond-burger","2026-03-12 11:24:42"
"https://www.beyondmeat.com/en-GB/polyfill-23ba203d2d8e27e06abc.js","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","1","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,243","Thu, 05 Feb 2026 23:13:52 GMT","","","","","1.1","","","","","","https://www.beyondmeat.com/en-GB/polyfill-23ba203d2d8e27e06abc.js","2026-03-12 11:24:42"
"https://www.beyondmeat.com/en-GB/newsroom/","text/html","200","OK","Indexable","","Newsroom - Beyond Meat - Go Beyond®","35","356","","0","0","","0","","0","","0","Newsroom","8","Blog","4","","","","","","","","","","106725","23824","23824","9,127","","287","67","4,284","75,440","Assez facile","2,175","1","2","","181","90","0","19,350","37","24","0","9","8","0","","","","","cc9be47740ec8b09838a184e1e92a1fc","0,074","Thu, 05 Feb 2026 23:13:45 GMT","","","","en-GB","1.1","","","","","","https://www.beyondmeat.com/en-GB/newsroom/","2026-03-12 11:24:44"
"https://www.beyondmeat.com/en-GB/recipes","text/html","200","OK","Indexable","","Recipes - Beyond Meat - Go Beyond®","34","329","","0","0","","0","Eat What you Love™","18","","0","BEYOND BURGER®","14","Featured Recipes","16","","","","","","","","","","103875","23119","23119","8,856","","257","63","4,079","66,413","Normal","2,074","1","1","","79","44","0","9,460","37","21","0","10","9","0","","","","","580595382b90c5d87dcb8f2f3b92efe1","0,211","Thu, 05 Feb 2026 23:13:56 GMT","","","","en-GB","1.1","","","","","","https://www.beyondmeat.com/en-GB/recipes","2026-03-12 11:24:44"
