"Adresse","Occurrences","H1-1","Longueur du H1-1","Indexabilité","Statut d'indexabilité"
"https://deltaco.com/","1","Del Taco","8","Indexable",""
"https://deltaco.com/history.html","1","Del Taco","8","Non indexable","Canonisé"
"https://deltaco.com/catering.html","1","Del Taco","8","Non indexable","Canonisé"
"https://deltaco.com/termsandconditions.html","1","Del Taco","8","Non indexable","Canonisé"
"https://deltaco.com/news.html","1","Del Taco","8","Non indexable","Canonisé"
"https://deltaco.com/menu.html","1","Del Taco","8","Non indexable","Canonisé"
"https://deltaco.com/contactus.html","1","Del Taco","8","Non indexable","Canonisé"
"https://deltaco.com/legal.html","1","Del Taco","8","Non indexable","Canonisé"
"https://deltaco.com/specials.html","1","Del Taco","8","Non indexable","Canonisé"
"https://deltaco.com/consumer_privacy.html","1","Del Taco","8","Non indexable","Canonisé"
"https://deltaco.com/locations.html","1","Del Taco","8","Non indexable","Redirigé"
"https://deltaco.com/faq.html","1","Del Taco","8","Non indexable","Canonisé"
"https://deltaco.com/menu_items&category=desserts-shakes-and-sides.html","1","Del Taco","8","Non indexable","Canonisé"
"https://deltaco.com/menu_items&category=drinks.html","1","Del Taco","8","Non indexable","Canonisé"
"https://deltaco.com/menu_items&category=featured.html","1","Del Taco","8","Non indexable","Canonisé"
"https://deltaco.com/menu_items&category=tacos.html","1","Del Taco","8","Non indexable","Canonisé"
"https://deltaco.com/menu_items&category=jackd-up-menu.html","1","Del Taco","8","Non indexable","Canonisé"
"https://deltaco.com/nutrition.html","0","","0","Non indexable","Redirigé"
"https://deltaco.com/menu_items&category=value-menu.html","1","Del Taco","8","Non indexable","Canonisé"
"https://deltaco.com/menu_items&category=burritos.html","1","Del Taco","8","Non indexable","Canonisé"
"https://deltaco.com/menu_items&category=vegetarian-vegan.html","1","Del Taco","8","Non indexable","Canonisé"
"https://deltaco.com/menu_items&category=combos.html","1","Del Taco","8","Non indexable","Canonisé"
"https://deltaco.com/menu_items&category=quesadillas-nachos.html","1","Del Taco","8","Non indexable","Canonisé"
"https://deltaco.com/allergens.html","0","","0","Non indexable","Redirigé"
"https://deltaco.com/menu_items&category=fresh-guac.html","1","Del Taco","8","Non indexable","Canonisé"
"https://deltaco.com/menu_items&category=burgers-and-fries.html","1","Del Taco","8","Non indexable","Canonisé"
"https://deltaco.com/menu_items&category=crispy-chicken.html","1","Del Taco","8","Non indexable","Canonisé"
"https://deltaco.com/news&item_id=245.html","1","Del Taco","8","Non indexable","Canonisé"
"https://deltaco.com/news&item_id=250.html","1","Del Taco","8","Non indexable","Canonisé"
"https://deltaco.com/news&item_id=242.html","1","Del Taco","8","Non indexable","Canonisé"
"https://deltaco.com/news&item_id=247.html","1","Del Taco","8","Non indexable","Canonisé"
"https://deltaco.com/menu_items&category=breakfast.html","1","Del Taco","8","Non indexable","Canonisé"
"https://deltaco.com/news&item_id=253.html","1","Del Taco","8","Non indexable","Canonisé"
"https://deltaco.com/news&item_id=260.html","1","Del Taco","8","Indexable",""
"https://deltaco.com/news&item_id=248.html","1","Del Taco","8","Non indexable","Canonisé"
"https://deltaco.com/news&item_id=252.html","1","Del Taco","8","Non indexable","Canonisé"
"https://deltaco.com/news&item_id=246.html","1","Del Taco","8","Non indexable","Canonisé"
"https://deltaco.com/news&item_id=249.html","1","Del Taco","8","Non indexable","Canonisé"
"https://deltaco.com/news&item_id=254.html","1","Del Taco","8","Non indexable","Canonisé"
"https://deltaco.com/news&item_id=259.html","1","Del Taco","8","Non indexable","Canonisé"
"https://deltaco.com/news&item_id=244.html","1","Del Taco","8","Non indexable","Canonisé"
"https://deltaco.com/news&item_id=251.html","1","Del Taco","8","Non indexable","Canonisé"
"https://deltaco.com/news&item_id=243.html","1","Del Taco","8","Non indexable","Canonisé"
"https://deltaco.com/delyeahtermsandconditions.html","1","Del Taco","8","Non indexable","Canonisé"
"https://deltaco.com/checkgiftcardbalance.html","1","Del Taco","8","Non indexable","Canonisé"
"https://www.deltaco.com/","1","Del Taco","8","Indexable",""
"https://www.deltaco.com/news.html","1","Del Taco","8","Non indexable","Canonisé"
"https://www.deltaco.com/legal.html","1","Del Taco","8","Non indexable","Canonisé"
"https://www.deltaco.com/consumer_privacy.html","1","Del Taco","8","Non indexable","Canonisé"
"https://www.deltaco.com/termsandconditions.html","1","Del Taco","8","Non indexable","Canonisé"
"https://www.deltaco.com/history.html","1","Del Taco","8","Non indexable","Canonisé"
"https://www.deltaco.com/catering.html","1","Del Taco","8","Non indexable","Canonisé"
"https://www.deltaco.com/contactus.html","1","Del Taco","8","Non indexable","Canonisé"
"https://www.deltaco.com/specials.html","1","Del Taco","8","Non indexable","Canonisé"
"https://www.deltaco.com/menu.html","1","Del Taco","8","Non indexable","Canonisé"
"https://www.deltaco.com/nutrition.html","0","","0","Non indexable","Redirigé"
"https://www.deltaco.com/locations.html","1","Del Taco","8","Non indexable","Redirigé"
"https://www.deltaco.com/menu_items&category=breakfast.html","1","Del Taco","8","Non indexable","Canonisé"
"https://www.deltaco.com/menu_items&category=tacos.html","1","Del Taco","8","Non indexable","Canonisé"
"https://www.deltaco.com/menu_items&category=burritos.html","1","Del Taco","8","Non indexable","Canonisé"
"https://www.deltaco.com/menu_items&category=burgers-and-fries.html","1","Del Taco","8","Non indexable","Canonisé"
"https://www.deltaco.com/menu_items&category=value-menu.html","1","Del Taco","8","Non indexable","Canonisé"
"https://www.deltaco.com/menu_items&category=crispy-chicken.html","1","Del Taco","8","Non indexable","Canonisé"
"https://www.deltaco.com/allergens.html","0","","0","Non indexable","Redirigé"
"https://www.deltaco.com/menu_items&category=combos.html","1","Del Taco","8","Non indexable","Canonisé"
"https://www.deltaco.com/menu_items&category=drinks.html","1","Del Taco","8","Non indexable","Canonisé"
"https://www.deltaco.com/menu_items&category=desserts-shakes-and-sides.html","1","Del Taco","8","Non indexable","Canonisé"
"https://www.deltaco.com/menu_items&category=featured.html","1","Del Taco","8","Non indexable","Canonisé"
"https://www.deltaco.com/menu_items&category=vegetarian-vegan.html","1","Del Taco","8","Non indexable","Canonisé"
"https://www.deltaco.com/menu_items&category=jackd-up-menu.html","1","Del Taco","8","Non indexable","Canonisé"
"https://www.deltaco.com/menu_items&category=fresh-guac.html","1","Del Taco","8","Non indexable","Canonisé"
"https://www.deltaco.com/menu_items&category=quesadillas-nachos.html","1","Del Taco","8","Non indexable","Canonisé"
"https://www.deltaco.com/faq.html","1","Del Taco","8","Non indexable","Canonisé"
"https://www.deltaco.com/delyeahtermsandconditions.html","1","Del Taco","8","Non indexable","Canonisé"
"https://www.deltaco.com/news&item_id=248.html","1","Del Taco","8","Non indexable","Canonisé"
"https://www.deltaco.com/news&item_id=246.html","1","Del Taco","8","Non indexable","Canonisé"
"https://www.deltaco.com/news&item_id=254.html","1","Del Taco","8","Non indexable","Canonisé"
