"Adresse","Type de contenu","Code HTTP","Statut","Indexabilité","Statut d'indexabilité","Title 1","Longueur du Title 1","Largeur en pixels du Title 1","Title 2","Longueur du Title 2","Largeur en pixels du Title 2","Meta Description 1","Longueur de la Meta Description 1","Largeur en pixels de la Meta Description 1","Meta Keywords 1","Longueur des Meta Keywords 1","H1-1","Longueur du H1-1","H1-2","Longueur du H1-2","H2-1","Longueur du H2-1","H2-2","Longueur du H2-2","Meta Robots 1","Meta Robots 2","Balise X-Robots 1","Meta Refresh 1","Élément de lien en version canonique 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","Élément de lien amphtml","Taille (octets)","Transféré (octets)","Total transféré (en octets)","CO2 (mg)","Empreinte carbone","Nombre de mots","Nombre de phrases","Moyenne de mots par phrase","Score de lisibilité de Flesch","Lisibilité","Ratio texte","Crawl profondeur","Profondeur du dossier","Link Score","Liens entrants","Liens entrants uniques","Liens entrants JS uniques","% du total","Liens sortants","Liens sortants uniques","Liens sortants JS uniques","Liens sortants externes","Liens sortants externes uniques","Liens sortants JS externes uniques","Quasi-doublon le plus proche","Nombre de quasi-doublons","Erreurs d'orthographe","Erreurs de grammaire","Hachage","Temps de réponse","Last Modified","URL de redirection","Type de redirection","Cookies","Language","Version HTTP","Lien alternate mobile","Adresse sémantiquement similaire la plus proche","Score de similarité sémantique","Nbre sémantiquement similaires","Score de pertinence sémantique","Adresse codée en URL","Horodatage du crawl"
"https://vintagefrenchart.com/","text/html; charset=UTF-8","200","OK","Indexable","","Vintage French Art | Brocante en Ligne & Antiquaire Castres (Tarn 81)","69","618","","0","0","Brocanteur et antiquaire a Castres dans le Tarn. Achetez en ligne des objets vintage, plaques emaillees, luminaires et meubles anciens.","135","824","","0","","0","","0","Brocante en Ligne et à Castres :","32","Nos dernières trouvailles","25","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","","https://vintagefrenchart.com/","","","","","","284073","65010","65010","24,904","","581","104","5,587","59,194","Assez difficile","1,624","0","0","","710","121","0","100,000","58","31","0","7","6","0","","","","","cd18e3f34629e6af1d64993b261d925","0,111","Tue, 24 Mar 2026 23:54:07 GMT","","","","fr-FR","1.1","","","","","","https://vintagefrenchart.com/","2026-03-25 09:50:32"
"https://vintagefrenchart.com/produit/flavio-poli-bol-en-verre-de-murano-italien/","text/html; charset=UTF-8","200","OK","Indexable","","Bol verre de Murano Flavio Poli | Design italien vintage","56","483","","0","0","Bol en verre de Murano italien par Flavio Poli. Design Sommerso vintage de collection. Verrerie d'art signée.","109","653","","0","Flavio POLI : Bol en verre de Murano italien","44","","0","Flavio POLI Coupe Bol en verre de Murano italien – 1950/60","58","Flavio Poli 1900/1984","21","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","","https://vintagefrenchart.com/produit/flavio-poli-bol-en-verre-de-murano-italien/","","","","","","309472","67656","67656","25,918","","653","130","5,023","75,808","Assez facile","1,537","1","2","","23","9","0","7,440","65","31","0","7","6","0","","","","","f0344a3b9dddabebcd515b614255fc52","0,265","Tue, 24 Mar 2026 23:50:37 GMT","","","","fr-FR","1.1","","","","","","https://vintagefrenchart.com/produit/flavio-poli-bol-en-verre-de-murano-italien/","2026-03-25 09:50:34"
"https://vintagefrenchart.com/categorie-produit/jouets-vintage/","text/html; charset=UTF-8","200","OK","Indexable","","Jouets Vintage et jeux de Collection  | Vintage French Art","58","503","","0","0","Jouet vintage et jeux de Collection Votre brocante en ligne Vintage French Art, située aux alentours de Castres en France, vous présente sa catégorie jouet vintage et de collection. Un jouet ancien, que ce soit un lot de poupée ou une figurine vintage fait appel aux souvenirs de notre enfance.…","295","1782","","0","","0","","0","Jouets Vintage et jeux de Collection","36","JOUSTRA Le chat joueur","22","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","","https://vintagefrenchart.com/categorie-produit/jouets-vintage/","","","","","","267152","64554","64554","24,729","","364","69","5,275","63,192","Normal","1,227","1","2","","142","121","0","100,000","59","31","0","7","6","0","","","","","82f1a09d5eb154fd773428b42b371811","0,116","Tue, 24 Mar 2026 23:57:22 GMT","","","","fr-FR","1.1","","","","","","https://vintagefrenchart.com/categorie-produit/jouets-vintage/","2026-03-25 09:50:35"
"https://vintagefrenchart.com/produit/plaque-emaillee-ancienne-odo/","text/html; charset=UTF-8","200","OK","Indexable","","Plaque émaillée ancienne ODO double face | Publicité vintage","60","549","","0","0","Ancienne plaque émaillée ODO double face. Publicité vintage d'horlogerie pour collectionneurs. Pièce authentique et rare.","121","740","","0","Ancienne plaque émaillée ODO double face | Publicité Vintage","60","","0","Ancienne plaque publicitaire émaillée ODO double face","53","Caractéristiques de la plaque vintage ODO :","43","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","","https://vintagefrenchart.com/produit/plaque-emaillee-ancienne-odo/","","","","","","303830","67218","67218","25,750","","642","118","5,441","70,328","Assez facile","1,638","1","2","","22","9","0","7,440","65","31","0","7","6","0","","","","","b643dee6850a7f364034e6459e4856bb","0,141","Tue, 24 Mar 2026 23:51:26 GMT","","","","fr-FR","1.1","","","","","","https://vintagefrenchart.com/produit/plaque-emaillee-ancienne-odo/","2026-03-25 09:50:36"
"https://vintagefrenchart.com/boutique/","text/html; charset=UTF-8","200","OK","Indexable","","Boutique  | Vintage French Art","30","261","","0","0","Explorez notre boutique d'art vintage français. Affiches, illustrations et œuvres originales soigneusement sélectionnées. Pièces uniques et authentiques pour décorer votre intérieur.","182","1105","","0","","0","","0","Brocante en ligne d’objets vintage rares et authentiques","56","Ancienne plaque émaillée ODO double face | Publicité Vintage","60","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","","https://vintagefrenchart.com/boutique/","https://vintagefrenchart.com/boutique/page/2/","","","","","382532","70961","70961","27,184","","864","157","5,503","75,231","Assez facile","1,605","1","1","","251","121","0","100,000","125","59","0","7","6","0","","","","","f91833e9aab7b2a9959fb8a0798a5858","0,264","Tue, 24 Mar 2026 23:50:28 GMT","","","","fr-FR","1.1","","","","","","https://vintagefrenchart.com/boutique/","2026-03-25 09:50:35"
"https://www.vintagefrenchart.com/blog/","text/html; charset=iso-8859-1","301","Moved Permanently","Non indexable","Redirigé","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","282","282","282","0,108","","0","","","","","0,000","1","1","","1","1","0","0,830","0","0","0","0","0","0","","","","","","0,258","","https://vintagefrenchart.com/blog/","Redirection HTTP","","","1.1","","","","","","https://www.vintagefrenchart.com/blog/","2026-03-25 09:50:37"
"https://vintagefrenchart.com/categorie-produit/plaque-ancienne-pub-vintage/","text/html; charset=UTF-8","200","OK","Indexable","","Plaques anciennes et publicité Vintage  | Vintage French Art","60","528","","0","0","Les plaques anciennes et objets publicitaires vintage de collection La brocante en ligne Vintage French Art, située vers Castres en France, est remplie de nostalgie au moment de vous présenter ses plaques anciennes et ses articles publicitaires vintage … Les objets publicitaires vintage, notamment les plaques anciennes sont d’excellents objets…","346","2109","","0","","0","","0","Plaques anciennes et publicité Vintage","38","Ancienne plaque émaillée ODO double face | Publicité Vintage","60","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","","https://vintagefrenchart.com/categorie-produit/plaque-ancienne-pub-vintage/","","","","","","365852","68097","68097","26,087","","706","136","5,191","72,749","Assez facile","1,441","1","2","","235","121","0","100,000","101","45","0","7","6","0","","","","","df8af4f05a6e7500dc91dff6eb9085c3","0,114","Tue, 24 Mar 2026 23:56:35 GMT","","","","fr-FR","1.1","","","","","","https://vintagefrenchart.com/categorie-produit/plaque-ancienne-pub-vintage/","2026-03-25 09:50:37"
"https://vintagefrenchart.com/plan-du-site/","text/html; charset=UTF-8","200","OK","Non indexable","noindex","plan du site | Vintage French Art | Brocante Castres","52","454","","0","0","ici vous trouverez une vue d'ensemble de la structure du site.","62","371","","0","Plan du site","12","","0","Plan du site","12","Pages","5","follow, noindex","","","","","","","","","","232065","60198","60198","23,061","","1280","189","6,772","100,000","Très facile","3,367","1","1","","127","121","0","100,000","143","103","0","7","6","0","","","","","311dcc0607638af82fb99f0f21851778","0,113","Tue, 24 Mar 2026 23:49:23 GMT","","","","fr-FR","1.1","","","","","","https://vintagefrenchart.com/plan-du-site/","2026-03-25 09:50:37"
"https://vintagefrenchart.com/categorie-produit/arts-table/","text/html; charset=UTF-8","200","OK","Indexable","","Arts de la table  | Vintage French Art","38","317","","0","0","","0","0","","0","","0","","0","Arts de la table","16","« Vulcain » seau à champagne original Luc Lanel pour Christofle","63","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","","https://vintagefrenchart.com/categorie-produit/arts-table/","","","","","","275571","64670","64670","24,774","","395","75","5,267","66,558","Normal","1,228","1","2","","271","121","0","100,000","63","32","0","7","6","0","","","","","50c0f38a026241e4a778bcd99edd32b5","0,132","Tue, 24 Mar 2026 23:56:42 GMT","","","","fr-FR","1.1","","","","","","https://vintagefrenchart.com/categorie-produit/arts-table/","2026-03-25 09:50:37"
"https://vintagefrenchart.com/categorie-produit/luminaire/","text/html; charset=UTF-8","200","OK","Indexable","","Luminaires  | Vintage French Art","32","282","","0","0","La brocante en ligne Vintage French Art, située à Castres dans le Tarn, vous a déniché tous types de luminaires vintages : appliques, lampes, lustres, éclairages industriels … Il y en a pour tout les goûts, pour tous les styles ! En décoration l’éclairage est la touche finale qui vient…","287","1689","","0","","0","","0","Luminaires","10","Lampe Accolay vintage design Georges Pelletier 1960/70","54","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","","https://vintagefrenchart.com/categorie-produit/luminaire/","","","","","","351273","67458","67458","25,842","","614","120","5,117","71,021","Assez facile","1,325","1","2","","226","121","0","100,000","95","46","0","7","6","0","","","","","745d6184c26207a747d2efcb90278bee","0,305","Tue, 24 Mar 2026 23:56:37 GMT","","","","fr-FR","1.1","","","","","","https://vintagefrenchart.com/categorie-produit/luminaire/","2026-03-25 09:50:37"
