"Adresse","Type de contenu","Taille (octets)","Liens entrants IMG","Indexabilité","Statut d'indexabilité","Dimensions"
"https://thesee-datacenter.fr/wp-content/uploads/2020/02/logo_2020-300x75.png","image/png","16925","1","Indexable","",""
"https://thesee-datacenter.fr/wp-content/uploads/2020/02/icon_securite_ss.png","image/png","4239","3","Indexable","",""
"https://thesee-datacenter.fr/wp-content/uploads/2024/06/flag-fr.png","image/png","252","19","Indexable","",""
"https://thesee-datacenter.fr/wp-content/uploads/2020/02/icon_services_ss.png","image/png","12861","2","Indexable","",""
"https://thesee-datacenter.fr/wp-content/uploads/2020/02/icon_disponibilite_ss.png","image/png","13619","1","Indexable","",""
"https://thesee-datacenter.fr/wp-content/uploads/2021/03/performance-nrj_1920.jpg","image/jpeg","167383","1","Indexable","",""
"https://thesee-datacenter.fr/wp-content/uploads/2024/07/securite-2.jpg","image/jpeg","136418","1","Indexable","",""
"https://thesee-datacenter.fr/wp-content/uploads/2020/02/logo_the╠üse╠üe_reserve.png","image/png","146346","9","Indexable","",""
"https://thesee-datacenter.fr/wp-content/uploads/2024/07/densite-2.jpg","image/jpeg","119536","1","Indexable","",""
"https://thesee-datacenter.fr/wp-content/uploads/2020/02/logo_entete_2.png","image/png","5048","19","Indexable","",""
"https://thesee-datacenter.fr/wp-content/uploads/2024/08/free-cooling-2.jpg","image/jpeg","72103","1","Indexable","",""
"https://thesee-datacenter.fr/wp-content/uploads/2024/07/connectivite.png","image/png","175698","1","Indexable","",""
"https://thesee-datacenter.fr/wp-content/uploads/2025/04/logo-thesiris.png","image/png","9251","19","Indexable","",""
"https://thesee-datacenter.fr/wp-content/uploads/2020/02/logo_the╠üse╠üe_reserve-300x112.png","image/png","7209","16","Indexable","",""
"https://thesee-datacenter.fr/wp-content/uploads/2024/07/Tier4-certif-2-copie.jpg","image/jpeg","53264","1","Indexable","",""
"https://thesee-datacenter.fr/wp-content/uploads/2026/02/Gaia-X_Logo.png","image/png","5167","2","Indexable","",""
"https://thesee-datacenter.fr/wp-content/uploads/2020/02/icon_EE_ss.png","image/png","8376","1","Indexable","",""
"https://thesee-datacenter.fr/wp-content/uploads/2020/02/icon_modularite_ss.png","image/png","12952","1","Indexable","",""
"https://thesee-datacenter.fr/wp-content/uploads/2025/04/logo-rtr.png","image/png","19715","19","Indexable","",""
"https://thesee-datacenter.fr/wp-content/uploads/2024/06/flag-en.png","image/png","1038","19","Indexable","",""
"https://thesee-datacenter.fr/wp-content/uploads/2024/07/ConnectivitC.png","image/png","62600","1","Indexable","",""
"https://thesee-datacenter.fr/wp-content/uploads/2024/11/Antoine-Fournier-Thesee-Data-Center-240923-105613.jpg","image/jpeg","88026","1","Indexable","",""
"https://thesee-datacenter.fr/wp-content/uploads/2021/01/banque-territoires-300x67.png","image/png","6374","1","Indexable","",""
"https://thesee-datacenter.fr/wp-content/uploads/2024/07/Perfomance-energetique.png","image/png","62939","1","Indexable","",""
"https://thesee-datacenter.fr/wp-content/uploads/2021/01/idec-300x131.png","image/png","6306","1","Indexable","",""
"https://thesee-datacenter.fr/wp-content/uploads/2024/07/espace-IT.png","image/png","57119","1","Indexable","",""
"https://thesee-datacenter.fr/wp-content/uploads/2024/07/Tiers-4.png","image/png","53882","1","Indexable","",""
"https://thesee-datacenter.fr/wp-content/uploads/2024/07/SCcuritC.png","image/png","53319","1","Indexable","",""
"https://thesee-datacenter.fr/wp-content/uploads/2024/07/Haute-densitC.png","image/png","52816","1","Indexable","",""
"https://thesee-datacenter.fr/wp-content/uploads/2024/07/DC-de-confiance.png","image/png","76278","1","Indexable","",""
"https://thesee-datacenter.fr/wp-content/uploads/2024/07/Dual-site.png","image/png","54405","1","Indexable","",""
"https://thesee-datacenter.fr/wp-content/uploads/2024/11/equipe-Thesee-Data-Center-240923-102923.jpg","image/jpeg","398948","1","Indexable","",""
"https://thesee-datacenter.fr/wp-content/uploads/2025/04/logo_ftv.png","image/png","17843","2","Indexable","",""
"https://thesee-datacenter.fr/wp-content/uploads/2025/04/SBTI.png","image/png","17692","1","Indexable","",""
