"Adresse","Type de contenu","Code HTTP","Statut","Crawl profondeur","Liens entrants"
"https://www.googletagmanager.com/gtag/js?id=","application/javascript; charset=UTF-8","200","OK","1","0"
"https://www.googletagmanager.com/gtag/js?id=UA-168671128-1","application/javascript; charset=UTF-8","200","OK","1","0"
"https://dcms.thesee-datacenter.eu/data/perspective/client/HELPDESK","","0","Connexion refusée","1","28"
"https://www.googletagmanager.com/ns.html?id=GTM-KBJ4S7S8","text/html; charset=UTF-8","200","OK","1","0"
"https://thesee-datacenter.net/prestations/","text/html; charset=UTF-8","200","OK","1","19"
"https://player.vimeo.com/video/738554336?autoplay=1&loop=1&muted=1&background=1","text/html;charset=UTF-8","401","Unauthorized","1","0"
"https://fr.linkedin.com/company/thesee-datacenter-france","text/html; charset=utf-8","200","OK","1","25"
"https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css?ver=4.7.0","text/css; charset=utf-8","200","OK","1","0"
"https://thesee-datacenter.net/societe/","text/html; charset=UTF-8","200","OK","1","19"
"https://maps.googleapis.com/maps/api/js?v=3&key=AIzaSyC6q-M-bxWkXWDFu3l13z8Aj-zcqPW4-p8&ver=4.27.4","text/javascript; charset=UTF-8","200","OK","1","0"
"https://js.hs-scripts.com/49345467.js?integration=WordPress&ver=11.2.9","application/javascript;charset=utf-8","200","OK","1","0"
"https://thesee-datacenter.net/datacenters/","text/html; charset=UTF-8","200","OK","1","19"
"https://get.smart-data-systems.com/gq?site_id=101300314","text/html; charset=UTF-8","200","OK","1","0"
"https://cdn-cookieyes.com/client_data/2cba6f28ed1c3517b501ab02/script.js","","0","Bloqué par robots.txt","1","0"
"https://thesee-datacenter.net/pourquoithesee/","text/html; charset=UTF-8","200","OK","1","19"
"https://player.vimeo.com/api/player.js","application/javascript;charset=utf-8","200","OK","1","0"
"https://thesee-datacenter.net/certifications/","text/html; charset=UTF-8","404","Not Found","1","19"
"http://www.banquedesterritoires.fr/","","307","Temporary Redirect","2","2"
"https://js.hsforms.net/forms/embed/49345467.js","application/javascript; charset=utf-8","200","OK","2","0"
"https://www.groupeidec.com/","text/html; charset=UTF-8","200","OK","2","2"
"https://docs.gaia-x.eu/policy-rules-committee/compliance-document/25.03/criteria_cloud_services/","text/html","200","OK","2","0"
"https://www.linkedin.com/company/thesee-datacenter-france/?originalSubdomain=fr","text/html; charset=utf-8","200","OK","2","2"
"https://thesee-datacenter.com/wp-content/uploads/2024/08/ISO-50001.pdf","text/html; charset=iso-8859-1","301","Moved Permanently","2","1"
"https://thesee-datacenter.com/wp-content/uploads/2024/08/SWIPO.pdf","text/html; charset=iso-8859-1","301","Moved Permanently","2","1"
"https://joint-research-centre.ec.europa.eu/scientific-activities-z/energy-efficiency/energy-efficiency-products/code-conduct-ict/european-code-conduct-energy-efficiency-data-centres_en","text/html; charset=UTF-8","403","Forbidden","2","4"
"https://www.climateneutraldatacentre.net/signatories/","text/html; charset=UTF-8","200","OK","2","4"
"https://www.codeofconduct.cloud/public-register/","text/html; charset=UTF-8","200","OK","2","6"
"http://www.cnil.fr/","","308","Permanent Redirect","2","3"
"https://vimeo.com/454026963","text/html;charset=UTF-8","200","OK","2","1"
"https://www.google.com/search?rlz=1C1MSIM_enFR719FR719&sxsrf=ALiCzsZ6RnV4RfJWd6dCmE_qgmmZOtvylQ:1657015827946&q=o2switch+adresse&ludocid=9261404787475866153&sa=X&ved=2ahUKEwiN5L7-wOH4AhUBiP0HHZs1CPoQ6BN6BAhxEAI","","0","Bloqué par robots.txt","2","1"
"https://edpb.europa.eu/about-edpb/board/members_en","text/html","301","Moved Permanently","2","2"
"https://www.google.com/search?q=O2switch&rlz=1C1MSIM_enFR719FR719&oq=O2switch&aqs=chrome..69i57j46i175i199i512j0i512l3j69i60l3.1183j0j9&sourceid=chrome&ie=UTF-8","","0","Bloqué par robots.txt","2","1"
"https://www.legifrance.gouv.fr/cnil/id/CNILTEXT000043632207","text/html; charset=UTF-8","403","Forbidden","2","2"
"https://thesee-datacenter.com/pourquoithesee/","text/html; charset=iso-8859-1","301","Moved Permanently","2","9"
"https://consent.cookiebot.com/uc.js","application/javascript","200","OK","2","0"
"https://thesee-datacenter.com/certifications/","text/html; charset=iso-8859-1","301","Moved Permanently","2","9"
"https://fonts.googleapis.com/css?family=Open+Sans:300italic,400italic,600italic,700italic,800italic,400,300,600,700,800&subset=cyrillic,cyrillic-ext,greek,greek-ext,hebrew,latin,latin-ext,vietnamese&display=swap","text/css; charset=utf-8","200","OK","2","0"
"https://fonts.googleapis.com/css?family=Lato:100,100italic,300,300italic,regular,italic,700,700italic,900,900italic|Montserrat:100,200,300,regular,500,600,700,800,900,100italic,200italic,300italic,italic,500italic,600italic,700italic,800italic,900italic|Julius+Sans+One:regular&subset=latin,latin-ext,cyrillic,cyrillic-ext,vietnamese&display=swap","text/css; charset=utf-8","200","OK","2","0"
"https://www.googletagmanager.com/gtag/js?id=G-P3X3TFJC9V","application/javascript; charset=UTF-8","200","OK","2","0"
"https://thesee-datacenter.com/societe/","text/html; charset=iso-8859-1","301","Moved Permanently","2","9"
"https://thesee-datacenter.com/datacenters/","text/html; charset=iso-8859-1","301","Moved Permanently","2","9"
"https://thesee-datacenter.net/wp-content/uploads/2024/06/flag-en.png","image/png","200","OK","2","0"
"https://twitter.com/ThseDataCenter1","text/html; charset=utf-8","301","Moved Permanently","2","9"
"https://thesee-datacenter.com/prestations/","text/html; charset=iso-8859-1","301","Moved Permanently","2","9"
"https://www.facebook.com/Thesee.DataCenter/","text/html; charset=""utf-8""","200","OK","2","9"
"https://thesee-datacenter.net/wp-content/uploads/2024/06/flag-fr.png","image/png","200","OK","2","0"
"https://studio-bedesign.com/","text/html; charset=iso-8859-1","301","Moved Permanently","3","4"
"https://pgplus.bsigroup.com/CertificateValidation/CertificateValidator.aspx?CertificateNumber=ENMS+804780&ReIssueDate=29%2F03%2F2024&Template=cemea_fr","text/html; charset=utf-8","200","OK","4","0"
